Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-26,21:00:00,56.4,56.43,56.32,56.35,8400,0
2014-03-27,16:00:00,56.33,56.38,56.33,56.35,500,0
2014-03-27,17:00:00,56.39,56.39,56.38,56.38,210,0
2014-04-02,17:00:00,55.6,55.6,55.4,55.46,2400,0
2014-04-02,18:00:00,55.47,55.47,55.47,55.47,100,0
2014-04-02,22:00:00,55.25,55.25,55.25,55.25,100,0
2014-04-03,16:00:00,55.36,55.36,55.36,55.36,200,0
2014-04-09,21:00:00,56.85,56.86,56.85,56.86,346,0
2014-04-17,20:00:00,56.43,56.43,56.43,56.43,100,0
2014-04-23,22:00:00,56.15,56.25,56.15,56.22,500,0
2014-04-24,22:00:00,56.28,56.35,56.19,56.27,18500,0
2014-04-25,17:00:00,56.37,56.48,56.37,56.48,8900,0
2014-04-25,19:00:00,56.44,56.5,56.43,56.47,17100,0
2014-04-25,21:00:00,56.38,56.43,56.38,56.43,1600,0
2014-04-25,22:00:00,56.4,56.4,56.4,56.4,100,0
2014-05-05,19:00:00,56.34,56.38,56.32,56.38,2800,0
2014-05-06,20:00:00,56.65,56.73,56.65,56.73,10400,0
2014-05-06,21:00:00,56.7,56.78,56.65,56.72,38200,0
2014-05-06,22:00:00,56.64,56.64,56.64,56.64,500,0
2014-05-07,20:00:00,56.5,56.55,56.5,56.53,3000,0
2014-05-08,17:00:00,56.5,56.65,56.5,56.65,23200,0
2014-05-14,18:00:00,56.54,56.54,56.54,56.54,100,0
2014-05-14,19:00:00,56.53,56.6,56.5,56.57,2500,0
2014-05-14,20:00:00,56.57,56.65,56.56,56.65,1300,0
2014-05-14,21:00:00,56.56,56.63,56.56,56.6,2300,0
2014-05-14,22:00:00,56.55,56.61,56.55,56.61,1100,0
2014-05-15,17:00:00,56.62,56.62,56.62,56.62,400,0
2014-05-19,21:00:00,56.63,56.85,56.56,56.75,1500,0
2014-05-19,22:00:00,56.71,56.88,56.71,56.85,2200,0
2014-05-20,18:00:00,56.74,56.81,56.74,56.81,1500,0
2014-05-20,19:00:00,56.78,56.78,56.73,56.73,300,0
2014-05-20,20:00:00,56.79,56.79,56.79,56.79,100,0
2014-05-20,21:00:00,56.83,56.85,56.74,56.79,2100,0
2014-05-20,22:00:00,56.75,56.88,56.75,56.85,5000,0
2014-05-21,21:00:00,56.93,56.93,56.93,56.93,100,0
2014-05-22,17:00:00,56.47,56.65,56.47,56.48,1800,0
2014-05-23,22:00:00,56.62,56.62,56.45,56.5,600,0
2014-05-27,22:00:00,56.66,56.66,56.66,56.66,325,0
2014-05-29,17:00:00,56.65,56.66,56.63,56.63,400,0
2014-06-04,20:00:00,55.71,55.71,55.71,55.71,100,0
2014-06-05,20:00:00,55.84,56.05,55.84,56.05,1200,0
2014-06-06,17:00:00,55.85,55.85,55.85,55.85,100,0
2014-07-02,19:00:00,56.4,56.4,56.4,56.4,200,0
2014-07-02,20:00:00,56.42,56.52,56.42,56.5,1500,0
2014-07-02,22:00:00,56.52,56.52,56.52,56.52,200,0
2014-07-11,21:00:00,56.77,56.85,56.77,56.85,1300,0
2014-07-11,22:00:00,56.76,56.87,56.76,56.8,2100,0
2014-07-14,20:00:00,56.52,56.62,56.52,56.54,1800,0
2014-07-15,18:00:00,56.5,56.57,56.5,56.57,1200,0
2014-07-15,21:00:00,56.65,56.65,56.65,56.65,200,0
2014-07-15,22:00:00,56.61,56.61,56.61,56.61,400,0
2014-07-18,17:00:00,56.4,56.8,56.4,56.8,1000,0
2014-07-18,18:00:00,56.6,56.6,56.6,56.6,600,0
2014-07-21,20:00:00,56.82,56.92,56.82,56.92,700,0
2014-07-21,21:00:00,56.85,56.85,56.85,56.85,100,0
2014-07-21,22:00:00,56.85,56.85,56.85,56.85,100,0
2014-07-22,18:00:00,56.32,56.42,56.32,56.42,440,0
2014-07-22,22:00:00,56.89,56.89,56.89,56.89,437,0
2014-07-23,20:00:00,56.7,56.79,56.65,56.77,3400,0
2014-07-23,22:00:00,56.78,56.78,56.78,56.78,300,0
2014-07-24,17:00:00,56.52,56.56,56.5,56.56,1400,0
2014-07-24,22:00:00,56.53,56.55,56.46,56.47,7500,0
2014-07-25,20:00:00,56.45,56.53,56.45,56.53,500,0
2014-07-25,22:00:00,56.53,56.53,56.53,56.53,200,0
2014-07-29,22:00:00,56.5,56.5,56.5,56.5,100,0
2014-08-07,18:00:00,56.15,56.36,56.15,56.36,1500,0
2014-08-07,19:00:00,56.18,56.27,56.18,56.27,900,0
2014-08-07,21:00:00,56.19,56.19,56.18,56.18,600,0
2014-08-07,22:00:00,56.25,56.3,56.2,56.2,430,0
2014-08-11,20:00:00,56.48,56.48,56.4,56.4,700,0
2014-08-11,22:00:00,56.34,56.37,56.34,56.35,700,0
