Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-22,16:00:00,84.422,84.422,84.422,84.422,403,0
2014-04-22,17:00:00,85.266,85.296,85.266,85.296,805,0
2014-04-22,18:00:00,85.663,85.921,85.663,85.921,503,0
2014-04-22,19:00:00,85.842,86.388,85.842,86.388,1020,0
2014-04-22,20:00:00,86.636,86.636,86.636,86.636,503,0
2014-04-23,16:00:00,84.7,84.7,84.7,84.7,236,0
2014-04-23,17:00:00,85.346,85.653,85.346,85.564,1108,0
2014-04-23,18:00:00,85.544,85.544,85.067,85.067,1269,0
2014-04-23,19:00:00,85.593,85.593,85.593,85.593,302,0
2014-04-24,16:00:00,83.896,83.896,83.896,83.896,503,0
2014-04-24,17:00:00,83.607,83.787,83.43,83.747,7956,0
2014-04-24,18:00:00,83.905,83.985,83.905,83.985,3479,0
2014-04-24,19:00:00,83.37,83.42,83.37,83.42,302,0
2014-04-24,20:00:00,82.664,82.664,82.664,82.664,1612,0
2014-04-25,18:00:00,80.609,80.609,80.579,80.579,805,0
2014-04-25,20:00:00,79.953,79.953,79.953,79.953,805,0
2014-04-28,16:00:00,79.129,79.129,78.842,79.1,1917,0
2014-04-28,17:00:00,80.46,80.46,79.973,79.973,503,0
2014-04-28,18:00:00,78.693,79.438,78.693,78.693,3323,0
2014-04-28,19:00:00,78.197,78.227,77.859,78.227,3142,0
2014-04-28,20:00:00,77.452,77.947,77.452,77.947,1108,0
2014-04-28,21:00:00,77.6,78.445,77.6,78.445,906,0
2014-04-28,22:00:00,78.643,78.643,78.643,78.643,805,0
2014-04-29,16:00:00,79.438,79.438,79.438,79.438,705,0
2014-04-29,17:00:00,79.656,79.656,79.656,79.656,503,0
2014-04-29,18:00:00,78.445,78.445,78.435,78.435,302,0
2014-04-29,20:00:00,77.899,77.899,77.899,77.899,202,0
2014-04-29,21:00:00,78.345,78.345,78.305,78.315,302,0
2014-04-29,22:00:00,78.037,78.057,77.859,77.859,503,0
2014-04-30,16:00:00,76.766,76.766,76.339,76.607,1103,0
2014-04-30,17:00:00,77.184,77.551,77.184,77.551,1514,0
2014-04-30,18:00:00,77.511,77.511,77.511,77.511,202,0
2014-04-30,19:00:00,77.105,77.105,77.105,77.105,274,0
2014-04-30,20:00:00,77.452,77.511,77.452,77.511,760,0
2014-04-30,21:00:00,78.107,78.732,78.107,78.732,1575,0
2014-04-30,22:00:00,78.673,79.199,78.633,79.199,1257,0
2014-05-01,16:00:00,78.286,78.286,77.76,77.76,705,0
2014-05-01,17:00:00,76.896,77.085,76.856,77.085,3044,0
2014-05-01,18:00:00,77.997,78.971,77.997,78.971,503,0
