Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-17,16:00:00,38.32,40.88,38.32,40.72,1897,0
2014-12-17,17:00:00,41.16,41.44,40.48,41.08,3879,0
2014-12-17,18:00:00,42.12,42.64,42,42.64,3125,0
2014-12-17,19:00:00,42.92,43.08,42.56,42.64,2975,0
2014-12-17,20:00:00,43,43,42.44,42.68,193,0
2014-12-17,21:00:00,43.72,44.24,41.84,41.84,2426,0
2014-12-17,22:00:00,41.88,42.6,41.88,42.36,3406,0
2014-12-18,16:00:00,45.76,46.8,45.4,45.6,3707,0
2014-12-18,17:00:00,45.88,45.96,45.24,45.24,2208,0
2014-12-18,18:00:00,45,45.08,44.8,45.04,375,0
2014-12-18,19:00:00,45.24,45.76,45.08,45.76,1377,0
2014-12-18,20:00:00,45.68,45.8,44.96,44.96,560,0
2014-12-18,21:00:00,44.96,45.04,44.36,44.88,850,0
2014-12-18,22:00:00,44.72,45.4,44.72,45.4,1723,0
2014-12-19,16:00:00,46.04,46.2,46,46,1245,0
2014-12-19,17:00:00,46.28,46.6,46.28,46.6,120,0
2014-12-19,18:00:00,46.04,46.48,46.04,46.48,638,0
2014-12-19,19:00:00,45.72,46.08,45.68,46.08,2179,0
2014-12-19,20:00:00,46.52,46.52,46.36,46.48,775,0
2014-12-19,21:00:00,46.76,46.8,46.76,46.8,325,0
2014-12-19,22:00:00,46.88,46.88,46.12,46.12,1224,0
2014-12-22,16:00:00,47,47,46.92,46.92,1050,0
2014-12-22,17:00:00,47.08,47.08,46.6,46.96,836,0
2014-12-22,18:00:00,46.76,46.76,46.28,46.36,4501,0
2014-12-22,19:00:00,46.6,46.68,46.56,46.64,4844,0
2014-12-22,20:00:00,46.8,47.16,46.8,47.16,350,0
2014-12-22,21:00:00,47.4,47.6,47.24,47.28,800,0
2014-12-22,22:00:00,47.4,47.52,47.28,47.28,2941,0
2014-12-23,16:00:00,47.6,47.6,46.16,46.16,1088,0
2014-12-23,17:00:00,46.4,47.2,46.2,47.2,2347,0
2014-12-23,18:00:00,47.12,47.12,46.8,46.92,298,0
2014-12-23,19:00:00,47.44,47.44,47.44,47.44,1250,0
2014-12-23,20:00:00,47.28,47.36,47.28,47.36,154,0
2014-12-23,21:00:00,47.64,47.68,47.4,47.4,725,0
2014-12-23,22:00:00,47.36,47.56,47.12,47.44,1291,0
2014-12-24,16:00:00,46.84,47.4,46.76,47.16,1133,0
2014-12-24,17:00:00,47,47.16,46.72,46.72,275,0
2014-12-24,18:00:00,46.92,46.92,46.72,46.84,973,0
2014-12-24,19:00:00,46.76,47.44,46.76,47.44,953,0
2014-12-26,16:00:00,48.36,48.36,48.16,48.16,333,0
2014-12-26,17:00:00,48.24,48.56,48.24,48.56,275,0
2014-12-26,18:00:00,48.6,48.72,48.32,48.32,370,0
2014-12-26,19:00:00,48.12,48.16,48.12,48.16,75,0
2014-12-26,20:00:00,47.84,47.92,47.44,47.44,2876,0
2014-12-26,21:00:00,47.32,47.32,47,47.08,613,0
2014-12-26,22:00:00,47.8,47.8,47.4,47.4,750,0
2014-12-29,16:00:00,47.8,47.88,47.4,47.72,2594,0
2014-12-29,17:00:00,48.24,48.36,48.16,48.28,735,0
2014-12-29,18:00:00,48.48,48.76,48.16,48.16,936,0
2014-12-29,19:00:00,48,48.08,47.84,47.92,7725,0
2014-12-29,20:00:00,48.16,48.16,47.32,47.56,1755,0
2014-12-29,21:00:00,47.08,47.32,46.88,47.32,1932,0
2014-12-29,22:00:00,47.28,47.64,47.28,47.64,3105,0
2014-12-30,16:00:00,48.32,48.4,48.04,48.32,1625,0
2014-12-30,17:00:00,47.96,48.32,47.92,48.32,199,0
2014-12-30,18:00:00,48.4,48.4,48.36,48.36,233,0
2014-12-30,19:00:00,48.96,49.12,48.96,49.12,463,0
2014-12-30,21:00:00,47.68,47.68,47.68,47.68,72,0
2014-12-30,22:00:00,47.72,48.16,47.68,48.16,275,0
2014-12-31,16:00:00,47.24,47.24,46.64,47.12,1850,0
2014-12-31,17:00:00,47.12,47.44,47.12,47.12,456,0
2014-12-31,18:00:00,47,47.32,46.88,47.16,625,0
2014-12-31,19:00:00,46.88,47.28,46.88,47.28,2674,0
2014-12-31,20:00:00,47.4,48.08,47.28,47.84,1143,0
2014-12-31,21:00:00,47.96,47.96,47.72,47.72,461,0
2014-12-31,22:00:00,47.76,47.92,47.76,47.88,1038,0
2015-01-02,16:00:00,46.4,46.4,45.2,45.2,775,0
2015-01-02,17:00:00,44.88,44.88,44.24,44.72,500,0
2015-01-02,18:00:00,44.92,45.04,43.72,43.72,2363,0
2015-01-02,19:00:00,43.96,43.96,43.6,43.64,425,0
2015-01-02,20:00:00,43.64,43.64,43.16,43.32,1704,0
2015-01-02,21:00:00,43.56,43.56,43.56,43.56,125,0
2015-01-02,22:00:00,43.8,43.88,43.52,43.76,2533,0
2015-01-05,16:00:00,41.24,41.44,40.44,40.44,323,0
2015-01-05,17:00:00,40.48,40.64,39.96,40.44,870,0
2015-01-05,18:00:00,40.4,40.52,39.92,40.4,2139,0
2015-01-05,19:00:00,40.16,40.4,40.04,40.08,450,0
2015-01-05,20:00:00,40.28,40.28,39.76,39.96,831,0
2015-01-05,21:00:00,40.08,40.24,39.88,40,1250,0
2015-01-05,22:00:00,40.08,40.28,40.08,40.12,2022,0
2015-01-06,16:00:00,40.52,41.44,40.52,41,1375,0
2015-01-06,17:00:00,41.12,41.24,41.08,41.24,258,0
2015-01-06,18:00:00,40.84,40.92,40.84,40.92,600,0
2015-01-06,19:00:00,40.56,40.56,40.56,40.56,275,0
2015-01-06,21:00:00,41.4,42.2,41.4,42.12,1170,0
2015-01-06,22:00:00,42.32,42.32,41.96,42,336,0
2015-01-07,16:00:00,45,45,44.2,44.36,1893,0
2015-01-07,17:00:00,44.68,45.08,44.56,44.68,2350,0
2015-01-07,18:00:00,44,44,44,44,290,0
2015-01-07,19:00:00,44.84,45.32,44.84,45.32,698,0
2015-01-07,20:00:00,44.76,44.76,44.76,44.76,50,0
2015-01-07,21:00:00,44.72,44.76,44.72,44.76,150,0
2015-01-07,22:00:00,45.2,45.2,44.68,44.72,1000,0
2015-01-08,16:00:00,45.4,46.32,45.4,46.28,2283,0
2015-01-08,17:00:00,47.12,47.28,47.12,47.24,1020,0
2015-01-08,18:00:00,47.08,47.44,46.92,47.44,336,0
2015-01-08,19:00:00,46.96,47.04,46.88,47.04,1000,0
2015-01-08,20:00:00,47.08,47.28,46.96,46.96,1100,0
2015-01-08,22:00:00,46.96,46.96,46.64,46.64,1590,0
2015-01-09,16:00:00,47,47,46.28,46.4,1050,0
2015-01-09,18:00:00,46.12,46.24,45.84,46.24,395,0
2015-01-09,19:00:00,46.2,46.2,46,46,100,0
2015-01-09,20:00:00,46,46,46,46,27,0
2015-01-09,21:00:00,46.44,46.44,46.44,46.44,75,0
2015-01-09,22:00:00,47.12,47.12,46.76,46.76,288,0
2015-01-12,16:00:00,44.64,44.8,43.56,43.64,2000,0
2015-01-12,17:00:00,43.84,44.16,43.8,44.04,763,0
2015-01-12,18:00:00,44.16,44.2,44.16,44.2,661,0
2015-01-12,19:00:00,44.28,44.32,44.28,44.32,288,0
2015-01-12,20:00:00,43.72,43.72,43.72,43.72,225,0
2015-01-12,21:00:00,43.96,44,43.96,44,450,0
2015-01-12,22:00:00,43.72,44,43.6,43.88,1225,0
2015-01-13,16:00:00,46,46.04,45.24,45.24,775,0
2015-01-13,17:00:00,45.4,46.16,45.4,46.08,1325,0
2015-01-13,18:00:00,45.92,45.92,45.72,45.8,775,0
2015-01-13,19:00:00,45.88,45.88,45.24,45.24,625,0
2015-01-13,20:00:00,45.16,45.32,43.96,43.96,1752,0
2015-01-13,21:00:00,43.8,44.04,43.52,43.96,650,0
2015-01-13,22:00:00,43.8,44.72,43.8,44.56,1047,0
2015-01-14,16:00:00,43.92,43.92,43.92,43.92,75,0
2015-01-14,17:00:00,44.4,44.4,44.4,44.4,50,0
2015-01-14,18:00:00,44.52,44.92,44.4,44.4,400,0
2015-01-14,19:00:00,43.84,44.16,43.8,44.16,275,0
2015-01-14,20:00:00,43.76,43.76,43.68,43.68,50,0
2015-01-14,21:00:00,43.72,44.44,43.72,44.16,492,0
2015-01-14,22:00:00,44.76,44.96,44.76,44.76,1450,0
2015-01-15,16:00:00,46,46.44,44.76,44.76,1677,0
2015-01-15,17:00:00,45.24,45.64,44.68,44.68,1001,0
2015-01-15,18:00:00,43.92,44.32,43.84,44.08,625,0
2015-01-15,19:00:00,43.96,43.96,43.32,43.32,550,0
2015-01-15,20:00:00,43.64,43.64,43.2,43.2,125,0
2015-01-15,21:00:00,43.28,43.28,43.2,43.2,150,0
2015-01-15,22:00:00,43.16,43.44,43.08,43.08,4000,0
2015-01-16,16:00:00,44.8,44.8,44.8,44.8,250,0
2015-01-16,17:00:00,44.28,44.96,44.28,44.96,3825,0
2015-01-16,18:00:00,44.76,44.76,44.48,44.48,900,0
2015-01-16,19:00:00,44.52,44.88,44.48,44.88,175,0
2015-01-16,20:00:00,44.84,45.04,44.8,44.8,325,0
2015-01-16,21:00:00,44.88,44.88,44.88,44.88,750,0
2015-01-16,22:00:00,45,46.24,45,46.24,2245,0
2015-01-20,16:00:00,44.6,44.68,44.04,44.12,580,0
2015-01-20,17:00:00,44.16,44.48,44,44.12,937,0
2015-01-20,18:00:00,44,44.04,43.88,43.88,200,0
2015-01-20,19:00:00,44.16,44.2,43.96,43.96,275,0
2015-01-20,20:00:00,44,44,44,44,50,0
2015-01-20,21:00:00,44.32,44.32,44.28,44.28,158,0
2015-01-20,22:00:00,44.84,44.84,44.68,44.68,488,0
2015-01-21,16:00:00,45.36,46.4,45.16,46.24,1013,0
2015-01-21,17:00:00,46.2,47.2,46.2,47.2,2260,0
2015-01-21,18:00:00,46.84,46.84,46.48,46.84,883,0
2015-01-21,19:00:00,46.72,46.72,46.72,46.72,100,0
2015-01-21,20:00:00,46.4,46.4,46.24,46.24,325,0
2015-01-21,22:00:00,46.84,47.92,46.84,47.92,2216,0
2015-01-22,16:00:00,49.96,49.96,48.96,48.96,1351,0
2015-01-22,17:00:00,50.2,51.12,50.12,50.96,3122,0
2015-01-22,18:00:00,50.52,50.52,49.6,49.72,600,0
2015-01-22,19:00:00,50,50.48,49.8,50.48,5375,0
2015-01-22,20:00:00,49.76,50.04,49.76,50.04,175,0
2015-01-22,21:00:00,49.88,50.32,49.76,49.92,2913,0
2015-01-22,22:00:00,50.64,51.08,50.4,51,2793,0
2015-01-23,16:00:00,49.52,49.52,49,49,1934,0
2015-01-23,17:00:00,48.56,48.68,47.92,48.6,1528,0
2015-01-23,18:00:00,48.36,48.36,48.36,48.36,216,0
2015-01-23,19:00:00,48.44,48.44,48.44,48.44,75,0
2015-01-23,20:00:00,48,48.04,47.76,48,2004,0
2015-01-23,21:00:00,47.68,48.04,47.68,48.04,1670,0
2015-01-23,22:00:00,47.8,47.84,47.6,47.6,1214,0
2015-01-26,16:00:00,46.88,46.88,46.2,46.68,900,0
2015-01-26,17:00:00,47.16,47.28,47.04,47.2,1801,0
2015-01-26,18:00:00,47.16,47.52,47.16,47.36,350,0
2015-01-26,19:00:00,47.96,47.96,47.84,47.96,492,0
2015-01-26,20:00:00,47.84,47.84,47.6,47.72,806,0
2015-01-26,21:00:00,47.68,47.72,47.68,47.72,150,0
2015-01-26,22:00:00,47.52,47.52,47.2,47.2,438,0
2015-01-27,16:00:00,45.48,46.36,45.48,46.32,2425,0
2015-01-27,17:00:00,46.32,46.76,46.16,46.56,2300,0
2015-01-27,18:00:00,46.56,47.56,46.48,47.56,825,0
2015-01-27,19:00:00,47.52,48.04,47.52,47.88,725,0
2015-01-27,20:00:00,47.96,48.2,47.8,47.88,1000,0
2015-01-27,21:00:00,47.92,48.24,47.92,48.12,2175,0
2015-01-27,22:00:00,47.92,48.12,47.84,48,1280,0
2015-01-28,16:00:00,47,47,46.24,46.36,759,0
2015-01-28,17:00:00,46.24,46.64,46.24,46.4,1050,0
2015-01-28,18:00:00,46.08,46.08,46.08,46.08,1500,0
2015-01-28,19:00:00,46.32,46.48,46.32,46.44,250,0
2015-01-28,21:00:00,46,46,45.96,45.96,100,0
2015-01-28,22:00:00,45.6,45.6,44.48,44.48,1943,0
2015-01-29,16:00:00,44.04,44.16,44.04,44.16,133,0
2015-01-29,17:00:00,44.2,44.2,43.28,43.52,5406,0
2015-01-29,18:00:00,43.24,43.44,42.88,43.12,3339,0
2015-01-29,20:00:00,43.64,43.76,43.52,43.76,350,0
2015-01-29,21:00:00,43.76,43.76,43.6,43.6,160,0
2015-01-29,22:00:00,43.8,44.08,43.76,44.08,238,0
2015-01-30,16:00:00,39.6,40.88,39.6,40.88,3163,0
2015-01-30,17:00:00,40.8,40.8,40.04,40.28,1871,0
2015-01-30,18:00:00,40.44,40.44,39.36,39.36,1095,0
2015-01-30,19:00:00,39.52,39.76,39.32,39.56,1588,0
2015-01-30,20:00:00,39.72,39.72,39.4,39.68,863,0
2015-01-30,21:00:00,39.64,40.64,39.6,40.04,4152,0
2015-01-30,22:00:00,40.04,40.04,39.4,39.44,2514,0
2015-02-02,16:00:00,39.56,40.04,39.56,40.04,4348,0
2015-02-02,17:00:00,39.76,40.2,39.4,40.2,2025,0
2015-02-02,18:00:00,40.2,40.32,39.96,40.32,500,0
2015-02-02,19:00:00,40.28,40.28,40.28,40.28,25,0
2015-02-02,20:00:00,40.32,40.32,40.32,40.32,250,0
2015-02-02,21:00:00,40.32,40.32,40.32,40.32,125,0
2015-02-02,22:00:00,40.64,41.28,40.52,41.28,3667,0
2015-02-03,16:00:00,42.52,43.36,42.44,43.32,4994,0
2015-02-03,17:00:00,43.44,43.84,43.32,43.84,1010,0
2015-02-03,18:00:00,43.76,44,43.68,43.8,1753,0
2015-02-03,19:00:00,43.76,43.76,43.48,43.56,521,0
2015-02-03,20:00:00,43.28,44.24,43.24,44.2,1113,0
2015-02-03,21:00:00,44.08,44.08,43.88,43.96,1450,0
2015-02-03,22:00:00,44.4,44.56,44.36,44.48,450,0
2015-02-04,16:00:00,41.68,43.04,41.68,43.04,1075,0
2015-02-04,17:00:00,43.44,43.8,43.36,43.8,840,0
2015-02-04,18:00:00,44.08,44.08,44.08,44.08,150,0
2015-02-04,19:00:00,44.08,44.08,44.08,44.08,54,0
2015-02-04,20:00:00,43.36,43.52,43.24,43.52,586,0
2015-02-04,21:00:00,43.08,43.2,43.08,43.2,250,0
2015-02-04,22:00:00,43.88,44.04,43.32,43.32,915,0
2015-02-05,16:00:00,43.24,43.68,42.96,43.68,975,0
2015-02-05,17:00:00,43.44,44.68,43.44,44.68,993,0
2015-02-05,18:00:00,44.44,44.84,44.44,44.84,600,0
2015-02-05,19:00:00,44.8,44.8,44.72,44.8,175,0
2015-02-05,20:00:00,44.44,44.44,44.44,44.44,675,0
2015-02-05,21:00:00,43.96,44.2,43.96,44.08,453,0
2015-02-05,22:00:00,44.56,44.72,44.56,44.6,1465,0
2015-02-06,16:00:00,42.36,43.4,42.36,42.92,925,0
2015-02-06,17:00:00,43.08,43.08,42.72,42.72,538,0
2015-02-06,18:00:00,42.8,42.8,42.52,42.52,1225,0
2015-02-06,20:00:00,42.32,42.52,42.32,42.48,1175,0
2015-02-06,21:00:00,42.64,42.76,42.64,42.76,229,0
2015-02-06,22:00:00,42.56,42.56,42.44,42.52,383,0
2015-02-09,16:00:00,42,43.08,42,43.08,3191,0
2015-02-09,17:00:00,43.16,43.84,43.16,43.56,1304,0
2015-02-09,18:00:00,43.64,44,43.64,43.76,1925,0
2015-02-09,19:00:00,43.72,43.88,43.64,43.76,375,0
2015-02-09,20:00:00,43.88,44.12,43.6,44.12,275,0
2015-02-09,21:00:00,44.12,44.44,44.08,44.36,875,0
2015-02-09,22:00:00,44.36,44.36,43.92,44.16,1922,0
2015-02-10,16:00:00,43.08,43.08,42.12,42.16,1000,0
2015-02-10,17:00:00,42.36,42.56,42,42.08,800,0
2015-02-10,18:00:00,42,42,41.76,41.92,1205,0
2015-02-10,19:00:00,41.88,41.88,41.56,41.56,1052,0
2015-02-10,20:00:00,41.6,41.6,41.12,41.12,563,0
2015-02-10,21:00:00,41.04,41.32,40.96,41.32,1023,0
2015-02-10,22:00:00,41.36,41.4,41.04,41.16,2046,0
2015-02-11,16:00:00,39.6,39.96,38.72,38.72,3230,0
2015-02-11,17:00:00,38.96,38.96,37.88,37.96,8784,0
2015-02-11,18:00:00,38,38.2,37.88,37.96,3688,0
2015-02-11,19:00:00,37.96,38.04,37.6,37.6,2825,0
2015-02-11,20:00:00,37.6,37.92,37.4,37.92,2412,0
2015-02-11,21:00:00,37.96,38.6,37.84,38.36,1550,0
2015-02-11,22:00:00,38.44,38.84,38.36,38.36,1481,0
2015-02-12,16:00:00,39.96,41.2,39.96,41.2,5784,0
2015-02-12,17:00:00,41.08,41.32,41,41.12,2313,0
2015-02-12,18:00:00,41.24,41.8,41.24,41.8,700,0
2015-02-12,19:00:00,42,42.2,41.96,41.96,675,0
2015-02-12,20:00:00,42.16,42.44,41.96,42.08,1425,0
2015-02-12,21:00:00,42.24,42.48,42.24,42.48,2181,0
2015-02-12,22:00:00,42.52,42.96,42.52,42.8,2824,0
2015-02-13,16:00:00,43.92,44.28,43.92,44.28,6656,0
2015-02-13,17:00:00,44.08,44.2,44.04,44.08,877,0
2015-02-13,18:00:00,44.04,44.32,44,44.12,1831,0
2015-02-13,19:00:00,44.12,44.12,43.76,44.08,4409,0
2015-02-13,20:00:00,44.28,44.28,43.96,43.96,1225,0
2015-02-13,21:00:00,43.96,44.48,43.96,44.2,1025,0
2015-02-13,22:00:00,44.4,44.6,44.4,44.6,3000,0
2015-02-17,16:00:00,44,44,43.6,43.6,834,0
2015-02-17,17:00:00,43.56,43.56,42.92,43.44,2561,0
2015-02-17,18:00:00,44,44.12,43.88,44.12,484,0
2015-02-17,19:00:00,44,44.64,44,44.64,3250,0
2015-02-17,20:00:00,44.84,45.12,44.84,45.12,2175,0
2015-02-17,22:00:00,44.88,45.28,44.76,45.24,2650,0
2015-02-18,16:00:00,45.48,45.48,44.92,45.28,4710,0
2015-02-18,17:00:00,45.4,45.44,44.92,44.92,1820,0
2015-02-18,18:00:00,45.4,45.6,45.36,45.44,350,0
2015-02-18,19:00:00,45,45,45,45,100,0
2015-02-18,20:00:00,44.56,44.56,44.08,44.08,104,0
2015-02-18,21:00:00,44.96,44.96,44.48,44.48,125,0
2015-02-18,22:00:00,44.48,44.48,44.4,44.4,175,0
2015-02-19,16:00:00,43.56,43.56,42.88,43.04,1350,0
2015-02-19,17:00:00,43.12,43.88,43.12,43.8,308,0
2015-02-19,19:00:00,43.8,43.8,43.8,43.8,164,0
2015-02-19,20:00:00,43.48,43.84,43.48,43.84,450,0
2015-02-19,21:00:00,43.64,43.68,43.32,43.4,553,0
2015-02-19,22:00:00,43.36,43.48,43.36,43.48,2603,0
2015-02-20,16:00:00,42.76,42.88,42.24,42.24,784,0
2015-02-20,17:00:00,42.84,42.84,42.84,42.84,50,0
2015-02-20,20:00:00,42.72,43.68,42.72,43.68,295,0
2015-02-20,21:00:00,43.52,43.52,43.52,43.52,81,0
2015-02-20,22:00:00,43.68,43.72,43.4,43.72,475,0
2015-02-23,16:00:00,44.12,44.12,42.64,42.8,1388,0
2015-02-23,17:00:00,43,43,42.44,43,459,0
2015-02-23,18:00:00,43.36,43.56,43.36,43.36,175,0
2015-02-23,19:00:00,43.4,43.4,43.2,43.24,300,0
2015-02-23,20:00:00,43.2,43.56,43.2,43.36,75,0
2015-02-23,21:00:00,43.12,43.28,42.96,43.04,175,0
2015-02-23,22:00:00,43.04,43.4,42.96,43.4,525,0
2015-02-24,16:00:00,43.48,43.48,43.48,43.48,50,0
2015-02-24,17:00:00,44.8,45.6,44.72,45.32,3654,0
2015-02-24,18:00:00,45.48,46.04,45.2,45.24,6716,0
2015-02-24,19:00:00,45.4,45.4,45.4,45.4,400,0
2015-02-24,20:00:00,45.48,45.48,45.08,45.24,395,0
2015-02-24,21:00:00,45.24,45.24,45.24,45.24,175,0
2015-02-24,22:00:00,45.96,46,45.68,45.88,8772,0
2015-02-25,16:00:00,43.76,44.28,43.72,43.72,602,0
2015-02-25,17:00:00,43.52,43.64,43.48,43.64,1750,0
2015-02-25,18:00:00,43.8,44.12,43.8,44.12,940,0
2015-02-25,19:00:00,44.16,44.2,44.12,44.12,488,0
2015-02-25,20:00:00,44.08,44.08,44.08,44.08,100,0
2015-02-25,21:00:00,44.2,44.2,44.2,44.2,2500,0
2015-02-25,22:00:00,44.56,44.56,44.48,44.52,225,0
2015-02-26,16:00:00,44,44,43.56,43.56,160,0
2015-02-26,17:00:00,43.72,43.96,43.2,43.64,4919,0
2015-02-26,18:00:00,43.72,44.24,43.6,44.24,1082,0
2015-02-26,19:00:00,44.12,44.24,44.12,44.24,350,0
2015-02-26,21:00:00,44.6,44.6,44.56,44.56,175,0
2015-02-26,22:00:00,44.32,44.32,44.32,44.32,300,0
2015-02-27,16:00:00,45.16,45.16,45.12,45.12,88,0
2015-02-27,17:00:00,45.52,46,45.2,46,3066,0
2015-02-27,18:00:00,46.16,46.56,46.16,46.56,408,0
2015-02-27,19:00:00,46.2,46.36,46.2,46.24,1527,0
2015-02-27,20:00:00,46.24,46.24,45.28,45.64,2506,0
2015-02-27,21:00:00,45.32,45.32,45.28,45.28,637,0
2015-02-27,22:00:00,45.44,45.56,45.24,45.24,1650,0
2015-03-02,16:00:00,44.32,44.32,44.16,44.24,250,0
2015-03-02,17:00:00,43.84,43.92,43.68,43.84,850,0
2015-03-02,18:00:00,43.48,43.48,43.28,43.28,475,0
2015-03-02,19:00:00,43.2,43.2,42.4,42.4,4706,0
2015-03-02,20:00:00,42.32,42.64,42.32,42.6,525,0
2015-03-02,21:00:00,42.44,42.44,42.2,42.24,150,0
2015-03-02,22:00:00,42.28,42.6,42.28,42.56,575,0
2015-03-03,16:00:00,42.56,42.96,42.52,42.96,494,0
2015-03-03,17:00:00,42.96,42.96,42.68,42.88,506,0
2015-03-03,18:00:00,42.566,42.566,42.566,42.566,100,0
2015-03-03,20:00:00,42.479,42.54,42.36,42.4,1713,0
2015-03-03,22:00:00,42.36,42.4,42.12,42.301,507,0
2015-03-04,16:00:00,40.88,40.88,39.002,39.56,8878,0
2015-03-04,17:00:00,39.52,39.52,38.8,39.12,1763,0
2015-03-04,18:00:00,39.32,39.56,39.3,39.35,3104,0
2015-03-04,19:00:00,39.28,39.68,39.24,39.6,883,0
2015-03-04,20:00:00,40,40.16,39.774,39.92,4523,0
2015-03-04,21:00:00,39.88,39.92,39.524,39.747,1172,0
2015-03-04,22:00:00,39.8,40.04,39.8,39.8,3031,0
2015-03-05,16:00:00,39.48,39.52,39.188,39.368,1238,0
2015-03-05,17:00:00,39.2,39.44,39.12,39.44,1006,0
2015-03-05,18:00:00,39.174,39.24,39,39,1148,0
2015-03-05,19:00:00,38.88,38.96,38.32,38.4,6481,0
2015-03-05,20:00:00,38.36,38.432,38.152,38.432,1225,0
2015-03-05,21:00:00,38.68,38.68,38.56,38.68,3980,0
2015-03-05,22:00:00,38.7,38.8,38.48,38.48,2275,0
2015-03-06,16:00:00,37.08,37.08,36.36,36.36,3523,0
2015-03-06,17:00:00,36.36,36.4,35.76,36.28,5727,0
2015-03-06,18:00:00,36.16,36.298,35.8,36,2213,0
2015-03-06,19:00:00,36.08,36.08,35.92,36.04,900,0
2015-03-06,20:00:00,35.84,35.84,35.68,35.72,2245,0
2015-03-06,21:00:00,36,36,35.72,35.8,977,0
2015-03-06,22:00:00,35.984,35.984,35.52,35.52,6451,0
2015-03-09,15:00:00,35.24,35.24,34.32,34.32,6198,0
2015-03-09,16:00:00,34.32,34.4,34.16,34.28,1517,0
2015-03-09,17:00:00,34.174,34.24,33.722,33.722,6378,0
2015-03-09,18:00:00,33.68,33.84,33.568,33.76,1713,0
2015-03-09,19:00:00,33.8,33.96,33.56,33.6,1955,0
2015-03-09,20:00:00,33.48,33.6,33.24,33.6,400,0
2015-03-09,21:00:00,33.48,33.52,33.12,33.12,8150,0
2015-03-10,15:00:00,33.08,33.08,32.4,32.4,15308,0
2015-03-10,16:00:00,32.484,32.522,31.96,32.522,2208,0
2015-03-10,17:00:00,32.6,32.882,32.32,32.32,643,0
2015-03-10,18:00:00,32.24,32.44,32.12,32.218,1801,0
2015-03-10,19:00:00,32.23,32.58,32.23,32.56,2775,0
2015-03-10,20:00:00,32.4,32.546,32.4,32.4,488,0
2015-03-10,21:00:00,32.463,32.463,31.96,31.96,4646,0
2015-03-11,15:00:00,32,32.16,32,32,825,0
2015-03-11,16:00:00,32.44,32.44,32.4,32.4,175,0
2015-03-11,17:00:00,32.36,32.44,32.2,32.44,1017,0
2015-03-11,18:00:00,32.792,32.792,32.6,32.6,475,0
2015-03-11,19:00:00,32.76,32.76,32.6,32.72,400,0
2015-03-11,20:00:00,32.67,32.96,32.67,32.96,2536,0
2015-03-11,21:00:00,32.92,33,32.72,32.92,3875,0
2015-03-12,15:00:00,33.92,34.48,33.92,34.16,1172,0
2015-03-12,16:00:00,34.2,34.2,33.92,34.2,431,0
2015-03-12,17:00:00,34.36,34.36,33.8,33.8,584,0
2015-03-12,18:00:00,33.72,33.72,33.72,33.72,250,0
2015-03-12,19:00:00,33.12,33.206,33,33.036,2600,0
2015-03-12,20:00:00,32.72,33.096,32.72,32.936,230,0
2015-03-12,21:00:00,33,33.216,33,33.18,1025,0
