Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-20,17:00:00,98.189,98.267,98.189,98.267,405,0
2014-02-20,18:00:00,98.267,98.267,98.267,98.267,202,0
2014-02-20,19:00:00,98.267,98.267,98.267,98.267,304,0
2014-02-20,20:00:00,98.267,98.267,98.267,98.267,573,0
2014-02-21,16:00:00,98.316,98.326,98.316,98.326,304,0
2014-02-21,17:00:00,98.326,98.326,98.179,98.189,513,0
2014-02-21,18:00:00,98.189,98.198,98.189,98.198,513,0
2014-02-21,19:00:00,98.198,98.198,98.198,98.198,992,0
2014-02-24,21:00:00,98.129,98.129,98.129,98.129,3530,0
2014-02-26,22:00:00,98.207,98.207,98.207,98.207,101,0
2014-02-27,17:00:00,98.207,98.207,98.207,98.207,922,0
2014-02-27,18:00:00,98.247,98.247,98.247,98.247,738,0
2014-02-27,20:00:00,98.257,98.257,98.257,98.257,911,0
2014-02-28,17:00:00,98.198,98.198,98.189,98.189,304,0
2014-03-03,21:00:00,98.237,98.237,98.237,98.237,615,0
2014-03-03,22:00:00,98.079,98.079,98.079,98.079,101,0
2014-03-04,20:00:00,98.207,98.207,98.207,98.207,101,0
2014-03-05,18:00:00,98.189,98.189,98.189,98.189,615,0
2014-03-05,22:00:00,98.189,98.189,98.189,98.189,513,0
2014-03-07,17:00:00,98.119,98.119,98.119,98.119,405,0
2014-03-10,17:00:00,98.109,98.109,98.109,98.109,176,0
2014-03-11,15:00:00,98.533,98.533,98.533,98.533,405,0
2014-03-11,21:00:00,98.059,98.059,98.059,98.059,136,0
2014-03-12,21:00:00,98.01,98.01,98.01,98.01,205,0
2014-03-13,18:00:00,98.189,98.189,98.189,98.189,1024,0
2014-03-13,19:00:00,98.189,98.207,98.189,98.207,1331,0
2014-03-14,21:00:00,98.189,98.189,98.189,98.189,102,0
2014-03-17,19:00:00,98.169,98.169,98.169,98.169,101,0
2014-03-19,17:00:00,98.139,98.179,98.139,98.149,749,0
2014-03-19,18:00:00,98.179,98.179,98.169,98.179,4164,0
2014-03-20,15:00:00,97.98,97.98,97.98,97.98,354,0
2014-03-20,17:00:00,97.97,97.97,97.97,97.97,304,0
2014-03-20,20:00:00,97.99,97.99,97.99,97.99,250,0
2014-03-20,21:00:00,97.98,98.01,97.98,98.01,2385,0
2014-03-21,15:00:00,97.98,97.98,97.98,97.98,1024,0
2014-03-21,19:00:00,98.039,98.039,98.02,98.02,458,0
2014-03-21,21:00:00,98.03,98.03,98.03,98.03,615,0
2014-03-24,15:00:00,97.96,97.96,97.943,97.943,1024,0
2014-03-26,18:00:00,98.179,98.179,98.179,98.179,1456,0
2014-03-26,19:00:00,98.179,98.179,98.179,98.179,696,0
2014-03-26,20:00:00,98.179,98.179,98.179,98.179,101,0
2014-03-27,16:00:00,98.179,98.179,98.179,98.179,304,0
2014-03-27,18:00:00,98.189,98.189,98.189,98.189,232,0
2014-03-27,19:00:00,98.179,98.179,98.119,98.119,615,0
2014-03-28,16:00:00,98.179,98.179,98.179,98.179,334,0
2014-03-31,16:00:00,98.159,98.159,98.159,98.159,405,0
2014-04-01,19:00:00,98.286,98.286,98.286,98.286,304,0
2014-04-01,20:00:00,98.129,98.227,98.059,98.227,3476,0
2014-04-01,21:00:00,98.227,98.227,98.227,98.227,405,0
2014-04-02,18:00:00,98.059,98.059,98.059,98.059,202,0
2014-04-04,20:00:00,98.247,98.247,98.247,98.247,304,0
2014-04-07,18:00:00,98.296,98.296,98.267,98.267,513,0
2014-04-07,20:00:00,98.247,98.247,98.247,98.247,304,0
2014-04-08,21:00:00,98.455,98.455,98.455,98.455,162,0
2014-04-08,22:00:00,98.455,98.455,98.455,98.455,2260,0
2014-04-09,18:00:00,98.524,98.543,98.524,98.543,1537,0
2014-04-09,19:00:00,98.572,98.602,98.553,98.553,5569,0
2014-04-09,20:00:00,98.465,98.465,98.465,98.465,513,0
2014-04-09,22:00:00,98.553,98.553,98.465,98.465,615,0
2014-04-10,20:00:00,98.602,98.602,98.602,98.602,1889,0
2014-04-15,22:00:00,98.553,98.749,98.553,98.749,1315,0
2014-04-22,16:00:00,98.484,98.484,98.484,98.484,486,0
2014-04-22,20:00:00,98.612,98.612,98.612,98.612,354,0
2014-04-22,22:00:00,98.602,98.602,98.602,98.602,101,0
2014-04-23,17:00:00,98.876,98.876,98.876,98.876,513,0
2014-04-23,22:00:00,98.924,98.924,98.924,98.924,202,0
2014-04-24,21:00:00,98.866,98.876,98.827,98.876,5410,0
2014-04-24,22:00:00,98.856,98.856,98.856,98.856,513,0
2014-04-25,20:00:00,98.856,98.856,98.856,98.856,405,0
2014-04-28,19:00:00,98.856,98.856,98.797,98.797,859,0
2014-04-29,20:00:00,98.582,98.631,98.582,98.631,696,0
2014-04-29,22:00:00,98.592,98.592,98.592,98.592,283,0
2014-04-30,20:00:00,98.954,99.003,98.954,99.003,536,0
2014-04-30,21:00:00,98.759,98.759,98.759,98.759,373,0
2014-05-01,18:00:00,98.934,98.934,98.934,98.934,1436,0
2014-05-05,18:00:00,98.807,98.807,98.807,98.807,202,0
2014-05-05,19:00:00,98.789,98.789,98.789,98.789,615,0
2014-05-05,21:00:00,98.827,98.827,98.827,98.827,101,0
2014-05-06,16:00:00,98.983,98.983,98.983,98.983,848,0
2014-05-06,22:00:00,99.023,99.023,99.023,99.023,136,0
2014-05-12,18:00:00,99.023,99.023,99.023,99.023,422,0
2014-05-14,20:00:00,99.325,99.325,99.325,99.325,615,0
2014-05-19,22:00:00,99.131,99.131,99.131,99.131,202,0
2014-05-20,20:00:00,99.229,99.229,99.229,99.229,290,0
2014-05-22,18:00:00,99.219,99.219,99.219,99.219,405,0
2014-05-22,20:00:00,99.209,99.219,99.209,99.219,981,0
