Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-20,17:00:00,25.07,25.07,25.02,25.06,1200,0
2015-01-20,18:00:00,25.04,25.11,24.98,24.99,2400,0
2015-01-20,19:00:00,25.03,25.16,25.03,25.1,3000,0
2015-01-20,20:00:00,25.12,25.14,25.08,25.12,2500,0
2015-01-20,21:00:00,25.17,25.37,25.17,25.35,2600,0
2015-01-20,22:00:00,25.37,25.38,25.26,25.38,2800,0
2015-01-21,19:00:00,25.32,25.34,25.27,25.27,6200,0
2015-01-21,20:00:00,25.26,25.27,25.07,25.07,3000,0
2015-01-21,21:00:00,25.04,25.14,25.02,25.14,5300,0
2015-01-21,22:00:00,25.15,25.15,25.03,25.13,7600,0
2015-01-22,16:00:00,25.04,25.12,25.04,25.12,300,0
2015-01-22,17:00:00,25.37,25.48,25.37,25.48,200,0
2015-01-22,18:00:00,25.44,25.47,25.41,25.41,1800,0
2015-01-22,19:00:00,25.45,25.5,25.45,25.46,2500,0
2015-01-22,20:00:00,25.5,25.5,25.44,25.5,1500,0
2015-01-22,21:00:00,25.55,25.71,25.55,25.71,300,0
2015-01-22,22:00:00,25.78,25.81,25.74,25.81,4433,0
2015-01-27,17:00:00,25.78,25.78,25.63,25.71,600,0
2015-01-27,18:00:00,25.73,25.87,25.73,25.87,600,0
2015-01-27,19:00:00,25.84,25.97,25.83,25.92,700,0
2015-01-27,20:00:00,25.95,26.0,25.95,25.95,600,0
2015-01-27,21:00:00,25.98,26.03,25.98,26.02,600,0
2015-01-27,22:00:00,25.97,25.98,25.85,25.87,700,0
2015-01-28,17:00:00,25.73,25.73,25.73,25.73,5500,0
2015-01-28,21:00:00,25.61,25.61,25.61,25.61,200,0
2015-02-03,21:00:00,25.81,25.84,25.81,25.84,1000,0
2015-02-03,22:00:00,25.85,25.94,25.76,25.9,9000,0
2015-02-05,17:00:00,26.07,26.1,26.03,26.08,1100,0
2015-02-05,18:00:00,26.06,26.13,26.06,26.13,1900,0
2015-02-05,19:00:00,26.12,26.16,26.05,26.07,3200,0
2015-02-05,20:00:00,26.11,26.18,26.11,26.16,3000,0
2015-02-05,21:00:00,26.15,26.21,26.14,26.21,3300,0
2015-02-05,22:00:00,26.2,26.32,26.2,26.23,3600,0
2015-02-06,19:00:00,26.35,26.35,26.33,26.33,10000,0
2015-02-06,22:00:00,26.1,26.11,26.1,26.11,200,0
2015-02-09,20:00:00,26.06,26.06,26.05,26.05,4800,0
2015-02-09,22:00:00,25.87,25.87,25.87,25.87,100,0
2015-02-10,18:00:00,25.93,25.93,25.89,25.89,15000,0
2015-02-10,19:00:00,25.9,25.9,25.9,25.9,200,0
2015-02-10,22:00:00,26.11,26.11,26.11,26.11,100,0
2015-02-11,22:00:00,26.06,26.1,26.06,26.1,15200,0
2015-02-12,16:00:00,26.27,26.27,26.27,26.27,100,0
2015-02-12,22:00:00,26.47,26.47,26.47,26.47,100,0
2015-02-20,21:00:00,26.84,26.85,26.84,26.84,800,0
2015-02-20,22:00:00,26.87,26.87,26.87,26.87,100,0
2015-02-23,17:00:00,26.68,26.68,26.68,26.68,800,0
2015-02-24,17:00:00,27.05,27.05,27.05,27.05,10500,0
2015-02-24,18:00:00,26.92,26.92,26.92,26.92,100,0
2015-03-03,19:00:00,26.92,26.93,26.92,26.93,300,0
2015-03-04,17:00:00,26.71,26.71,26.71,26.71,100,0
2015-03-04,22:00:00,26.87,26.87,26.87,26.87,100,0
2015-03-05,18:00:00,26.987,26.987,26.987,26.987,500,0
2015-03-06,17:00:00,26.85,26.85,26.85,26.85,100,0
2015-03-06,18:00:00,26.67,26.67,26.67,26.67,100,0
2015-03-06,22:00:00,26.51,26.51,26.51,26.51,100,0
2015-03-09,16:00:00,26.65,26.65,26.65,26.65,100,0
2015-03-09,20:00:00,26.71,26.71,26.71,26.71,100,0
2015-03-10,15:00:00,26.28,26.28,26.28,26.28,550,0
2015-03-11,16:00:00,26.4,26.4,26.38,26.38,200,0
2015-03-11,17:00:00,26.33,26.33,26.33,26.33,100,0
2015-03-11,21:00:00,26.44,26.44,26.44,26.44,100,0
2015-03-12,16:00:00,26.83,26.83,26.83,26.83,100,0
