Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-12,16:00:00,19.611,19.629,19.537,19.537,1685,0
2014-12-12,17:00:00,19.537,19.556,19.207,19.343,13708,0
2014-12-12,18:00:00,19.198,19.198,19.133,19.17,2158,0
2014-12-12,19:00:00,19.161,19.308,19.161,19.308,2937,0
2014-12-12,20:00:00,19.343,19.353,19.308,19.353,14977,0
2014-12-12,22:00:00,19.317,19.317,19.17,19.271,10767,0
2014-12-15,17:00:00,19.207,19.243,18.959,19.079,9962,0
2014-12-15,18:00:00,19.032,19.032,18.886,18.886,6677,0
2014-12-15,20:00:00,18.941,19.39,18.913,18.913,17693,0
2014-12-15,21:00:00,18.903,18.903,18.903,18.903,1957,0
2014-12-15,22:00:00,18.876,18.921,18.819,18.848,8510,0
2014-12-16,16:00:00,18.572,18.572,18.517,18.572,3644,0
2014-12-16,17:00:00,18.71,18.71,18.71,18.71,1087,0
2014-12-16,18:00:00,18.839,19.096,18.839,19.022,6800,0
2014-12-16,20:00:00,18.785,18.839,18.756,18.839,3807,0
2014-12-16,21:00:00,18.867,18.867,18.867,18.867,273,0
2014-12-16,22:00:00,18.775,18.793,18.6,18.617,3916,0
2014-12-17,16:00:00,18.793,18.903,18.793,18.903,5330,0
2014-12-17,17:00:00,19.004,19.079,18.931,19.079,2448,0
2014-12-17,18:00:00,19.19,19.299,19.19,19.299,3210,0
2014-12-17,20:00:00,19.418,19.519,19.409,19.454,7396,0
2014-12-17,21:00:00,19.546,19.546,19.546,19.546,783,0
2014-12-17,22:00:00,19.574,19.72,19.483,19.537,4785,0
2014-12-18,16:00:00,20.125,20.125,20.107,20.107,6525,0
2014-12-18,17:00:00,20.198,20.198,20.079,20.079,1588,0
2014-12-18,18:00:00,20.04,20.04,20.006,20.006,11601,0
2014-12-18,19:00:00,20.152,20.152,20.116,20.116,494,0
2014-12-18,21:00:00,20.152,20.152,20.079,20.097,4352,0
2014-12-18,22:00:00,20.162,20.272,20.015,20.208,2285,0
2014-12-19,17:00:00,20.456,20.456,20.456,20.456,816,0
2014-12-19,18:00:00,20.456,20.456,20.456,20.456,109,0
2014-12-19,19:00:00,20.31,20.31,20.243,20.243,3264,0
2014-12-19,21:00:00,20.382,20.382,20.382,20.382,434,0
2014-12-19,22:00:00,20.511,20.511,20.411,20.42,11312,0
2014-12-22,16:00:00,20.483,20.705,20.483,20.705,2905,0
2014-12-22,18:00:00,20.319,20.326,20.179,20.226,2068,0
2014-12-22,19:00:00,20.179,20.198,20.162,20.198,1522,0
2014-12-22,20:00:00,20.142,20.188,20.142,20.188,2501,0
2014-12-22,21:00:00,20.133,20.17,20.133,20.17,1415,0
2014-12-22,22:00:00,20.188,20.234,20.179,20.217,652,0
2014-12-23,17:00:00,20.446,20.511,20.373,20.502,34698,0
2014-12-23,18:00:00,20.575,20.575,20.529,20.529,978,0
2014-12-23,20:00:00,20.594,20.676,20.594,20.676,1084,0
2014-12-23,21:00:00,20.676,20.676,20.658,20.676,909,0
2014-12-23,22:00:00,20.648,20.648,20.436,20.631,2148,0
2014-12-24,16:00:00,20.529,20.529,20.529,20.529,109,0
2014-12-24,17:00:00,20.622,20.622,20.604,20.604,1305,0
2014-12-24,18:00:00,20.594,20.594,20.594,20.594,6525,0
2014-12-24,19:00:00,20.566,20.613,20.566,20.613,1668,0
2014-12-26,16:00:00,20.502,20.502,20.502,20.502,1031,0
2014-12-26,17:00:00,20.638,20.638,20.638,20.638,543,0
2014-12-26,18:00:00,20.648,20.648,20.638,20.638,428,0
2014-12-26,19:00:00,20.604,20.638,20.594,20.594,831,0
2014-12-26,20:00:00,20.594,20.594,20.557,20.557,347,0
2014-12-26,22:00:00,20.604,20.604,20.566,20.575,1848,0
2014-12-29,16:00:00,20.917,20.917,20.917,20.917,2785,0
2014-12-29,17:00:00,20.705,20.714,20.695,20.714,3807,0
2014-12-29,19:00:00,20.631,20.631,20.622,20.622,706,0
2014-12-29,20:00:00,20.585,20.594,20.473,20.473,5493,0
2014-12-29,21:00:00,20.42,20.511,20.42,20.511,326,0
2014-12-29,22:00:00,20.465,20.465,20.456,20.456,1903,0
2014-12-30,16:00:00,20.319,20.319,20.319,20.319,609,0
2014-12-30,17:00:00,20.363,20.363,20.354,20.363,1195,0
2014-12-30,20:00:00,20.685,20.685,20.685,20.685,652,0
2014-12-30,21:00:00,20.658,20.658,20.585,20.604,7832,0
2014-12-30,22:00:00,20.585,20.638,20.575,20.575,816,0
2014-12-31,16:00:00,20.575,20.585,20.575,20.575,4243,0
2014-12-31,17:00:00,20.705,20.714,20.705,20.714,1120,0
2014-12-31,18:00:00,20.786,20.786,20.695,20.695,1740,0
2014-12-31,19:00:00,20.638,20.75,20.631,20.723,117280,0
2014-12-31,20:00:00,20.75,20.989,20.714,20.917,112909,0
2014-12-31,21:00:00,20.934,20.934,20.631,20.685,48806,0
2014-12-31,22:00:00,20.685,20.806,20.638,20.638,31111,0
2015-01-02,16:00:00,21.071,21.109,20.97,20.97,25546,0
2015-01-02,17:00:00,20.97,20.98,20.638,20.714,26859,0
2015-01-02,18:00:00,20.714,20.786,20.648,20.786,8000,0
2015-01-02,19:00:00,20.786,20.898,20.74,20.898,6994,0
2015-01-02,20:00:00,20.888,20.908,20.841,20.841,12369,0
