Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,119.53,119.68,119.45,119.66,148986,0
2015-01-15,17:00:00,119.68,119.77,119.62,119.73,454700,0
2015-01-15,18:00:00,119.71,119.87,119.68,119.81,262811,0
2015-01-15,19:00:00,119.8,120.09,119.79,119.93,273815,0
2015-01-15,20:00:00,119.93,120.05,119.86,119.92,383548,0
2015-01-15,21:00:00,119.93,120,119.86,119.99,266671,0
2015-01-15,22:00:00,119.99,120.25,119.94,120.07,511203,0
2015-01-16,16:00:00,119.7,119.9,119.67,119.9,171221,0
2015-01-16,17:00:00,119.85,119.86,119.28,119.43,208600,0
2015-01-16,18:00:00,119.42,119.65,119.34,119.58,316662,0
2015-01-16,19:00:00,119.6,119.6,119.29,119.37,134121,0
2015-01-16,20:00:00,119.36,119.51,119.34,119.44,308013,0
2015-01-16,21:00:00,119.43,119.51,119.4,119.41,323896,0
2015-01-16,22:00:00,119.4,119.45,119.24,119.4,369466,0
2015-01-20,16:00:00,119.73,119.92,119.64,119.86,208395,0
2015-01-20,17:00:00,119.86,120.03,119.81,119.95,253248,0
2015-01-20,18:00:00,119.96,120.05,119.92,119.93,409857,0
2015-01-20,19:00:00,119.93,119.96,119.69,119.78,367708,0
2015-01-20,20:00:00,119.78,119.83,119.71,119.75,278835,0
2015-01-20,21:00:00,119.76,119.78,119.63,119.67,194891,0
2015-01-20,22:00:00,119.66,119.8,119.62,119.67,525065,0
2015-01-21,16:00:00,119.95,120.09,119.84,119.92,191552,0
2015-01-21,17:00:00,119.95,120.1,119.89,119.93,481300,0
2015-01-21,18:00:00,119.92,119.92,119.35,119.46,172098,0
2015-01-21,19:00:00,119.46,119.6,119.37,119.44,149385,0
2015-01-21,20:00:00,119.46,119.64,119.32,119.64,551876,0
2015-01-21,21:00:00,119.65,119.71,119.41,119.41,142999,0
2015-01-21,22:00:00,119.41,119.69,119.4,119.65,602494,0
2015-01-22,16:00:00,119.86,119.95,119.58,119.62,218438,0
2015-01-22,17:00:00,119.6,119.7,119.39,119.63,474786,0
2015-01-22,18:00:00,119.61,119.74,119.54,119.61,252434,0
2015-01-22,19:00:00,119.59,119.64,119.44,119.44,333484,0
2015-01-22,20:00:00,119.45,119.59,119.3,119.37,453618,0
2015-01-22,21:00:00,119.39,119.47,119.25,119.43,411547,0
2015-01-22,22:00:00,119.43,119.68,119.42,119.56,521763,0
2015-01-23,16:00:00,120.15,120.23,120.03,120.15,169144,0
2015-01-23,17:00:00,120.15,120.38,120.05,120.18,296330,0
2015-01-23,18:00:00,120.2,120.3,120.17,120.21,229223,0
2015-01-23,19:00:00,120.21,120.33,120.19,120.25,269128,0
2015-01-23,20:00:00,120.23,120.23,120.1,120.1,537444,0
2015-01-23,21:00:00,120.11,120.17,120.07,120.15,237083,0
2015-01-23,22:00:00,120.14,120.34,120.14,120.26,375774,0
2015-01-26,16:00:00,120.33,120.41,120.22,120.35,110723,0
2015-01-26,17:00:00,120.35,120.36,119.99,120.07,386114,0
2015-01-26,18:00:00,120.04,120.18,120,120.07,234544,0
2015-01-26,19:00:00,120.1,120.38,120.07,120.34,159317,0
2015-01-26,20:00:00,120.32,120.44,120.28,120.33,363449,0
2015-01-26,21:00:00,120.31,120.34,120.08,120.14,501839,0
2015-01-26,22:00:00,120.14,120.3,120.09,120.21,706226,0
2015-01-27,16:00:00,120.51,120.79,120.51,120.79,84881,0
2015-01-27,17:00:00,120.77,120.8,120.62,120.75,320686,0
2015-01-27,18:00:00,120.74,120.78,120.58,120.58,198688,0
2015-01-27,19:00:00,120.58,120.63,120.43,120.43,194473,0
2015-01-27,20:00:00,120.42,120.48,120.38,120.4,253559,0
2015-01-27,21:00:00,120.42,120.42,120.19,120.23,186394,0
2015-01-27,22:00:00,120.25,120.33,120.18,120.32,799287,0
2015-01-28,16:00:00,120.35,120.52,120.35,120.42,109604,0
2015-01-28,17:00:00,120.41,120.5,120.39,120.5,236134,0
2015-01-28,18:00:00,120.51,120.56,120.45,120.51,238768,0
2015-01-28,19:00:00,120.51,120.61,120.48,120.56,169322,0
2015-01-28,20:00:00,120.55,120.7,120.54,120.67,325419,0
2015-01-28,21:00:00,120.65,121.17,120.52,121.17,387976,0
2015-01-28,22:00:00,121.15,121.31,121.06,121.14,348654,0
2015-01-29,16:00:00,120.83,120.96,120.83,120.96,129451,0
2015-01-29,17:00:00,120.97,121,120.8,120.82,268622,0
2015-01-29,18:00:00,120.81,121,120.79,120.94,163349,0
2015-01-29,19:00:00,120.95,120.97,120.82,120.88,180431,0
2015-01-29,20:00:00,120.88,120.92,120.66,120.7,322905,0
2015-01-29,21:00:00,120.69,120.95,120.69,120.88,415103,0
2015-01-29,22:00:00,120.87,120.9,120.8,120.85,582026,0
2015-01-30,16:00:00,121.51,121.61,121.44,121.56,127147,0
2015-01-30,17:00:00,121.59,121.67,121.48,121.56,1729340,0
2015-01-30,18:00:00,121.53,121.78,121.49,121.69,391142,0
2015-01-30,19:00:00,121.7,121.7,121.55,121.61,260610,0
2015-01-30,20:00:00,121.6,121.67,121.56,121.57,158048,0
2015-01-30,21:00:00,121.56,121.79,121.4,121.66,714569,0
2015-01-30,22:00:00,121.69,121.85,121.67,121.82,1288827,0
2015-02-02,16:00:00,121.52,121.62,121.35,121.62,358986,0
2015-02-02,17:00:00,121.62,121.82,121.49,121.49,1320714,0
2015-02-02,18:00:00,121.49,121.55,121.44,121.49,627231,0
2015-02-02,19:00:00,121.49,121.75,121.47,121.74,1319062,0
2015-02-02,20:00:00,121.74,121.8,121.67,121.8,367981,0
2015-02-02,21:00:00,121.81,121.85,121.71,121.72,536246,0
2015-02-02,22:00:00,121.72,122.01,121.72,121.96,1681759,0
2015-02-03,16:00:00,121.36,121.48,121.21,121.22,415826,0
2015-02-03,17:00:00,121.23,121.25,120.95,121.12,655046,0
2015-02-03,18:00:00,121.16,121.18,121,121.1,428631,0
2015-02-03,19:00:00,121.12,121.12,121.02,121.06,450695,0
2015-02-03,20:00:00,121.06,121.07,120.85,120.9,362254,0
2015-02-03,21:00:00,120.9,120.99,120.85,120.85,556172,0
2015-02-03,22:00:00,120.85,120.98,120.82,120.97,780877,0
2015-02-04,16:00:00,120.56,120.72,120.56,120.71,208006,0
2015-02-04,17:00:00,120.69,120.7,120.49,120.55,753807,0
2015-02-04,18:00:00,120.56,120.65,120.52,120.62,811223,0
2015-02-04,19:00:00,120.63,120.77,120.53,120.67,334490,0
2015-02-04,20:00:00,120.67,120.72,120.58,120.71,235571,0
2015-02-04,21:00:00,120.72,120.98,120.69,120.87,381400,0
2015-02-04,22:00:00,120.86,121.17,120.75,121.14,832297,0
2015-02-05,16:00:00,120.9,120.95,120.82,120.82,282143,0
2015-02-05,17:00:00,120.82,120.88,120.73,120.73,285249,0
2015-02-05,18:00:00,120.76,120.82,120.66,120.77,242568,0
2015-02-05,19:00:00,120.78,120.95,120.74,120.93,322614,0
2015-02-05,20:00:00,120.93,120.93,120.68,120.82,235657,0
2015-02-05,21:00:00,120.81,120.92,120.71,120.71,404795,0
2015-02-05,22:00:00,120.71,120.81,120.7,120.75,491924,0
2015-02-06,16:00:00,120.27,120.39,120.16,120.16,227833,0
2015-02-06,17:00:00,120.15,120.16,119.75,119.76,618183,0
2015-02-06,18:00:00,119.77,119.91,119.61,119.88,396641,0
2015-02-06,19:00:00,119.88,119.92,119.69,119.72,325102,0
2015-02-06,20:00:00,119.7,119.9,119.7,119.75,597850,0
2015-02-06,21:00:00,119.75,119.77,119.59,119.72,343261,0
2015-02-06,22:00:00,119.73,119.73,119.47,119.5,935968,0
2015-02-09,16:00:00,119.82,119.94,119.69,119.71,480350,0
2015-02-09,17:00:00,119.7,119.84,119.62,119.78,450059,0
2015-02-09,18:00:00,119.78,119.8,119.67,119.71,273779,0
2015-02-09,19:00:00,119.69,119.79,119.67,119.72,204255,0
2015-02-09,20:00:00,119.73,119.78,119.54,119.55,331994,0
2015-02-09,21:00:00,119.55,119.71,119.46,119.48,538059,0
2015-02-09,22:00:00,119.47,119.67,119.44,119.57,1114452,0
2015-02-10,16:00:00,119.43,119.61,119.39,119.61,233877,0
2015-02-10,17:00:00,119.6,119.62,119.38,119.43,289463,0
2015-02-10,18:00:00,119.43,119.46,119.29,119.29,195557,0
2015-02-10,19:00:00,119.3,119.37,119.23,119.34,229873,0
2015-02-10,20:00:00,119.33,119.47,119.29,119.47,1592762,0
2015-02-10,21:00:00,119.48,119.5,119.37,119.37,262990,0
2015-02-10,22:00:00,119.37,119.37,119.24,119.25,1940151,0
2015-02-11,16:00:00,119.33,119.36,119.15,119.24,138417,0
2015-02-11,17:00:00,119.24,119.26,119.07,119.07,991920,0
2015-02-11,18:00:00,119.04,119.14,118.98,119.08,402057,0
2015-02-11,19:00:00,119.08,119.08,118.99,119.04,180658,0
2015-02-11,20:00:00,119.04,119.31,119.03,119.28,202087,0
2015-02-11,21:00:00,119.26,119.38,119.23,119.32,380600,0
2015-02-11,22:00:00,119.29,119.37,119.24,119.33,656860,0
2015-02-12,16:00:00,119.24,119.54,119.24,119.51,338382,0
2015-02-12,17:00:00,119.53,119.54,119.36,119.48,517862,0
2015-02-12,18:00:00,119.49,119.67,119.45,119.65,862368,0
2015-02-12,19:00:00,119.65,119.76,119.56,119.67,405630,0
2015-02-12,20:00:00,119.69,119.74,119.46,119.48,462469,0
2015-02-12,21:00:00,119.48,119.65,119.47,119.6,593585,0
2015-02-12,22:00:00,119.6,119.71,119.58,119.63,1078852,0
2015-02-13,16:00:00,119.44,119.61,119.4,119.41,235295,0
2015-02-13,17:00:00,119.42,119.46,119.3,119.4,682998,0
2015-02-13,18:00:00,119.42,119.49,119.36,119.44,310627,0
2015-02-13,19:00:00,119.44,119.45,119.28,119.29,255811,0
2015-02-13,20:00:00,119.29,119.46,119.29,119.43,323136,0
2015-02-13,21:00:00,119.42,119.5,119.33,119.35,501160,0
2015-02-13,22:00:00,119.34,119.36,119.16,119.17,308779,0
2015-02-17,16:00:00,119,119.12,118.9,119.01,189888,0
2015-02-17,17:00:00,118.97,119.09,118.71,118.75,683584,0
2015-02-17,18:00:00,118.77,118.9,118.72,118.81,439887,0
2015-02-17,19:00:00,118.81,118.81,118.53,118.58,589732,0
2015-02-17,20:00:00,118.58,118.66,118.4,118.65,313769,0
2015-02-17,21:00:00,118.64,118.77,118.46,118.51,550470,0
2015-02-17,22:00:00,118.5,118.64,118.44,118.61,847742,0
2015-02-18,16:00:00,118.68,118.72,118.55,118.67,257677,0
2015-02-18,17:00:00,118.67,118.87,118.58,118.85,452939,0
2015-02-18,18:00:00,118.85,118.9,118.77,118.8,393028,0
2015-02-18,19:00:00,118.81,118.81,118.67,118.75,285588,0
2015-02-18,20:00:00,118.75,118.75,118.6,118.67,725945,0
2015-02-18,21:00:00,118.7,119.33,118.69,119.15,580593,0
2015-02-18,22:00:00,119.15,119.25,118.94,119.02,959654,0
2015-02-19,16:00:00,119.18,119.31,118.98,119.29,187402,0
2015-02-19,17:00:00,119.29,119.34,119.22,119.34,633881,0
2015-02-19,18:00:00,119.34,119.41,119.23,119.24,390671,0
2015-02-19,19:00:00,119.24,119.31,118.96,119,351522,0
2015-02-19,20:00:00,118.99,119.11,118.88,118.94,424693,0
2015-02-19,21:00:00,118.93,119.06,118.93,118.99,372674,0
2015-02-19,22:00:00,118.99,119.12,118.94,119.02,1087462,0
2015-02-20,16:00:00,119.36,119.59,119.28,119.53,146855,0
2015-02-20,17:00:00,119.52,119.57,119.3,119.38,170307,0
2015-02-20,18:00:00,119.38,119.43,119.32,119.42,465038,0
2015-02-20,19:00:00,119.42,119.64,119.4,119.54,328369,0
2015-02-20,20:00:00,119.54,119.56,119.15,119.16,240269,0
2015-02-20,21:00:00,119.16,119.25,118.81,118.9,294252,0
2015-02-20,22:00:00,118.9,119.22,118.89,119.2,531156,0
2015-02-23,16:00:00,119.48,119.53,119.4,119.47,264105,0
2015-02-23,17:00:00,119.48,119.53,119.39,119.45,438280,0
2015-02-23,18:00:00,119.46,119.5,119.41,119.5,177526,0
2015-02-23,19:00:00,119.49,119.56,119.43,119.45,379614,0
2015-02-23,20:00:00,119.45,119.54,119.44,119.48,167841,0
2015-02-23,21:00:00,119.47,119.54,119.4,119.54,347688,0
2015-02-23,22:00:00,119.54,119.6,119.43,119.55,691206,0
2015-02-24,16:00:00,119.39,119.43,119.28,119.42,133721,0
2015-02-24,17:00:00,119.43,119.82,119.14,119.69,331664,0
2015-02-24,18:00:00,119.68,119.85,119.68,119.72,661690,0
2015-02-24,19:00:00,119.73,120.07,119.72,120.06,401962,0
2015-02-24,20:00:00,120.07,120.28,120.03,120.18,162040,0
2015-02-24,21:00:00,120.15,120.28,120.13,120.26,247823,0
2015-02-24,22:00:00,120.25,120.4,120.04,120.37,594331,0
2015-02-25,16:00:00,120.22,120.28,120.06,120.15,133891,0
2015-02-25,17:00:00,120.14,120.39,120.1,120.35,475419,0
2015-02-25,18:00:00,120.34,120.35,120.12,120.15,259907,0
2015-02-25,19:00:00,120.15,120.27,120.07,120.25,192890,0
2015-02-25,20:00:00,120.25,120.44,120.12,120.44,264205,0
2015-02-25,21:00:00,120.44,120.5,120.33,120.37,292893,0
2015-02-25,22:00:00,120.37,120.49,120.35,120.47,1082387,0
2015-02-26,16:00:00,120.23,120.43,120.2,120.39,83646,0
2015-02-26,17:00:00,120.43,120.45,120.3,120.3,230997,0
2015-02-26,18:00:00,120.32,120.37,120.21,120.34,135773,0
2015-02-26,19:00:00,120.35,120.38,120.22,120.24,207868,0
2015-02-26,20:00:00,120.24,120.24,120.09,120.15,393254,0
2015-02-26,21:00:00,120.13,120.16,119.99,120.04,186529,0
2015-02-26,22:00:00,120.03,120.05,119.76,119.83,322877,0
2015-02-27,16:00:00,119.86,120.05,119.77,119.91,128427,0
2015-02-27,17:00:00,119.92,120.01,119.63,119.93,289767,0
2015-02-27,18:00:00,119.95,120.03,119.88,119.98,522936,0
2015-02-27,19:00:00,120,120.02,119.78,119.86,343536,0
2015-02-27,20:00:00,119.87,119.98,119.79,119.92,386462,0
2015-02-27,21:00:00,119.91,120.14,119.84,120.14,601250,0
2015-02-27,22:00:00,120.13,120.17,120.04,120.12,2177557,0
2015-03-02,16:00:00,119.95,120,119.68,119.69,442768,0
2015-03-02,17:00:00,119.68,119.74,119.39,119.4,1450555,0
2015-03-02,18:00:00,119.4,119.42,119.27,119.38,498803,0
2015-03-02,19:00:00,119.37,119.43,119.32,119.36,321912,0
2015-03-02,20:00:00,119.36,119.48,119.36,119.45,327223,0
2015-03-02,21:00:00,119.45,119.46,119.29,119.29,328633,0
2015-03-02,22:00:00,119.29,119.38,119.06,119.08,642176,0
2015-03-03,16:00:00,119.16,119.37,119.14,119.36,552263,0
2015-03-03,17:00:00,119.34,119.38,119.05,119.18,611299,0
2015-03-03,18:00:00,119.19,119.35,119.18,119.35,218575,0
2015-03-03,19:00:00,119.36,119.43,119.14,119.23,590883,0
2015-03-03,20:00:00,119.23,119.33,119.17,119.24,620584,0
2015-03-03,21:00:00,119.24,119.36,119.17,119.17,1528143,0
2015-03-03,22:00:00,119.17,119.31,119,119.01,525292,0
2015-03-04,16:00:00,119.32,119.32,119.16,119.25,86028,0
2015-03-04,17:00:00,119.24,119.24,118.87,119,342793,0
2015-03-04,18:00:00,119,119.04,118.89,118.97,383837,0
2015-03-04,19:00:00,118.98,119.02,118.92,118.98,294707,0
