Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-07-09,16:00:00,6.14,6.14,6.14,6.14,200,0
2013-07-09,17:00:00,6.14,6.15,6.14,6.15,6800,0
2013-07-09,19:00:00,6.16,6.16,6.16,6.16,500,0
2013-07-09,21:00:00,6.16,6.16,6.16,6.16,400,0
2013-07-09,22:00:00,6.15,6.15,6.15,6.15,900,0
2013-07-10,17:00:00,6.13,6.19,6.13,6.17,400,0
2013-07-10,20:00:00,6.16,6.2,5.93,5.93,24900,0
2013-07-10,21:00:00,5.61,6.18,5.61,6.16,38040,0
2013-07-10,22:00:00,6.16,6.18,6.16,6.17,55909,0
2013-07-11,16:00:00,6.12,6.12,6.12,6.12,400,0
2013-07-11,17:00:00,6.1,6.13,6.1,6.13,700,0
2013-07-11,22:00:00,6.13,6.13,6.13,6.13,200,0
2013-07-12,16:00:00,6.12,6.15,6.12,6.15,700,0
2013-07-12,17:00:00,6.16,6.16,6.16,6.16,100,0
2013-07-12,19:00:00,6.16,6.16,6.16,6.16,3000,0
2013-07-12,20:00:00,6.2,6.2,6.2,6.2,1200,0
2013-07-12,22:00:00,6.2,6.21,6.2,6.21,1045,0
2013-07-15,18:00:00,6.21,6.21,6.21,6.21,100,0
2013-07-15,20:00:00,6.23,6.23,6.2,6.2,946,0
2013-07-15,22:00:00,6.2,6.2,6.2,6.2,200,0
2013-07-16,16:00:00,6.15,6.16,6.15,6.16,500,0
2013-07-16,18:00:00,6.15,6.15,6.15,6.15,225,0
2013-07-16,21:00:00,6.16,6.16,6.16,6.16,3709,0
2013-07-16,22:00:00,6.17,6.17,6.15,6.15,2652,0
2013-07-17,17:00:00,6.11,6.2,6.11,6.17,1600,0
2013-07-17,22:00:00,6.2,6.21,6.2,6.21,400,0
2013-07-19,22:00:00,6.21,6.21,6.21,6.21,803,0
2013-07-22,16:00:00,6.31,6.31,6.2,6.2,783,0
2013-07-22,18:00:00,6.18,6.18,6.18,6.18,100,0
2013-07-22,20:00:00,6.16,6.16,6.16,6.16,200,0
2013-07-23,16:00:00,6.16,6.16,6.16,6.16,1348,0
2013-07-23,18:00:00,6.18,6.18,6.18,6.18,100,0
2013-07-23,20:00:00,6.17,6.19,6.16,6.19,1390,0
2013-07-23,22:00:00,6.17,6.17,6.16,6.16,553,0
2013-07-24,16:00:00,6.16,6.16,6.16,6.16,1729,0
2013-07-24,17:00:00,6.17,6.17,6.17,6.17,2100,0
2013-07-24,18:00:00,6.17,6.17,6.17,6.17,100,0
2013-07-24,19:00:00,6.16,6.16,6.16,6.16,600,0
2013-07-24,20:00:00,6.18,6.18,6.17,6.17,2900,0
2013-07-24,21:00:00,6.18,6.18,6.18,6.18,400,0
2013-07-24,22:00:00,6.19,6.19,6.18,6.18,748,0
2013-07-25,17:00:00,6.22,6.22,6.22,6.22,100,0
2013-07-25,22:00:00,6.22,6.22,6.22,6.22,100,0
2013-07-26,16:00:00,6.22,6.22,6.22,6.22,1722,0
2013-07-26,18:00:00,6.22,6.22,6.22,6.22,200,0
2013-07-26,22:00:00,6.23,6.23,6.23,6.23,200,0
2013-07-29,16:00:00,6.26,6.26,6.26,6.26,1100,0
2013-07-29,17:00:00,6.27,6.27,6.26,6.26,300,0
2013-07-29,19:00:00,6.26,6.26,6.26,6.26,2000,0
2013-07-29,22:00:00,6.25,6.25,6.25,6.25,300,0
2013-07-30,16:00:00,6.27,6.27,6.23,6.23,200,0
2013-07-30,17:00:00,6.24,6.24,6.24,6.24,100,0
2013-07-30,22:00:00,6.25,6.25,6.25,6.25,100,0
2013-07-31,17:00:00,6.24,6.24,6.24,6.24,675,0
2013-08-01,20:00:00,6.33,6.33,6.33,6.33,100,0
2013-08-01,22:00:00,6.32,6.32,6.32,6.32,400,0
2013-08-02,20:00:00,6.32,6.32,6.32,6.32,600,0
2013-08-02,21:00:00,6.35,6.35,6.35,6.35,2000,0
2013-08-02,22:00:00,6.33,6.33,6.33,6.33,157,0
2013-08-05,17:00:00,6.32,6.32,6.32,6.32,6000,0
2013-08-05,18:00:00,6.33,6.33,6.33,6.33,300,0
2013-08-05,22:00:00,6.32,6.32,6.32,6.32,6000,0
2013-08-06,16:00:00,6.43,6.43,6.43,6.43,1300,0
2013-08-06,17:00:00,6.29,6.29,6.29,6.29,1023,0
2013-08-06,20:00:00,6.31,6.35,6.31,6.35,352,0
2013-08-06,22:00:00,6.39,6.39,6.39,6.39,300,0
2013-08-07,21:00:00,6.25,6.28,6.25,6.28,2100,0
2013-08-07,22:00:00,6.36,6.37,6.36,6.37,489,0
2013-08-12,17:00:00,6.23,6.23,6.23,6.23,5729,0
2013-08-12,19:00:00,6.24,6.24,6.24,6.24,1600,0
2013-08-12,22:00:00,6.22,6.22,6.22,6.22,200,0
2013-08-14,17:00:00,6.14,6.14,6.14,6.14,400,0
2013-08-15,19:00:00,6.21,6.22,6.2,6.22,1040,0
2013-08-15,21:00:00,6.19,6.19,6.19,6.19,710,0
2013-08-16,21:00:00,6.19,6.19,6.19,6.19,100,0
2013-08-20,18:00:00,6.14,6.16,6.14,6.16,1300,0
2013-08-20,19:00:00,6.16,6.16,6.16,6.16,700,0
2013-08-21,17:00:00,6.17,6.17,6.17,6.17,100,0
2013-08-21,18:00:00,6.11,6.15,6.1,6.1,21750,0
2013-08-21,19:00:00,6.15,6.15,6.14,6.14,7500,0
2013-08-21,21:00:00,6.1,6.14,6.09,6.14,12600,0
2013-08-21,22:00:00,6.14,6.14,6.14,6.14,200,0
2013-08-22,19:00:00,6.14,6.14,6.13,6.13,242,0
2013-08-22,20:00:00,6.13,6.13,6.13,6.13,600,0
2013-08-22,21:00:00,6.15,6.15,6.15,6.15,600,0
2013-08-22,22:00:00,6.16,6.16,6.15,6.15,650,0
2013-08-23,16:00:00,6.14,6.14,6.14,6.14,100,0
2013-08-23,17:00:00,6.09,6.13,6.09,6.12,13200,0
2013-08-23,19:00:00,6.12,6.12,6.12,6.12,14172,0
2013-08-23,20:00:00,6.15,6.15,6.15,6.15,813,0
2013-08-23,22:00:00,6.13,6.13,6.13,6.13,100,0
2013-08-26,16:00:00,6.05,6.07,6.05,6.07,400,0
2013-08-26,21:00:00,6.06,6.06,6.06,6.06,1080,0
2013-08-26,22:00:00,6.05,6.05,6.05,6.05,300,0
2013-08-27,17:00:00,6.09,6.09,6.03,6.03,300,0
2013-08-28,17:00:00,6.14,6.14,6.12,6.12,4444,0
2013-08-28,22:00:00,6.14,6.15,6.14,6.15,500,0
2013-08-29,18:00:00,6.16,6.16,6.16,6.16,550,0
2013-08-30,16:00:00,6.15,6.15,6.14,6.15,23400,0
2013-08-30,22:00:00,6.15,6.15,6.15,6.15,400,0
2013-09-03,16:00:00,6.14,6.14,6.09,6.1,4849,0
2013-09-03,17:00:00,6.11,6.11,6.11,6.11,600,0
2013-09-03,18:00:00,6.13,6.13,6.1,6.1,16138,0
2013-09-03,19:00:00,6.12,6.12,6.12,6.12,100,0
2013-09-03,22:00:00,6.1,6.12,6.1,6.12,4907,0
2013-09-04,17:00:00,6.14,6.16,6.14,6.16,400,0
2013-09-04,22:00:00,6.18,6.18,6.13,6.18,1080,0
2013-09-05,18:00:00,6.23,6.23,6.23,6.23,1594,0
2013-09-05,19:00:00,6.24,6.24,6.24,6.24,100,0
2013-09-05,21:00:00,6.2,6.2,6.2,6.2,200,0
2013-09-05,22:00:00,6.21,6.21,6.2,6.2,1000,0
2013-09-06,18:00:00,6.22,6.22,6.21,6.21,6500,0
2013-09-09,16:00:00,6.25,6.25,6.19,6.19,604,0
2013-09-09,17:00:00,6.19,6.19,6.19,6.19,100,0
2013-09-09,18:00:00,6.2,6.2,6.2,6.2,100,0
2013-09-09,20:00:00,6.18,6.19,6.18,6.19,3015,0
2013-09-09,21:00:00,6.18,6.18,6.18,6.18,100,0
2013-09-09,22:00:00,6.17,6.17,6.17,6.17,100,0
2013-09-10,19:00:00,6.12,6.12,6.12,6.12,1286,0
2013-09-10,22:00:00,6.13,6.13,6.13,6.13,386,0
2013-09-11,21:00:00,6.14,6.15,6.14,6.15,1010,0
2013-09-12,16:00:00,6.15,6.16,6.15,6.16,300,0
2013-09-12,18:00:00,6.14,6.14,6.14,6.14,200,0
2013-09-12,19:00:00,6.09,6.14,6.09,6.14,1069,0
2013-09-13,17:00:00,6.11,6.11,6.11,6.11,2700,0
2013-09-13,18:00:00,6.1,6.1,6.1,6.1,1470,0
2013-09-13,19:00:00,6.1,6.1,6.1,6.1,200,0
2013-09-13,22:00:00,6.11,6.12,6.1,6.12,2600,0
2013-09-16,18:00:00,6.09,6.09,6.08,6.09,11161,0
2013-09-16,19:00:00,6.07,6.07,6.07,6.07,1700,0
2013-09-16,22:00:00,6.05,6.05,6.05,6.05,100,0
2013-09-17,18:00:00,6.05,6.05,6.05,6.05,100,0
2013-09-17,21:00:00,6.05,6.05,6.03,6.03,200,0
2013-09-17,22:00:00,6.03,6.03,6.03,6.03,101,0
2013-09-18,21:00:00,6.09,6.09,6.09,6.09,200,0
2013-09-18,22:00:00,6.13,6.13,6.12,6.12,1682,0
2013-09-19,16:00:00,5.93,6.16,5.93,6.02,3300,0
2013-09-19,17:00:00,6.03,6.14,6.03,6.14,6800,0
2013-09-19,19:00:00,6.1,6.1,6.1,6.1,300,0
2013-09-19,22:00:00,6.1,6.1,6.1,6.1,300,0
2013-09-20,16:00:00,6.08,6.08,6.08,6.08,200,0
2013-09-20,17:00:00,6.1,6.1,6.08,6.08,400,0
2013-09-20,20:00:00,6.04,6.04,6.04,6.04,200,0
2013-09-20,22:00:00,6.04,6.04,6.04,6.04,100,0
2013-09-23,16:00:00,6.01,6.01,6.01,6.01,227,0
2013-09-23,17:00:00,6.04,6.04,6.04,6.04,200,0
2013-09-23,18:00:00,6.02,6.03,6.02,6.03,1200,0
2013-09-23,22:00:00,6.03,6.03,6.03,6.03,100,0
2013-09-24,16:00:00,6.09,6.09,6.09,6.09,100,0
2013-09-24,17:00:00,5.98,6.02,5.98,6.02,660,0
2013-09-25,18:00:00,6.19,6.19,5.96,6.08,4600,0
2013-09-25,20:00:00,6.05,6.05,6.05,6.05,400,0
2013-09-25,22:00:00,6.06,6.08,6.05,6.08,1650,0
2013-09-26,16:00:00,6.1,6.1,6.1,6.1,100,0
2013-09-26,17:00:00,6.02,6.03,6.02,6.03,1000,0
2013-09-26,19:00:00,6.07,6.07,6.07,6.07,642,0
