Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-12-19,16:00:00,39.773,39.773,39.773,39.773,204,0
2011-12-19,18:00:00,39.716,39.716,39.426,39.552,2266,0
2011-12-19,21:00:00,39.347,39.357,39.152,39.192,5771,0
2011-12-20,17:00:00,40.327,40.327,40.327,40.327,310,0
2011-12-20,18:00:00,40.686,40.725,40.327,40.463,5257,0
2011-12-20,19:00:00,40.375,40.609,40.365,40.56,3093,0
2011-12-20,20:00:00,40.793,40.833,40.754,40.833,3710,0
2011-12-20,21:00:00,40.725,41.035,40.725,41.035,5978,0
2011-12-20,22:00:00,40.987,41.209,40.987,41.103,1648,0
2011-12-21,17:00:00,40.619,41.17,40.619,40.871,3506,0
2011-12-21,18:00:00,40.881,40.929,40.754,40.823,826,0
2011-12-21,20:00:00,40.744,40.744,40.744,40.744,1032,0
2011-12-21,22:00:00,41.065,41.065,41.065,41.065,102,0
2011-12-22,17:00:00,41.54,41.54,41.54,41.54,204,0
2011-12-22,18:00:00,41.772,41.772,41.54,41.608,516,0
2011-12-22,19:00:00,41.628,41.821,41.628,41.704,1235,0
2011-12-22,20:00:00,41.684,41.802,41.684,41.802,204,0
2011-12-22,21:00:00,41.704,41.704,41.704,41.704,204,0
2011-12-22,22:00:00,41.628,41.684,41.628,41.666,722,0
2011-12-23,17:00:00,42.167,42.167,42.167,42.167,102,0
2011-12-27,19:00:00,42.002,42.002,42.002,42.002,117,0
2011-12-28,16:00:00,41.777,41.855,41.777,41.855,670,0
2011-12-30,16:00:00,41.992,41.992,41.992,41.992,102,0
2011-12-30,18:00:00,42.555,42.555,42.555,42.555,204,0
2011-12-30,22:00:00,42.447,42.447,42.35,42.35,1233,0
2012-01-03,16:00:00,43.585,43.585,43.585,43.585,102,0
2012-01-03,17:00:00,43.711,43.739,43.711,43.739,204,0
2012-01-03,18:00:00,43.905,43.905,43.856,43.856,825,0
2012-01-03,19:00:00,43.739,43.739,43.652,43.652,825,0
