Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,258.82,259.26,255.98,256.22,259097,0
2015-01-15,17:00:00,256.2,258.26,255.71,257.25,170459,0
2015-01-15,18:00:00,257.29,257.42,255.98,256.3,135029,0
2015-01-15,19:00:00,256.34,256.78,254.78,255.35,96147,0
2015-01-15,20:00:00,255.24,255.92,255,255.5,71936,0
2015-01-15,21:00:00,255.43,256.13,255.32,256.02,74266,0
2015-01-15,22:00:00,256.04,256.08,254.93,255,228236,0
2015-01-16,16:00:00,254.2,256.17,254.14,255.18,232324,0
2015-01-16,17:00:00,255.37,256.89,254.56,256.73,351443,0
2015-01-16,18:00:00,256.68,256.99,255.99,256.62,195305,0
2015-01-16,19:00:00,256.66,257.41,256.49,256.97,197991,0
2015-01-16,20:00:00,257.01,257.27,256.58,257.24,144371,0
2015-01-16,21:00:00,257.23,257.26,256.79,257.14,138294,0
2015-01-16,22:00:00,257.08,258.92,256.96,258.55,833963,0
2015-01-20,16:00:00,259.16,259.93,257.13,257.35,210116,0
2015-01-20,17:00:00,257.44,257.92,256.59,256.97,177488,0
2015-01-20,18:00:00,256.85,257.22,255.92,256.27,177474,0
2015-01-20,19:00:00,256.25,256.96,256.24,256.74,93768,0
2015-01-20,20:00:00,256.76,257.22,256.36,256.9,78650,0
2015-01-20,21:00:00,256.93,258.38,256.93,258.3,116257,0
2015-01-20,22:00:00,258.29,258.49,257.5,257.91,597300,0
2015-01-21,16:00:00,257.42,259.48,256.74,258.78,227375,0
2015-01-21,17:00:00,258.84,259.96,258.37,259.84,188333,0
2015-01-21,18:00:00,259.89,260.12,259,259.39,676756,0
2015-01-21,19:00:00,259.38,259.76,258.91,259.19,177004,0
2015-01-21,20:00:00,259.15,259.37,258.17,258.3,193362,0
2015-01-21,21:00:00,258.25,259.29,258.08,259.22,109639,0
2015-01-21,22:00:00,259.24,259.69,258.51,259.69,297325,0
2015-01-22,16:00:00,261.33,261.83,258.8,260,223738,0
2015-01-22,17:00:00,260.01,262.77,259.95,262.63,342808,0
2015-01-22,18:00:00,262.61,262.73,261.36,261.74,142628,0
2015-01-22,19:00:00,261.75,262.24,261.57,262.01,157942,0
2015-01-22,20:00:00,262.04,262.57,261.97,262.56,75728,0
2015-01-22,21:00:00,262.58,264.14,262.44,264.12,217712,0
2015-01-22,22:00:00,264.13,264.46,263.92,264.46,1791263,0
2015-01-23,16:00:00,264.31,264.76,263.74,264.06,218161,0
2015-01-23,17:00:00,264.11,264.61,263.33,264.48,236455,0
2015-01-23,18:00:00,264.38,264.75,263.81,263.89,120045,0
2015-01-23,19:00:00,263.87,264.42,263.69,264.09,76069,0
2015-01-23,20:00:00,264.1,264.21,263.73,263.93,85663,0
2015-01-23,21:00:00,263.98,263.99,263.45,263.48,111420,0
2015-01-23,22:00:00,263.5,263.68,262.97,263.12,378090,0
2015-01-26,16:00:00,263.11,263.26,262.04,263.17,355014,0
2015-01-26,17:00:00,263.27,264.47,263.14,264.22,313483,0
2015-01-26,18:00:00,264.26,264.82,264,264.81,227253,0
2015-01-26,19:00:00,264.79,265.13,264.65,264.98,136209,0
2015-01-26,20:00:00,264.97,265.63,264.84,265.5,136974,0
2015-01-26,21:00:00,265.52,265.82,265.38,265.69,177046,0
2015-01-26,22:00:00,265.69,266.22,265.4,266.22,728339,0
2015-01-27,16:00:00,263.09,264.28,262.91,263.3,240623,0
2015-01-27,17:00:00,263.31,263.97,262.3,263.14,233199,0
2015-01-27,18:00:00,263.12,264.32,263,263.71,206001,0
2015-01-27,19:00:00,263.69,264.62,263.63,264.46,160862,0
2015-01-27,20:00:00,264.48,265.21,264.37,264.67,178711,0
2015-01-27,21:00:00,264.64,265.54,264.63,264.9,163140,0
2015-01-27,22:00:00,264.87,265.03,264.1,264.35,369971,0
2015-01-28,16:00:00,265.89,266.41,264.53,264.77,323941,0
2015-01-28,17:00:00,264.74,265.27,262.41,262.63,284006,0
2015-01-28,18:00:00,262.66,263.65,262.53,263.32,183827,0
2015-01-28,19:00:00,263.34,264.41,263.29,264,108087,0
2015-01-28,20:00:00,263.97,263.98,263.42,263.42,90111,0
2015-01-28,21:00:00,263.55,264.41,262.4,263.05,339397,0
2015-01-28,22:00:00,263.19,263.44,260.58,261.2,690521,0
2015-01-29,16:00:00,261.29,261.75,259.58,260.95,275284,0
2015-01-29,17:00:00,260.97,261.24,259.4,260.03,275065,0
2015-01-29,18:00:00,260.02,260.84,259.48,260.41,134926,0
2015-01-29,19:00:00,260.45,260.9,259.97,260.46,101509,0
2015-01-29,20:00:00,260.48,262.45,260.05,262.17,217071,0
2015-01-29,21:00:00,262.09,262.52,261.7,262.18,183413,0
2015-01-29,22:00:00,262.12,263.38,262.01,263.14,396646,0
2015-01-30,16:00:00,261.35,262.24,261.09,261.09,121882,0
2015-01-30,17:00:00,260.89,261.23,259.55,260.24,334954,0
2015-01-30,18:00:00,260.22,260.6,259.31,260.47,408601,0
2015-01-30,19:00:00,260.54,261.46,260.44,260.62,184673,0
2015-01-30,20:00:00,260.64,261.37,260.03,261.3,131525,0
2015-01-30,21:00:00,261.2,262.42,260.25,260.48,267548,0
2015-01-30,22:00:00,260.54,260.84,259.29,259.64,1072425,0
2015-02-02,16:00:00,260.46,261.12,258.08,258.2,342874,0
2015-02-02,17:00:00,258.09,258.78,256.61,258.43,438864,0
2015-02-02,18:00:00,258.39,260.53,258.28,259.87,340854,0
2015-02-02,19:00:00,259.87,259.96,258.56,258.81,274063,0
2015-02-02,20:00:00,258.84,259.31,257.84,257.96,215992,0
2015-02-02,21:00:00,257.91,259.51,257.88,258.93,332790,0
2015-02-02,22:00:00,258.9,261.9,258.85,261.62,696779,0
2015-02-03,16:00:00,263.15,264.66,262.67,264.59,169460,0
2015-02-03,17:00:00,264.62,264.77,263.34,263.34,405673,0
2015-02-03,18:00:00,263.28,264.69,263.25,263.83,354266,0
2015-02-03,19:00:00,263.84,264.65,263.61,264.34,166647,0
2015-02-03,20:00:00,264.36,265.56,264.3,265.55,218577,0
2015-02-03,21:00:00,265.56,265.74,264.67,265.47,182750,0
2015-02-03,22:00:00,265.49,266.56,265.34,266.42,1461617,0
2015-02-04,16:00:00,265.35,265.97,264.99,265.95,276253,0
2015-02-04,17:00:00,265.94,266.35,265.33,266.02,283391,0
2015-02-04,18:00:00,265.95,266.68,265.75,266.18,192326,0
2015-02-04,19:00:00,266.18,266.23,265.18,265.43,160249,0
2015-02-04,20:00:00,265.48,265.9,265.28,265.44,104040,0
2015-02-04,21:00:00,265.47,266.02,265.04,265.81,225978,0
2015-02-04,22:00:00,265.77,266.74,264.81,265.39,496027,0
2015-02-05,16:00:00,266.07,267.3,265.89,266.94,233235,0
2015-02-05,17:00:00,267,267.52,266.8,267.29,230194,0
2015-02-05,18:00:00,267.28,267.71,267.14,267.47,213222,0
2015-02-05,19:00:00,267.47,267.52,267.03,267.28,143480,0
