Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,44.696,45.167,43.765,44.226,29528,0
2015-01-15,17:00:00,44.226,45.101,44.112,44.48,37835,0
2015-01-15,18:00:00,44.526,44.988,43.69,44.932,37883,0
2015-01-15,19:00:00,45.101,45.637,44.677,44.932,25404,0
2015-01-15,20:00:00,44.941,45.289,44.038,44.038,9653,0
2015-01-15,21:00:00,44.009,44.96,43.943,44.715,7120,0
2015-01-15,22:00:00,44.856,45.006,44.461,44.677,19172,0
2015-01-16,16:00:00,45.148,45.872,44.95,45.355,15465,0
2015-01-16,17:00:00,45.496,46.785,45.402,46.136,20122,0
2015-01-16,18:00:00,46.136,46.86,46.061,46.201,9777,0
2015-01-16,19:00:00,46.277,46.681,46.023,46.681,8258,0
2015-01-16,20:00:00,46.559,46.681,46.117,46.39,9999,0
2015-01-16,21:00:00,46.437,47.265,46.343,47.265,33610,0
2015-01-16,22:00:00,47.115,47.876,47.095,47.707,23059,0
2015-01-20,16:00:00,47.18,47.529,45.948,46.673,60932,0
2015-01-20,17:00:00,46.55,47.876,46.55,47.848,9810,0
2015-01-20,18:00:00,47.848,49.354,47.848,48.931,23049,0
2015-01-20,19:00:00,48.931,48.977,47.989,47.989,22689,0
2015-01-20,20:00:00,47.754,47.754,47.312,47.5,17657,0
2015-01-20,21:00:00,47.896,48.489,47.802,47.961,8874,0
2015-01-20,22:00:00,48.103,48.489,48.103,48.196,8758,0
2015-01-21,16:00:00,48.704,49.552,48.055,49.552,24509,0
2015-01-21,17:00:00,49.505,50.775,49.147,50.709,14540,0
2015-01-21,18:00:00,50.737,50.813,49.994,50.578,16132,0
2015-01-21,19:00:00,50.436,50.624,50.106,50.624,6137,0
2015-01-21,20:00:00,50.427,50.427,49.815,50.098,10325,0
2015-01-21,21:00:00,50.126,50.775,49.815,50.775,20446,0
2015-01-21,22:00:00,50.681,50.765,50.624,50.634,6009,0
2015-01-22,16:00:00,51.594,51.98,51.189,51.377,26783,0
2015-01-22,17:00:00,51.377,52.205,51.179,52.083,19530,0
2015-01-22,18:00:00,51.97,51.97,50.907,50.907,13954,0
2015-01-22,19:00:00,50.859,50.982,50.379,50.379,14656,0
2015-01-22,20:00:00,50.445,50.54,50.06,50.351,7822,0
2015-01-22,21:00:00,50.389,50.813,49.891,50.813,55958,0
2015-01-22,22:00:00,50.785,50.963,50.54,50.709,7529,0
2015-01-23,16:00:00,50.549,51.387,49.965,50.502,8261,0
2015-01-23,17:00:00,50.342,51.603,50.342,51.283,15581,0
2015-01-23,18:00:00,51.349,51.471,51,51.405,16834,0
2015-01-23,19:00:00,51.471,51.715,51.104,51.518,24064,0
2015-01-23,20:00:00,51.556,51.98,51.471,51.866,26297,0
2015-01-23,21:00:00,51.528,51.96,51.528,51.942,10903,0
2015-01-23,22:00:00,51.942,51.942,50.662,50.935,11015,0
2015-01-26,16:00:00,51.763,52.149,51.471,51.471,14865,0
2015-01-26,17:00:00,51.208,51.97,50.483,51.387,17850,0
2015-01-26,18:00:00,51.339,51.339,50.624,51.104,12399,0
2015-01-26,19:00:00,51.227,51.387,51.142,51.33,6481,0
2015-01-26,20:00:00,51.132,51.659,51.132,51.659,5800,0
2015-01-26,21:00:00,51.5,51.5,50.992,51,7439,0
2015-01-26,22:00:00,51.058,51.415,51.058,51.265,3496,0
2015-01-27,16:00:00,51.189,51.528,50.615,50.624,9942,0
2015-01-27,17:00:00,51.048,51.048,49.241,49.636,15115,0
2015-01-27,18:00:00,50.022,50.793,49.919,50.671,5739,0
2015-01-27,19:00:00,50.662,50.954,50.474,50.558,11007,0
2015-01-27,20:00:00,50.53,51.058,50.427,50.427,7913,0
2015-01-27,21:00:00,50.568,50.765,50.492,50.615,6961,0
2015-01-27,22:00:00,50.652,50.869,50.342,50.671,7028,0
2015-01-28,16:00:00,50.596,50.803,49.58,49.58,7157,0
2015-01-28,17:00:00,49.542,49.928,49.345,49.345,7390,0
2015-01-28,18:00:00,49.26,49.514,49.166,49.419,13554,0
2015-01-28,19:00:00,49.495,49.984,49.401,49.834,6166,0
2015-01-28,20:00:00,49.664,49.863,49.664,49.721,2551,0
2015-01-28,21:00:00,49.881,49.881,48.799,49.09,9451,0
2015-01-28,22:00:00,48.931,48.959,48.254,48.413,16914,0
2015-01-29,16:00:00,48.704,48.893,48.178,48.855,8115,0
2015-01-29,17:00:00,48.338,48.338,46.165,46.4,19825,0
2015-01-29,18:00:00,46.408,46.945,46.023,46.908,31430,0
2015-01-29,19:00:00,47.161,47.688,47.161,47.519,8386,0
2015-01-29,20:00:00,47.472,48.507,47.472,48.385,4995,0
2015-01-29,21:00:00,48.375,48.375,47.848,47.924,15166,0
2015-01-29,22:00:00,47.858,48.526,47.745,48.338,24200,0
2015-01-30,16:00:00,48.037,48.959,47.707,48.874,5241,0
2015-01-30,17:00:00,48.931,49.138,47.914,47.989,9146,0
2015-01-30,18:00:00,48.009,48.347,47.115,48.338,14444,0
2015-01-30,19:00:00,48.347,48.732,48.224,48.676,3535,0
2015-01-30,20:00:00,48.874,49.401,48.403,49.401,16652,0
2015-01-30,21:00:00,49.871,50.662,49.749,49.749,8522,0
2015-01-30,22:00:00,49.712,50.163,49.034,49.043,13727,0
2015-02-02,16:00:00,50.276,50.775,49.684,50.239,8135,0
2015-02-02,17:00:00,50.106,50.135,48.272,49.128,8470,0
2015-02-02,18:00:00,49.843,50.634,49.589,50.634,13688,0
2015-02-02,19:00:00,50.483,50.634,50.003,50.342,3029,0
2015-02-02,20:00:00,50.248,50.709,49.805,49.805,9038,0
2015-02-02,21:00:00,49.796,49.965,49.298,49.411,14217,0
2015-02-02,22:00:00,49.636,50.756,49.636,50.436,10086,0
2015-02-03,16:00:00,50.963,51.631,50.963,51.631,22672,0
2015-02-03,17:00:00,51.584,51.819,51.462,51.49,38859,0
2015-02-03,18:00:00,51.377,51.791,50.813,51.471,19379,0
2015-02-03,19:00:00,51.443,51.745,51.265,51.745,12470,0
2015-02-03,20:00:00,51.838,52.374,51.838,52.29,31515,0
2015-02-03,21:00:00,52.205,52.46,51.537,51.904,108154,0
2015-02-03,22:00:00,51.904,52.083,51.697,51.81,22464,0
2015-02-04,16:00:00,51.443,52.102,50.813,50.85,3762,0
2015-02-04,17:00:00,51.556,51.707,49.891,51,8289,0
2015-02-04,18:00:00,50.615,51.405,50.54,51.339,21716,0
2015-02-04,19:00:00,51.311,51.396,50.521,51.01,7254,0
2015-02-04,20:00:00,50.925,51.01,50.785,50.785,1382,0
2015-02-04,21:00:00,50.634,51.189,50.041,51.189,5088,0
2015-02-04,22:00:00,51.066,51.424,50.756,50.963,12946,0
2015-02-05,16:00:00,52.177,52.195,50.916,50.916,3613,0
2015-02-05,17:00:00,50.982,51.98,50.888,51.848,9289,0
2015-02-05,18:00:00,51.368,52.224,51.368,51.942,4266,0
2015-02-05,19:00:00,52.121,52.318,52.121,52.318,12291,0
2015-02-05,20:00:00,52.356,52.412,52.139,52.402,23626,0
2015-02-05,21:00:00,52.412,52.657,52.318,52.506,23740,0
2015-02-05,22:00:00,52.591,52.751,52.318,52.468,13281,0
2015-02-06,16:00:00,52.92,52.92,52.149,52.506,34804,0
2015-02-06,17:00:00,52.525,52.741,52.121,52.121,14147,0
2015-02-06,18:00:00,52.073,52.073,51.471,51.932,7673,0
2015-02-06,19:00:00,51.942,52.092,51.829,52.073,9153,0
2015-02-06,20:00:00,52.261,52.261,51.566,51.81,7099,0
2015-02-06,21:00:00,51.81,52.488,51.81,52.036,7089,0
2015-02-06,22:00:00,52.036,52.327,52.036,52.158,13172,0
2015-02-09,16:00:00,52.61,52.854,51.96,52.045,4011,0
2015-02-09,17:00:00,51.848,52.149,51.669,51.669,10013,0
2015-02-09,18:00:00,51.65,51.894,51.058,51.132,13529,0
2015-02-09,19:00:00,51.377,51.405,51.236,51.236,2592,0
2015-02-09,20:00:00,51.236,51.631,51.17,51.631,5633,0
2015-02-09,21:00:00,51.49,51.518,50.813,50.813,8523,0
2015-02-09,22:00:00,50.813,50.813,50.22,50.568,18214,0
2015-02-10,16:00:00,51.104,51.104,49.401,49.401,5752,0
2015-02-10,17:00:00,49.419,49.965,49.401,49.891,6349,0
2015-02-10,18:00:00,49.777,49.843,49.57,49.843,3321,0
2015-02-10,19:00:00,49.871,50.201,49.871,50.201,1696,0
2015-02-10,20:00:00,50.596,50.596,50.464,50.464,956,0
2015-02-10,21:00:00,50.276,50.276,49.871,50.106,25516,0
2015-02-10,22:00:00,50.229,50.643,50.229,50.624,7742,0
2015-02-11,16:00:00,49.777,49.777,49.777,49.777,1223,0
2015-02-11,17:00:00,50.22,50.22,49.58,49.58,2233,0
2015-02-11,18:00:00,49.73,49.759,49.411,49.467,9190,0
2015-02-11,19:00:00,50.21,50.21,49.947,50.135,2014,0
2015-02-11,20:00:00,49.448,49.57,49.411,49.495,2384,0
2015-02-11,21:00:00,49.429,49.429,49.429,49.429,425,0
2015-02-11,22:00:00,49.411,49.411,49.034,49.156,7770,0
2015-02-12,16:00:00,50.229,50.992,49.909,50.013,5968,0
2015-02-12,17:00:00,50.022,50.154,49.73,50.069,6854,0
2015-02-12,18:00:00,50.116,50.558,50.116,50.521,4273,0
2015-02-12,19:00:00,50.483,50.596,50.248,50.276,7231,0
2015-02-12,20:00:00,50.492,50.69,50.267,50.671,3509,0
2015-02-12,21:00:00,50.737,50.785,50.634,50.785,2083,0
2015-02-12,22:00:00,50.728,50.869,50.624,50.681,9924,0
2015-02-13,16:00:00,51.066,52.054,51.066,51.5,27972,0
2015-02-13,17:00:00,51.471,52.13,51.424,52.13,24225,0
2015-02-13,18:00:00,52.13,52.619,52.026,52.102,13671,0
2015-02-13,19:00:00,52.29,52.337,52.083,52.215,2678,0
2015-02-13,20:00:00,52.224,52.224,51.537,51.537,11371,0
2015-02-13,21:00:00,51.546,51.612,51.537,51.566,1256,0
2015-02-13,22:00:00,51.508,51.584,51.293,51.452,9754,0
2015-02-17,16:00:00,52.158,52.158,50.821,50.859,8827,0
2015-02-17,17:00:00,50.841,51.02,50.793,50.841,3645,0
2015-02-17,18:00:00,50.813,51.405,50.813,51.405,1382,0
2015-02-17,19:00:00,51.885,52.026,51.857,51.876,8121,0
2015-02-17,20:00:00,51.904,52.083,51.876,52.083,1719,0
2015-02-17,21:00:00,52.205,52.581,52.083,52.46,8343,0
2015-02-17,22:00:00,52.422,52.422,51.98,51.988,72515,0
2015-02-18,16:00:00,52.243,52.243,51.358,51.358,3732,0
