Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-14,16:00:00,66.931,67.13,66.931,67.13,5781,0
2015-01-14,17:00:00,67.319,67.438,67.249,67.289,3370,0
2015-01-14,18:00:00,67.279,67.348,67.19,67.249,2621,0
2015-01-14,19:00:00,67.19,67.239,67.09,67.09,7589,0
2015-01-14,20:00:00,67.04,67.04,66.951,66.951,2970,0
2015-01-14,21:00:00,67.06,67.339,66.991,67.14,22840,0
2015-01-14,22:00:00,67.13,67.498,67.11,67.428,35099,0
2015-01-15,16:00:00,67.468,67.468,67.11,67.13,5533,0
2015-01-15,17:00:00,66.991,67.666,66.991,67.647,4562,0
2015-01-15,18:00:00,67.269,67.269,67.011,67.21,3807,0
2015-01-15,19:00:00,67.2,67.219,66.961,67.011,3160,0
2015-01-15,20:00:00,66.951,67.16,66.882,67.11,10973,0
2015-01-15,21:00:00,67.011,67.17,66.981,67.11,16207,0
2015-01-15,22:00:00,67.14,67.219,66.762,66.901,12363,0
2015-01-16,16:00:00,67.03,67.219,66.891,66.891,3672,0
2015-01-16,17:00:00,66.862,67.1,66.742,67.1,2737,0
2015-01-16,18:00:00,67.229,67.259,67.09,67.09,4785,0
2015-01-16,19:00:00,67.17,67.368,67.13,67.368,1245,0
2015-01-16,20:00:00,67.388,67.408,67.19,67.408,4099,0
2015-01-16,21:00:00,67.448,67.448,67.319,67.438,11733,0
2015-01-16,22:00:00,67.468,67.826,67.358,67.716,10998,0
2015-01-20,16:00:00,68.134,68.144,67.478,67.478,6294,0
2015-01-20,17:00:00,67.627,67.736,67.478,67.498,30248,0
2015-01-20,18:00:00,67.518,67.617,67.329,67.378,16479,0
2015-01-20,19:00:00,67.508,67.508,67.438,67.438,2747,0
2015-01-20,20:00:00,67.676,67.826,67.548,67.806,7219,0
2015-01-20,21:00:00,67.806,68.104,67.726,68.094,29117,0
2015-01-20,22:00:00,68.214,68.214,68.034,68.084,16391,0
2015-01-21,16:00:00,67.955,68.303,67.925,68.084,3213,0
2015-01-21,17:00:00,68.054,68.273,68.044,68.243,6691,0
2015-01-21,18:00:00,68.552,68.552,68.362,68.462,3932,0
2015-01-21,19:00:00,68.502,68.502,68.194,68.194,8227,0
2015-01-21,20:00:00,68.253,68.392,68.094,68.214,4141,0
2015-01-21,21:00:00,68.154,68.322,68.144,68.322,2177,0
2015-01-21,22:00:00,68.273,68.382,68.184,68.352,6095,0
2015-01-22,16:00:00,68.88,68.88,68.164,68.243,4148,0
2015-01-22,17:00:00,68.462,69.068,68.452,69.068,19109,0
2015-01-22,18:00:00,69.078,69.078,68.85,68.86,12291,0
2015-01-22,19:00:00,68.949,68.949,68.949,68.949,342681,0
2015-01-22,20:00:00,68.958,69.048,68.86,69.038,6581,0
2015-01-22,21:00:00,68.978,69.247,68.909,69.247,6033,0
2015-01-22,22:00:00,69.326,69.526,69.326,69.526,17234,0
2015-01-23,16:00:00,69.436,69.555,69.276,69.426,4851,0
2015-01-23,17:00:00,69.436,69.466,69.326,69.356,4196,0
2015-01-23,18:00:00,69.476,69.526,69.296,69.296,3043,0
2015-01-23,19:00:00,69.486,69.575,69.406,69.565,4188,0
2015-01-23,20:00:00,69.565,69.674,69.486,69.664,17193,0
2015-01-23,21:00:00,69.624,69.674,69.446,69.446,14173,0
2015-01-23,22:00:00,69.466,69.466,69.316,69.386,8248,0
2015-01-26,16:00:00,69.237,69.237,68.998,69.148,5183,0
2015-01-26,17:00:00,69.188,69.366,69.098,69.366,4477,0
2015-01-26,18:00:00,69.316,69.316,69.257,69.306,3486,0
2015-01-26,19:00:00,69.316,69.416,69.306,69.306,4188,0
2015-01-26,20:00:00,69.316,69.536,69.316,69.506,8374,0
2015-01-26,21:00:00,69.386,69.466,69.346,69.436,3507,0
2015-01-26,22:00:00,69.416,69.466,69.326,69.456,21616,0
2015-01-27,16:00:00,68.581,68.581,68.571,68.571,402,0
2015-01-27,17:00:00,68.571,68.571,68.034,68.124,6385,0
2015-01-27,18:00:00,68.253,68.452,68.194,68.452,6583,0
2015-01-27,19:00:00,68.303,68.303,68.303,68.303,1509,0
2015-01-27,20:00:00,68.63,68.77,68.611,68.69,27108,0
2015-01-27,21:00:00,68.72,68.939,68.71,68.77,6570,0
2015-01-27,22:00:00,68.74,68.74,68.522,68.571,7073,0
2015-01-28,16:00:00,68.84,69.148,68.83,69.148,3503,0
2015-01-28,17:00:00,69.088,69.088,68.362,68.362,4750,0
