Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-17,16:00:00,17.14,17.14,17.09,17.09,18546,0
2014-12-17,17:00:00,17.09,17.15,17.09,17.13,19697,0
2014-12-17,18:00:00,17.13,17.13,17.04,17.04,10696,0
2014-12-17,19:00:00,17.02,17.06,17.02,17.03,12602,0
2014-12-17,20:00:00,17.02,17.02,17.0,17.02,1100,0
2014-12-17,21:00:00,16.9,16.95,16.86,16.94,31342,0
2014-12-17,22:00:00,16.93,16.95,16.77,16.8,30216,0
2014-12-18,16:00:00,16.56,16.64,16.56,16.62,20102,0
2014-12-18,17:00:00,16.58,16.64,16.58,16.64,37788,0
2014-12-18,18:00:00,16.67,16.67,16.62,16.62,46190,0
2014-12-18,19:00:00,16.62,16.62,16.59,16.6,39765,0
2014-12-18,20:00:00,16.58,16.58,16.55,16.56,2163,0
2014-12-18,21:00:00,16.57,16.61,16.57,16.58,3945,0
2014-12-18,22:00:00,16.58,16.58,16.55,16.55,3800,0
2014-12-19,16:00:00,16.43,16.51,16.43,16.51,15334,0
2014-12-19,17:00:00,16.46,16.51,16.46,16.51,1400,0
2014-12-19,18:00:00,16.53,16.54,16.52,16.52,800,0
2014-12-19,19:00:00,16.54,16.56,16.52,16.52,1152,0
2014-12-19,20:00:00,16.52,16.52,16.51,16.51,1900,0
2014-12-19,21:00:00,16.48,16.48,16.45,16.45,7958,0
2014-12-19,22:00:00,16.45,16.46,16.42,16.44,4114,0
2014-12-22,16:00:00,16.4,16.46,16.4,16.44,14723,0
2014-12-22,17:00:00,16.43,16.45,16.42,16.43,6367,0
2014-12-22,18:00:00,16.43,16.44,16.43,16.43,4630,0
2014-12-22,19:00:00,16.44,16.45,16.42,16.42,3000,0
2014-12-22,20:00:00,16.41,16.41,16.41,16.41,602,0
2014-12-22,21:00:00,16.41,16.41,16.41,16.41,506,0
2014-12-22,22:00:00,16.4,16.4,16.39,16.39,995,0
2014-12-23,16:00:00,16.33,16.34,16.29,16.3,20709,0
2014-12-23,17:00:00,16.29,16.35,16.28,16.34,13106,0
2014-12-23,18:00:00,16.31,16.32,16.3,16.3,1700,0
2014-12-23,19:00:00,16.31,16.31,16.3,16.31,1150,0
2014-12-23,20:00:00,16.3,16.3,16.28,16.29,3100,0
2014-12-23,21:00:00,16.3,16.31,16.29,16.3,5380,0
2014-12-23,22:00:00,16.3,16.33,16.3,16.32,4500,0
