Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-06,16:00:00,10.03,10.03,9.94,9.99,3804,0
2015-01-06,17:00:00,9.99,9.99,9.72,9.81,5800,0
2015-01-06,18:00:00,9.81,9.93,9.77,9.91,17646,0
2015-01-06,19:00:00,9.89,9.91,9.82,9.89,6040,0
2015-01-06,20:00:00,9.89,9.97,9.88,9.9,6425,0
2015-01-06,21:00:00,9.9,9.94,9.89,9.93,6300,0
2015-01-06,22:00:00,9.93,9.99,9.82,9.99,19850,0
2015-01-07,16:00:00,9.61,9.64,9.49,9.53,6300,0
2015-01-07,17:00:00,9.51,9.51,9.39,9.45,7733,0
2015-01-07,18:00:00,9.48,9.57,9.48,9.57,5105,0
2015-01-07,19:00:00,9.54,9.61,9.54,9.58,4660,0
2015-01-07,20:00:00,9.65,9.65,9.6,9.6,1506,0
2015-01-07,21:00:00,9.6,9.66,9.54,9.55,1000,0
2015-01-07,22:00:00,9.5,9.57,9.47,9.55,19587,0
2015-01-08,16:00:00,9.44,9.44,9.33,9.33,3525,0
2015-01-08,17:00:00,9.44,9.53,9.38,9.48,44333,0
2015-01-08,18:00:00,9.46,9.6,9.46,9.53,5116,0
2015-01-08,19:00:00,9.55,9.59,9.53,9.57,1000,0
2015-01-08,20:00:00,9.54,9.56,9.54,9.56,2121,0
2015-01-08,21:00:00,9.56,9.61,9.55,9.61,1600,0
2015-01-08,22:00:00,9.59,9.6,9.54,9.57,16779,0
2015-01-09,16:00:00,9.5,9.52,9.49,9.49,800,0
2015-01-09,17:00:00,9.49,9.5,9.35,9.47,6370,0
2015-01-09,18:00:00,9.46,9.46,9.39,9.41,2650,0
2015-01-09,19:00:00,9.45,9.55,9.41,9.46,2499,0
2015-01-09,20:00:00,9.46,9.56,9.46,9.53,6300,0
2015-01-09,21:00:00,9.52,9.58,9.46,9.46,700,0
2015-01-09,22:00:00,9.55,9.56,9.39,9.52,5656,0
2015-01-12,16:00:00,9.3,9.3,9.2,9.21,3117,0
2015-01-12,17:00:00,9.2,9.26,9.01,9.14,20039,0
2015-01-12,18:00:00,9.15,9.2,9.13,9.13,5590,0
2015-01-12,19:00:00,9.13,9.21,9.13,9.18,5150,0
2015-01-12,20:00:00,9.2,9.25,9.13,9.25,9400,0
2015-01-12,21:00:00,9.21,9.23,9.17,9.17,21000,0
2015-01-12,22:00:00,9.17,9.17,9.05,9.05,13242,0
2015-01-13,16:00:00,9.1,9.12,9.1,9.12,666,0
2015-01-13,17:00:00,9.06,9.06,9.02,9.02,2000,0
2015-01-13,18:00:00,9.03,9.03,9.03,9.03,100,0
2015-01-13,19:00:00,9.03,9.03,9.03,9.03,1130,0
2015-01-13,20:00:00,9.01,9.02,8.92,8.92,5517,0
2015-01-13,21:00:00,8.93,8.95,8.8,8.9,23288,0
2015-01-13,22:00:00,8.98,8.99,8.97,8.99,900,0
2015-01-14,16:00:00,8.8,8.99,8.8,8.84,3500,0
2015-01-14,17:00:00,8.83,8.83,8.71,8.76,10002,0
2015-01-14,18:00:00,8.71,8.83,8.71,8.83,2153,0
2015-01-14,19:00:00,8.84,8.88,8.82,8.88,4540,0
2015-01-14,20:00:00,8.82,8.87,8.82,8.87,721,0
2015-01-14,21:00:00,8.82,8.82,8.81,8.81,970,0
2015-01-14,22:00:00,8.96,8.96,8.85,8.85,1800,0
2015-01-15,16:00:00,8.77,8.89,8.71,8.78,15180,0
2015-01-15,17:00:00,8.79,8.79,8.71,8.72,5120,0
2015-01-15,18:00:00,8.71,8.77,8.71,8.77,993,0
2015-01-15,20:00:00,8.76,8.76,8.76,8.76,300,0
2015-01-15,21:00:00,8.78,8.78,8.71,8.77,2700,0
2015-01-15,22:00:00,8.74,8.74,8.59,8.64,19059,0
2015-01-16,16:00:00,8.79,9.08,8.78,9.08,500,0
2015-01-16,17:00:00,8.79,8.96,8.79,8.96,400,0
2015-01-16,18:00:00,8.94,8.95,8.63,8.63,3600,0
2015-01-16,19:00:00,8.64,8.9,8.63,8.9,2842,0
2015-01-16,21:00:00,8.87,8.87,8.87,8.87,400,0
2015-01-16,22:00:00,8.87,8.97,8.72,8.72,5219,0
2015-01-20,16:00:00,9.17,9.21,8.99,8.99,1600,0
2015-01-20,17:00:00,9.06,9.06,8.97,9.0,2202,0
2015-01-20,19:00:00,8.98,8.98,8.86,8.92,11048,0
2015-01-20,20:00:00,8.93,9.04,8.92,8.98,30655,0
2015-01-20,21:00:00,8.91,8.99,8.9,8.98,6821,0
2015-01-20,22:00:00,8.99,9.0,8.97,8.97,900,0
2015-01-21,16:00:00,8.84,8.97,8.76,8.82,7578,0
2015-01-21,17:00:00,8.78,8.83,8.78,8.8,1100,0
2015-01-21,18:00:00,8.88,8.88,8.85,8.85,1000,0
2015-01-21,19:00:00,8.85,8.87,8.78,8.82,12900,0
2015-01-21,20:00:00,8.8,8.98,8.8,8.92,12700,0
2015-01-21,21:00:00,8.94,8.99,8.92,8.99,3500,0
2015-01-21,22:00:00,8.99,8.99,8.98,8.99,2857,0
2015-01-22,16:00:00,8.98,9.01,8.81,9.0,24996,0
2015-01-22,17:00:00,8.83,8.92,8.8,8.87,2100,0
2015-01-22,18:00:00,8.87,8.96,8.84,8.89,3950,0
2015-01-22,19:00:00,8.87,8.96,8.85,8.85,9811,0
2015-01-22,20:00:00,8.85,8.94,8.85,8.87,2800,0
2015-01-22,21:00:00,8.96,8.96,8.86,8.88,10564,0
2015-01-22,22:00:00,8.89,8.94,8.86,8.93,8761,0
2015-01-23,16:00:00,8.92,8.92,8.92,8.92,6188,0
2015-01-23,18:00:00,9.0,9.0,8.99,8.99,4571,0
2015-01-23,19:00:00,8.93,8.95,8.9,8.92,22958,0
2015-01-23,20:00:00,8.93,8.94,8.82,8.87,44389,0
2015-01-23,21:00:00,8.88,8.88,8.83,8.83,12700,0
2015-01-23,22:00:00,8.86,8.88,8.85,8.87,6064,0
2015-01-26,16:00:00,8.89,8.89,8.89,8.89,1212,0
2015-01-26,17:00:00,8.98,8.98,8.85,8.85,11070,0
2015-01-26,18:00:00,8.87,8.95,8.79,8.85,19282,0
2015-01-26,19:00:00,8.85,8.94,8.79,8.85,13140,0
2015-01-26,20:00:00,8.96,8.96,8.95,8.95,6100,0
2015-01-26,22:00:00,8.91,8.91,8.87,8.88,4910,0
2015-01-27,16:00:00,8.87,8.87,8.8,8.8,1060,0
2015-01-27,17:00:00,8.86,8.86,8.72,8.8,27645,0
2015-01-27,18:00:00,8.87,8.87,8.73,8.73,17100,0
2015-01-27,19:00:00,8.76,8.9,8.72,8.79,16865,0
2015-01-27,20:00:00,8.78,8.87,8.64,8.79,19010,0
2015-01-27,21:00:00,8.75,8.91,8.67,8.71,7800,0
2015-01-27,22:00:00,8.78,8.87,8.63,8.76,4741,0
2015-01-28,16:00:00,8.88,8.9,8.68,8.74,3400,0
2015-01-28,17:00:00,8.8,8.8,8.68,8.72,9608,0
2015-01-28,18:00:00,8.71,8.71,8.69,8.7,900,0
2015-01-28,19:00:00,8.7,8.73,8.7,8.73,600,0
2015-01-28,20:00:00,8.73,8.79,8.73,8.79,2071,0
2015-01-28,21:00:00,8.92,8.92,8.73,8.75,15579,0
2015-01-28,22:00:00,8.77,8.78,8.7,8.76,9996,0
2015-01-29,16:00:00,8.78,8.79,8.78,8.78,6000,0
2015-01-29,17:00:00,8.74,8.76,8.64,8.68,5950,0
2015-01-29,18:00:00,8.72,8.93,8.64,8.82,19447,0
2015-01-29,20:00:00,8.89,8.89,8.8,8.85,1200,0
2015-01-29,21:00:00,8.8,8.83,8.8,8.83,1145,0
2015-01-29,22:00:00,8.83,8.97,8.83,8.84,2300,0
2015-01-30,16:00:00,8.9,8.9,8.69,8.82,5380,0
2015-01-30,17:00:00,8.81,8.85,8.73,8.83,10701,0
2015-01-30,18:00:00,8.79,8.82,8.79,8.82,1300,0
2015-01-30,19:00:00,8.82,8.82,8.79,8.79,1100,0
2015-01-30,20:00:00,8.78,8.83,8.75,8.83,4255,0
2015-01-30,21:00:00,8.86,8.86,8.8,8.8,2694,0
2015-01-30,22:00:00,8.8,8.85,8.75,8.79,2178,0
2015-02-02,16:00:00,8.93,8.99,8.85,8.85,500,0
2015-02-02,17:00:00,8.98,8.98,8.74,8.8,10458,0
2015-02-02,18:00:00,8.78,8.83,8.75,8.82,99841,0
2015-02-02,19:00:00,8.85,8.88,8.76,8.87,23669,0
2015-02-02,20:00:00,8.88,8.88,8.88,8.88,200,0
2015-02-02,21:00:00,8.88,8.88,8.85,8.85,316,0
2015-02-02,22:00:00,8.89,8.99,8.84,8.96,64500,0
2015-02-03,16:00:00,8.97,9.06,8.97,8.98,12754,0
2015-02-03,17:00:00,8.97,8.98,8.93,8.95,6200,0
2015-02-03,18:00:00,8.92,8.93,8.91,8.93,4940,0
2015-02-03,20:00:00,8.93,9.01,8.91,8.92,3900,0
2015-02-03,21:00:00,8.92,9.01,8.91,8.93,43200,0
2015-02-03,22:00:00,8.93,9.02,8.93,8.97,30700,0
2015-02-04,16:00:00,9.11,9.15,9.09,9.15,6788,0
2015-02-04,17:00:00,9.12,9.19,9.03,9.13,32700,0
2015-02-04,18:00:00,9.13,9.13,8.98,8.99,6302,0
2015-02-04,19:00:00,8.99,9.06,8.99,8.99,7420,0
2015-02-04,20:00:00,9.14,9.14,8.98,8.98,750,0
2015-02-04,21:00:00,8.83,8.9,8.83,8.9,6845,0
2015-02-04,22:00:00,8.9,8.9,8.89,8.89,642,0
2015-02-05,16:00:00,8.87,8.87,8.74,8.76,1800,0
2015-02-05,17:00:00,8.81,8.86,8.81,8.86,1068,0
2015-02-05,18:00:00,8.88,9.0,8.83,8.99,14800,0
2015-02-05,19:00:00,8.9,9.0,8.9,8.95,24844,0
2015-02-05,20:00:00,8.99,9.01,8.99,9.01,900,0
2015-02-05,21:00:00,9.01,9.02,8.96,9.0,3008,0
2015-02-05,22:00:00,8.96,9.01,8.93,8.95,5100,0
2015-02-06,16:00:00,8.87,8.87,8.63,8.75,15752,0
2015-02-06,17:00:00,8.78,8.78,8.65,8.76,9185,0
2015-02-06,18:00:00,8.72,8.81,8.72,8.79,4135,0
2015-02-06,19:00:00,8.82,8.84,8.6,8.6,7668,0
2015-02-06,20:00:00,8.61,8.71,8.61,8.71,13200,0
2015-02-06,21:00:00,8.64,8.79,8.64,8.76,3778,0
2015-02-06,22:00:00,8.73,8.77,8.68,8.68,16068,0
2015-02-09,16:00:00,8.63,8.68,8.44,8.44,10755,0
2015-02-09,17:00:00,8.5,8.5,8.35,8.4,15631,0
2015-02-09,18:00:00,8.41,8.44,8.31,8.36,22253,0
2015-02-09,19:00:00,8.38,8.39,8.34,8.38,3300,0
2015-02-09,20:00:00,8.4,8.41,8.37,8.38,7446,0
2015-02-09,21:00:00,8.38,8.39,8.37,8.38,3500,0
2015-02-09,22:00:00,8.38,8.39,8.36,8.37,5718,0
2015-02-10,16:00:00,8.36,8.37,8.14,8.17,20437,0
2015-02-10,17:00:00,8.17,8.18,8.04,8.09,29747,0
2015-02-10,18:00:00,8.12,8.14,8.0,8.05,27707,0
2015-02-10,19:00:00,8.05,8.06,8.01,8.05,4250,0
2015-02-10,20:00:00,8.05,8.05,8.03,8.05,4200,0
2015-02-10,21:00:00,8.04,8.21,8.03,8.12,8225,0
2015-02-10,22:00:00,8.11,8.18,8.11,8.11,5578,0
2015-02-11,16:00:00,8.06,8.06,7.83,7.84,40448,0
2015-02-11,17:00:00,7.87,7.87,7.76,7.82,35421,0
2015-02-11,18:00:00,7.8,7.83,7.8,7.82,7450,0
2015-02-11,19:00:00,7.82,7.83,7.8,7.83,3968,0
2015-02-11,20:00:00,7.87,7.88,7.83,7.83,630,0
2015-02-11,21:00:00,7.82,7.9,7.79,7.8,21758,0
2015-02-11,22:00:00,7.81,7.9,7.76,7.76,19678,0
2015-02-12,16:00:00,7.74,7.74,7.64,7.7,17241,0
2015-02-12,17:00:00,7.64,7.7,7.51,7.55,40760,0
2015-02-12,18:00:00,7.53,7.69,7.52,7.54,10150,0
2015-02-12,19:00:00,7.67,7.67,7.55,7.57,10635,0
2015-02-12,20:00:00,7.57,7.58,7.55,7.58,2200,0
2015-02-12,21:00:00,7.61,7.71,7.54,7.71,15730,0
2015-02-12,22:00:00,7.72,7.72,7.59,7.6,5625,0
2015-02-13,16:00:00,7.7,7.75,7.54,7.56,21562,0
2015-02-13,17:00:00,7.56,7.61,7.51,7.55,14031,0
2015-02-13,18:00:00,7.56,7.56,7.5,7.53,7102,0
2015-02-13,19:00:00,7.54,7.56,7.53,7.55,13674,0
2015-02-13,20:00:00,7.55,7.61,7.54,7.56,13154,0
2015-02-13,21:00:00,7.52,7.53,7.5,7.5,7498,0
2015-02-13,22:00:00,7.51,7.53,7.5,7.53,5917,0
2015-02-17,16:00:00,8.06,8.06,7.74,7.81,12919,0
2015-02-17,17:00:00,7.86,7.91,7.83,7.9,24657,0
2015-02-17,18:00:00,7.89,8.05,7.88,8.02,32446,0
