Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-03,16:00:00,15.575,15.575,15.575,15.575,300,0
2015-06-03,20:00:00,15.5101,15.5101,15.5101,15.5101,200,0
2015-06-03,21:00:00,15.52,15.52,15.47,15.47,4600,0
2015-06-03,22:00:00,15.536,15.536,15.53,15.53,200,0
2015-06-04,17:00:00,15.5659,15.5659,15.5659,15.5659,100,0
2015-06-04,22:00:00,15.4901,15.4901,15.4901,15.4901,630,0
2015-06-05,16:00:00,15.5399,15.5399,15.5325,15.5325,1600,0
2015-06-05,19:00:00,15.52,15.52,15.5198,15.5198,2500,0
2015-06-05,20:00:00,15.5,15.5,15.49,15.5,3475,0
2015-06-05,21:00:00,15.4575,15.4575,15.4575,15.4575,100,0
2015-06-08,16:00:00,15.44,15.44,15.39,15.39,500,0
2015-06-08,17:00:00,15.4005,15.4005,15.4005,15.4005,161,0
2015-06-08,18:00:00,15.375,15.375,15.375,15.375,600,0
2015-06-08,21:00:00,15.39,15.39,15.38,15.38,1600,0
2015-06-08,22:00:00,15.37,15.38,15.34,15.35,14199,0
2015-06-09,20:00:00,15.4693,15.4899,15.4693,15.4899,545,0
2015-06-10,16:00:00,15.5,15.5099,15.5,15.5099,1150,0
2015-06-10,17:00:00,15.51,15.51,15.4795,15.4795,3030,0
2015-06-10,20:00:00,15.4899,15.4899,15.4899,15.4899,545,0
2015-06-10,22:00:00,15.5,15.5,15.48,15.48,3160,0
2015-06-11,18:00:00,15.5101,15.52,15.5101,15.52,3620,0
2015-06-11,19:00:00,15.52,15.52,15.52,15.52,300,0
2015-06-11,21:00:00,15.5925,15.5925,15.5925,15.5925,200,0
2015-06-12,16:00:00,15.59,15.6,15.59,15.6,1500,0
2015-06-12,18:00:00,15.563,15.563,15.527,15.527,420,0
2015-06-12,19:00:00,15.55,15.55,15.55,15.55,451,0
2015-06-15,16:00:00,15.55,15.73,15.55,15.73,6250,0
2015-06-16,19:00:00,15.503,15.503,15.503,15.503,300,0
2015-06-16,20:00:00,15.5199,15.52,15.512,15.52,500,0
2015-06-16,21:00:00,15.52,15.52,15.47,15.47,2970,0
2015-06-16,22:00:00,15.55,15.55,15.55,15.55,285,0
2015-06-17,17:00:00,15.44,15.44,15.44,15.44,1400,0
2015-06-17,18:00:00,15.43,15.43,15.4299,15.4299,500,0
2015-06-17,22:00:00,15.42,15.42,15.4,15.41,900,0
2015-06-18,16:00:00,15.537,15.537,15.537,15.537,270,0
2015-06-19,16:00:00,15.48,15.48,15.45,15.46,1502,0
2015-06-19,19:00:00,15.47,15.47,15.47,15.47,100,0
2015-06-19,20:00:00,15.47,15.47,15.47,15.47,200,0
2015-06-22,16:00:00,15.38,15.38,15.38,15.38,750,0
2015-06-22,17:00:00,15.3499,15.3499,15.34,15.34,800,0
2015-06-22,21:00:00,15.3,15.3365,15.3,15.3365,400,0
2015-06-22,22:00:00,15.3,15.3,15.3,15.3,367,0
2015-06-23,16:00:00,15.29,15.29,15.29,15.29,1100,0
2015-06-23,18:00:00,15.2899,15.29,15.2899,15.29,1100,0
2015-06-23,21:00:00,15.263,15.263,15.263,15.263,350,0
2015-06-23,22:00:00,15.29,15.29,15.29,15.29,234,0
2015-06-24,18:00:00,15.38,15.38,15.36,15.37,1100,0
2015-06-24,19:00:00,15.36,15.36,15.36,15.36,300,0
2015-06-24,20:00:00,15.36,15.36,15.36,15.36,501,0
2015-06-24,22:00:00,15.35,15.35,15.35,15.35,183,0
2015-06-25,16:00:00,15.27,15.27,15.27,15.27,300,0
2015-06-25,21:00:00,15.2099,15.2099,15.2099,15.2099,130,0
2015-06-25,22:00:00,15.2072,15.21,15.2072,15.2099,800,0
2015-06-26,17:00:00,15.2,15.2,15.2,15.2,300,0
2015-06-26,22:00:00,15.1901,15.1901,15.19,15.1901,5654,0
2015-06-29,17:00:00,15.28,15.28,15.28,15.28,1064,0
2015-06-29,18:00:00,15.25,15.25,15.25,15.25,339,0
2015-06-29,20:00:00,15.3499,15.35,15.3499,15.3499,901,0
2015-06-29,21:00:00,15.3,15.3,15.3,15.3,300,0
2015-06-30,16:00:00,15.48,15.4899,15.48,15.4845,1444,0
2015-06-30,17:00:00,15.48,15.48,15.43,15.43,300,0
2015-06-30,20:00:00,15.47,15.47,15.47,15.47,344,0
2015-06-30,22:00:00,15.4362,15.48,15.4362,15.46,1950,0
2015-07-01,17:00:00,15.7099,15.7099,15.7099,15.7099,500,0
2015-07-01,18:00:00,15.7,15.7,15.69,15.6999,625,0
