Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-17,16:00:00,49.907,50.047,49.887,49.907,2501,0
2014-03-17,19:00:00,49.927,49.927,49.927,49.927,500,0
2014-03-19,21:00:00,49.817,49.977,49.777,49.977,3701,0
2014-03-20,15:00:00,49.797,50.027,49.797,49.977,3201,0
2014-03-20,19:00:00,49.867,49.997,49.867,49.957,2001,0
2014-03-21,16:00:00,49.837,49.957,49.837,49.957,1500,0
2014-03-24,20:00:00,49.847,49.867,49.847,49.867,200,0
2014-03-26,17:00:00,50.127,50.127,49.877,49.957,3801,0
2014-03-26,18:00:00,49.897,50.007,49.827,49.827,5902,0
2014-03-26,19:00:00,49.877,50.057,49.877,49.977,9504,0
2014-03-26,20:00:00,49.987,49.997,49.897,49.977,5302,0
2014-03-26,21:00:00,49.927,49.937,49.887,49.897,400,0
2014-03-27,16:00:00,49.927,50.067,49.927,50.067,3601,0
2014-03-27,17:00:00,49.977,50.097,49.977,50.037,2001,0
2014-03-27,18:00:00,49.927,50.107,49.927,50.047,4401,0
2014-03-27,20:00:00,49.977,50.097,49.957,50.057,7404,0
2014-03-27,21:00:00,49.987,50.057,49.917,49.917,3801,0
2014-03-28,15:00:00,49.877,50.276,49.877,50.276,17909,0
2014-03-28,16:00:00,50.077,50.157,50.077,50.157,400,0
2014-03-28,17:00:00,50.157,50.426,50.117,50.256,3501,0
2014-04-02,19:00:00,50.676,50.706,50.676,50.706,800,0
2014-04-03,21:00:00,50.566,50.696,50.486,50.496,5600,0
2014-04-08,18:00:00,50.606,50.606,50.606,50.606,100,0
2014-04-08,19:00:00,51.136,51.136,50.616,50.616,200,0
2014-04-08,20:00:00,50.626,50.626,50.626,50.626,100,0
2014-04-08,21:00:00,50.636,50.636,50.636,50.636,100,0
2014-04-08,22:00:00,50.646,50.646,50.646,50.646,200,0
2014-04-09,16:00:00,50.846,50.846,50.846,50.846,100,0
2014-04-09,17:00:00,50.636,50.636,50.636,50.636,200,0
2014-04-09,20:00:00,50.636,50.636,50.636,50.636,600,0
2014-04-09,21:00:00,50.636,50.636,50.626,50.626,2901,0
2014-04-09,22:00:00,50.636,50.636,50.626,50.626,1901,0
2014-04-10,16:00:00,50.506,50.506,50.506,50.506,500,0
2014-04-10,17:00:00,50.516,50.516,50.516,50.516,3501,0
2014-04-10,18:00:00,50.516,50.516,50.516,50.516,500,0
2014-04-10,19:00:00,50.506,50.506,50.506,50.506,1500,0
2014-04-10,20:00:00,50.506,50.506,50.506,50.506,2001,0
2014-04-10,22:00:00,50.496,50.496,50.496,50.496,4101,0
2014-04-11,16:00:00,50.396,50.396,50.396,50.396,1200,0
2014-04-11,17:00:00,50.386,50.496,50.386,50.406,5202,0
2014-04-11,18:00:00,50.446,50.456,50.396,50.426,2401,0
2014-04-11,19:00:00,50.416,50.536,50.396,50.456,4701,0
2014-04-11,20:00:00,50.526,50.586,50.436,50.436,1600,0
2014-04-11,21:00:00,50.436,50.456,50.436,50.456,1600,0
2014-04-14,16:00:00,50.336,50.336,50.336,50.336,100,0
2014-04-14,17:00:00,50.336,50.866,50.336,50.856,1200,0
2014-04-14,22:00:00,50.866,50.866,50.856,50.866,5702,0
2014-04-15,17:00:00,51.126,51.126,51.096,51.096,1200,0
2014-04-15,18:00:00,51.096,51.096,51.096,51.096,1000,0
2014-04-15,19:00:00,51.096,51.096,51.096,51.096,900,0
2014-04-15,20:00:00,51.096,51.096,50.976,50.976,1801,0
2014-04-15,21:00:00,51.056,51.096,51.026,51.096,1300,0
2014-04-15,22:00:00,51.096,51.096,51.096,51.096,1701,0
2014-04-16,17:00:00,51.226,51.226,51.226,51.226,2301,0
2014-04-16,18:00:00,51.226,51.226,51.106,51.106,2001,0
2014-04-16,19:00:00,51.096,51.106,51.046,51.106,1901,0
2014-04-16,20:00:00,51.096,51.096,51.096,51.096,1701,0
2014-04-16,21:00:00,51.096,51.096,51.096,51.096,1901,0
2014-04-16,22:00:00,51.096,51.106,51.086,51.086,3501,0
2014-04-24,19:00:00,50.596,50.596,50.596,50.596,500,0
2014-04-29,17:00:00,50.876,50.876,50.736,50.786,900,0
2014-04-29,18:00:00,50.806,50.926,50.806,50.886,1701,0
2014-04-29,20:00:00,50.536,50.536,50.536,50.536,100,0
2014-04-29,22:00:00,50.706,50.706,50.706,50.706,200,0
2014-04-30,17:00:00,50.876,50.876,50.856,50.856,800,0
2014-04-30,19:00:00,50.776,50.776,50.776,50.776,2001,0
2014-04-30,20:00:00,50.776,50.776,50.776,50.776,100,0
2014-04-30,21:00:00,50.776,50.776,50.776,50.776,1200,0
2014-04-30,22:00:00,50.606,50.616,50.606,50.616,2001,0
2014-05-01,21:00:00,50.906,50.906,50.906,50.906,200,0
2014-05-05,22:00:00,50.906,50.906,50.906,50.906,200,0
2014-05-06,18:00:00,50.896,50.896,50.896,50.896,1801,0
2014-05-06,20:00:00,50.886,50.886,50.886,50.886,600,0
2014-05-06,22:00:00,50.886,50.886,50.886,50.886,1200,0
2014-05-07,19:00:00,50.906,50.906,50.906,50.906,3101,0
2014-05-07,20:00:00,50.906,50.906,50.906,50.906,600,0
2014-05-07,22:00:00,50.906,50.906,50.906,50.906,1200,0
2014-05-14,18:00:00,50.806,50.806,50.806,50.806,1400,0
2014-05-14,19:00:00,50.816,50.816,50.816,50.816,200,0
2014-05-14,21:00:00,50.816,50.816,50.806,50.806,1000,0
2014-05-14,22:00:00,50.816,50.816,50.816,50.816,1801,0
2014-05-15,16:00:00,50.756,50.856,50.746,50.746,1300,0
2014-05-16,21:00:00,50.926,50.926,50.906,50.906,500,0
2014-05-16,22:00:00,50.786,50.926,50.736,50.776,500,0
2014-05-19,16:00:00,51.566,51.566,51.566,51.566,100,0
2014-05-19,17:00:00,50.826,50.826,50.826,50.826,100,0
2014-05-19,18:00:00,50.896,50.896,50.766,50.766,600,0
2014-05-20,22:00:00,50.826,50.826,50.816,50.826,500,0
2014-05-21,16:00:00,50.716,50.966,50.716,50.966,200,0
2014-05-21,17:00:00,50.716,50.716,50.716,50.716,100,0
2014-05-21,18:00:00,50.976,50.976,50.786,50.786,200,0
2014-05-21,19:00:00,50.896,50.896,50.896,50.896,100,0
2014-05-21,22:00:00,50.786,50.906,50.786,50.906,200,0
2014-05-22,16:00:00,50.686,50.856,50.686,50.686,900,0
2014-05-22,17:00:00,50.966,50.966,50.966,50.966,100,0
2014-05-22,18:00:00,50.676,50.676,50.676,50.676,100,0
2014-05-22,19:00:00,50.796,50.796,50.796,50.796,100,0
