Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-06-13,18:00:00,59.074,59.132,59.074,59.132,204,0
2014-06-13,22:00:00,61.756,61.756,61.649,61.649,204,0
2014-06-16,17:00:00,59.202,59.202,59.202,59.202,409,0
2014-06-16,18:00:00,58.957,59.015,58.957,59.015,651,0
2014-06-16,19:00:00,59.044,59.044,59.044,59.044,170,0
2014-06-17,16:00:00,59.525,59.525,59.525,59.525,306,0
2014-06-17,21:00:00,59.152,59.152,59.152,59.152,204,0
2014-06-17,22:00:00,59.104,59.104,59.094,59.094,383,0
2014-06-18,17:00:00,59.152,59.152,59.152,59.152,664,0
2014-06-19,16:00:00,59.701,59.701,59.701,59.701,1634,0
2014-06-19,17:00:00,59.671,59.691,59.671,59.691,1125,0
2014-06-19,19:00:00,59.642,59.642,59.642,59.642,204,0
2014-06-19,20:00:00,59.583,59.583,59.583,59.583,1248,0
2014-06-19,21:00:00,59.583,59.623,59.583,59.623,3764,0
2014-06-20,18:00:00,59.732,59.732,59.732,59.732,2349,0
2014-06-20,22:00:00,59.673,59.673,59.673,59.673,1022,0
2014-06-23,22:00:00,59.546,59.546,59.546,59.546,306,0
2014-06-24,19:00:00,59.605,59.605,59.605,59.605,177,0
2014-06-25,18:00:00,59.33,59.33,59.125,59.252,1477,0
2014-06-27,20:00:00,59.32,59.32,59.32,59.32,204,0
2014-06-30,19:00:00,59.546,59.546,59.526,59.526,327,0
2014-07-01,17:00:00,59.821,59.821,59.821,59.821,1004,0
2014-07-02,21:00:00,59.937,59.937,59.937,59.937,300,0
2014-07-02,22:00:00,59.937,59.937,59.937,59.937,300,0
2014-07-03,16:00:00,60.212,60.212,60.212,60.212,333,0
2014-07-03,18:00:00,60.134,60.134,60.134,60.134,391,0
2014-07-07,16:00:00,60.614,60.614,60.614,60.614,1762,0
2014-07-07,18:00:00,59.909,59.909,59.909,59.909,1532,0
2014-07-07,21:00:00,59.879,59.879,59.879,59.879,269,0
2014-07-07,22:00:00,59.879,59.879,59.879,59.879,269,0
2014-07-09,20:00:00,59.732,59.732,59.732,59.732,102,0
2014-07-09,22:00:00,59.732,59.732,59.732,59.732,102,0
2014-07-14,20:00:00,59.839,59.839,59.839,59.839,204,0
2014-07-14,22:00:00,59.831,59.831,59.831,59.831,652,0
2014-07-15,16:00:00,59.937,60.476,59.937,60.476,204,0
2014-07-15,17:00:00,60.995,60.995,60.809,60.809,306,0
2014-07-15,18:00:00,60.76,60.839,60.751,60.751,306,0
2014-07-15,19:00:00,60.672,60.77,60.672,60.77,306,0
2014-07-15,20:00:00,62.778,62.778,60.799,60.799,511,0
2014-07-15,22:00:00,60.799,60.799,60.799,60.799,204,0
2014-07-16,21:00:00,59.987,59.987,59.987,59.987,117,0
2014-07-16,22:00:00,59.987,59.987,59.987,59.987,117,0
2014-07-17,22:00:00,59.507,59.507,59.507,59.507,102,0
2014-07-21,16:00:00,59.585,59.585,59.585,59.585,357,0
2014-07-21,22:00:00,59.585,59.585,59.585,59.585,102,0
2014-07-22,16:00:00,59.839,59.928,59.839,59.928,629,0
2014-07-22,17:00:00,59.967,59.967,59.967,59.967,715,0
2014-07-22,18:00:00,59.997,59.997,59.987,59.987,715,0
2014-07-22,19:00:00,60.006,60.006,59.928,59.977,1124,0
2014-07-22,20:00:00,59.957,59.997,59.928,59.957,1736,0
2014-07-22,21:00:00,59.977,59.977,59.977,59.977,271,0
2014-07-22,22:00:00,59.987,59.987,59.947,59.947,1859,0
2014-07-23,19:00:00,60.094,60.094,60.055,60.055,1022,0
2014-07-23,20:00:00,60.006,60.006,60.006,60.006,1022,0
2014-07-23,21:00:00,60.045,60.065,60.045,60.065,409,0
2014-07-23,22:00:00,60.094,60.094,60.094,60.094,409,0
2014-07-24,16:00:00,60.124,60.124,60.124,60.124,306,0
2014-07-24,19:00:00,60.124,60.124,60.124,60.124,2144,0
2014-07-24,20:00:00,60.124,60.124,60.124,60.124,715,0
2014-07-24,22:00:00,60.114,60.114,60.114,60.114,511,0
2014-07-25,16:00:00,60.026,60.026,60.026,60.026,1463,0
2014-07-25,17:00:00,60.006,60.016,60.006,60.016,972,0
2014-07-25,19:00:00,60.006,60.006,60.006,60.006,102,0
