Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-19,16:00:00,29.87,29.87,29.87,29.87,372,0
2014-12-19,17:00:00,29.753,29.83,29.753,29.811,2520,0
2014-12-19,18:00:00,29.783,29.783,29.783,29.783,412,0
2014-12-19,19:00:00,29.733,29.733,29.723,29.723,514,0
2014-12-19,20:00:00,29.733,29.753,29.733,29.753,1111,0
2014-12-19,21:00:00,29.85,29.908,29.85,29.908,1533,0
2014-12-19,22:00:00,29.918,29.966,29.918,29.966,1742,0
2014-12-22,17:00:00,29.773,29.783,29.773,29.783,2469,0
2014-12-22,18:00:00,29.811,29.811,29.753,29.753,41679,0
2014-12-22,19:00:00,29.743,29.743,29.743,29.743,4114,0
2014-12-22,20:00:00,29.821,29.821,29.753,29.753,2538,0
2014-12-22,21:00:00,29.889,29.899,29.889,29.899,3189,0
2014-12-22,22:00:00,29.908,29.947,29.889,29.947,3227,0
2014-12-23,17:00:00,30.093,30.093,30.006,30.025,4530,0
2014-12-23,18:00:00,30.093,30.103,30.045,30.045,3267,0
2014-12-23,19:00:00,30.053,30.093,30.016,30.093,3189,0
2014-12-23,20:00:00,30.093,30.093,29.986,30.045,3887,0
2014-12-23,21:00:00,30.025,30.063,30.006,30.025,3343,0
2014-12-23,22:00:00,30.053,30.063,30.045,30.045,2368,0
2014-12-24,16:00:00,30.103,30.151,30.093,30.093,1648,0
2014-12-24,17:00:00,30.073,30.103,30.073,30.103,2521,0
2014-12-24,18:00:00,30.151,30.151,30.133,30.133,5568,0
2014-12-24,19:00:00,30.19,30.21,30.19,30.19,1482,0
2014-12-26,17:00:00,30.413,30.463,30.413,30.463,4190,0
2014-12-26,18:00:00,30.403,30.403,30.403,30.403,309,0
2014-12-26,20:00:00,30.453,30.453,30.413,30.413,246,0
2014-12-26,21:00:00,30.366,30.366,30.366,30.366,103,0
2014-12-26,22:00:00,30.394,30.423,30.394,30.423,417,0
2014-12-29,17:00:00,30.533,30.602,30.533,30.592,4378,0
2014-12-29,19:00:00,30.563,30.563,30.563,30.563,408,0
2014-12-29,20:00:00,30.523,30.523,30.513,30.513,6323,0
2014-12-29,21:00:00,30.543,30.543,30.543,30.543,255,0
2014-12-29,22:00:00,30.582,30.592,30.494,30.572,17259,0
2014-12-30,16:00:00,30.455,30.455,30.405,30.415,1736,0
2014-12-30,17:00:00,30.377,30.415,30.367,30.415,1530,0
2014-12-30,18:00:00,30.357,30.357,30.268,30.268,1632,0
2014-12-30,19:00:00,30.347,30.357,30.278,30.278,2166,0
2014-12-30,20:00:00,30.21,30.21,30.21,30.21,102,0
2014-12-30,21:00:00,30.239,30.239,30.229,30.229,7904,0
2014-12-30,22:00:00,30.239,30.239,30.2,30.2,1247,0
2014-12-31,16:00:00,30.357,30.357,30.19,30.19,1136,0
2014-12-31,17:00:00,30.22,30.229,30.19,30.19,1938,0
2014-12-31,18:00:00,30.22,30.22,30.15,30.16,1831,0
2014-12-31,19:00:00,30.14,30.14,30.043,30.043,1121,0
2014-12-31,20:00:00,30.043,30.092,30.033,30.043,780,0
2014-12-31,21:00:00,29.876,29.876,29.857,29.867,1511,0
2014-12-31,22:00:00,29.905,29.905,29.739,29.739,1187,0
2015-01-02,16:00:00,29.857,29.857,29.857,29.857,408,0
2015-01-02,18:00:00,29.847,29.847,29.797,29.797,612,0
2015-01-02,19:00:00,29.787,29.817,29.759,29.797,1729,0
2015-01-02,20:00:00,29.797,29.797,29.67,29.719,2651,0
2015-01-02,21:00:00,29.769,29.779,29.739,29.779,5058,0
2015-01-02,22:00:00,29.739,29.925,29.739,29.915,2672,0
2015-01-05,16:00:00,29.533,29.533,29.533,29.533,2856,0
2015-01-05,17:00:00,29.523,29.562,29.523,29.562,1238,0
2015-01-05,18:00:00,29.454,29.533,29.454,29.523,2833,0
2015-01-05,19:00:00,29.494,29.494,29.386,29.434,5063,0
2015-01-05,20:00:00,29.396,29.444,29.396,29.406,1204,0
2015-01-05,21:00:00,29.416,29.416,29.396,29.396,510,0
2015-01-05,22:00:00,29.406,29.434,29.347,29.347,4054,0
2015-01-06,16:00:00,29.562,29.611,29.562,29.611,408,0
2015-01-06,17:00:00,29.631,29.709,29.523,29.523,4589,0
2015-01-06,18:00:00,29.514,29.514,29.416,29.416,6387,0
2015-01-06,19:00:00,29.406,29.494,29.356,29.494,1428,0
2015-01-06,20:00:00,29.426,29.484,29.337,29.356,2953,0
2015-01-06,21:00:00,29.416,29.454,29.416,29.454,510,0
2015-01-06,22:00:00,29.484,29.533,29.386,29.396,8977,0
2015-01-07,16:00:00,29.562,29.572,29.484,29.543,10575,0
2015-01-07,17:00:00,29.543,29.543,29.444,29.514,2402,0
2015-01-07,18:00:00,29.416,29.572,29.416,29.572,1146,0
2015-01-07,19:00:00,29.582,29.661,29.552,29.552,4012,0
2015-01-07,20:00:00,29.533,29.572,29.484,29.572,1536,0
2015-01-07,21:00:00,29.67,29.67,29.592,29.592,2346,0
2015-01-07,22:00:00,29.543,29.592,29.533,29.552,10507,0
2015-01-08,16:00:00,29.847,29.847,29.847,29.847,3977,0
2015-01-08,17:00:00,29.886,29.915,29.827,29.915,7239,0
2015-01-08,18:00:00,29.945,29.964,29.915,29.915,6765,0
2015-01-08,19:00:00,29.915,29.925,29.876,29.915,4204,0
2015-01-08,20:00:00,29.915,29.925,29.867,29.867,1955,0
2015-01-08,21:00:00,29.994,30.004,29.984,30.004,1760,0
2015-01-08,22:00:00,29.984,29.984,29.905,29.915,9753,0
2015-01-09,17:00:00,29.787,29.787,29.621,29.69,5999,0
2015-01-09,18:00:00,29.602,29.661,29.602,29.661,1979,0
2015-01-09,19:00:00,29.739,29.759,29.709,29.709,2651,0
2015-01-09,20:00:00,29.719,29.769,29.709,29.769,6824,0
2015-01-09,21:00:00,29.709,29.739,29.709,29.739,632,0
2015-01-09,22:00:00,29.827,29.827,29.69,29.709,1989,0
2015-01-12,16:00:00,29.709,29.709,29.514,29.514,8487,0
2015-01-12,18:00:00,29.641,29.641,29.562,29.562,2948,0
2015-01-12,19:00:00,29.552,29.611,29.552,29.562,1607,0
2015-01-12,20:00:00,29.523,29.523,29.523,29.523,918,0
2015-01-12,21:00:00,29.582,29.621,29.552,29.582,5128,0
2015-01-12,22:00:00,29.67,29.68,29.67,29.67,6116,0
2015-01-13,17:00:00,29.964,29.964,29.857,29.857,4538,0
2015-01-13,18:00:00,29.945,29.945,29.945,29.945,746,0
2015-01-13,19:00:00,29.847,29.867,29.769,29.769,1188,0
2015-01-13,20:00:00,29.779,29.779,29.494,29.494,2449,0
2015-01-13,21:00:00,29.474,29.474,29.416,29.454,2620,0
2015-01-13,22:00:00,29.543,29.543,29.543,29.543,2272,0
2015-01-14,16:00:00,29.396,29.396,29.396,29.396,102,0
2015-01-14,17:00:00,29.474,29.494,29.444,29.444,1143,0
2015-01-14,18:00:00,29.426,29.426,29.366,29.366,5213,0
2015-01-14,19:00:00,29.416,29.426,29.386,29.416,879,0
2015-01-14,20:00:00,29.366,29.366,29.278,29.278,2530,0
2015-01-14,21:00:00,29.396,29.572,29.396,29.572,3832,0
2015-01-14,22:00:00,29.523,29.661,29.434,29.651,5153,0
2015-01-15,16:00:00,29.699,29.699,29.699,29.699,646,0
2015-01-15,17:00:00,29.699,29.886,29.514,29.514,88067,0
2015-01-15,18:00:00,29.729,29.807,29.631,29.68,1260,0
2015-01-15,19:00:00,29.699,29.699,29.621,29.651,882,0
2015-01-15,20:00:00,29.69,29.699,29.582,29.68,8115,0
2015-01-15,21:00:00,29.621,29.719,29.621,29.719,34315,0
2015-01-15,22:00:00,29.699,29.729,29.699,29.729,2076,0
2015-01-16,16:00:00,29.759,29.759,29.759,29.759,408,0
2015-01-16,17:00:00,29.759,29.779,29.68,29.779,4161,0
2015-01-16,18:00:00,29.857,29.857,29.857,29.857,816,0
