Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-19,16:00:00,21.27,21.27,21.12,21.12,900,0
2014-11-19,17:00:00,21.16,21.2,21.12,21.2,1000,0
2014-11-19,18:00:00,21.27,21.28,21.27,21.28,200,0
2014-11-19,19:00:00,21.28,21.28,21.24,21.24,300,0
2014-11-19,20:00:00,21.26,21.26,21.26,21.26,200,0
2014-11-19,21:00:00,21.27,21.28,21.2,21.28,600,0
2014-11-19,22:00:00,21.25,21.28,21.2,21.2,2950,0
2014-11-20,16:00:00,21.36,21.36,21.32,21.34,1850,0
2014-11-20,17:00:00,21.34,21.34,21.3,21.34,400,0
2014-11-20,18:00:00,21.28,21.28,21.21,21.21,400,0
2014-11-20,19:00:00,21.27,21.27,21.22,21.27,600,0
2014-11-20,20:00:00,21.21,21.21,21.21,21.21,100,0
2014-11-20,21:00:00,21.18,21.27,21.17,21.27,1400,0
2014-11-20,22:00:00,21.28,21.28,21.17,21.25,800,0
2014-11-21,16:00:00,21.05,21.16,21.01,21.07,2075,0
2014-11-21,17:00:00,21.06,21.07,21.06,21.07,300,0
2014-11-21,18:00:00,21.11,21.12,21.06,21.08,500,0
2014-11-21,19:00:00,21.12,21.13,21.12,21.13,200,0
2014-11-21,20:00:00,21.12,21.12,21.12,21.12,200,0
2014-11-21,21:00:00,21.12,21.14,21.12,21.13,400,0
2014-11-21,22:00:00,21.14,21.14,21.09,21.1,400,0
2014-11-24,16:00:00,21.21,21.21,20.91,21.0,1800,0
2014-11-24,17:00:00,20.95,20.97,20.91,20.91,1100,0
2014-11-24,18:00:00,21.0,21.01,20.97,21.01,876,0
2014-11-24,19:00:00,21.02,21.02,21.0,21.0,300,0
2014-11-24,20:00:00,21.0,21.0,20.96,20.96,500,0
2014-11-24,21:00:00,21.02,21.02,21.02,21.02,100,0
2014-11-24,22:00:00,21.01,21.02,20.98,21.01,1900,0
2014-11-25,16:00:00,20.95,20.95,20.95,20.95,200,0
2014-11-25,17:00:00,20.95,21.03,20.93,20.95,130747,0
2014-11-25,20:00:00,20.95,20.95,20.89,20.93,517,0
2014-11-25,21:00:00,20.87,20.87,20.87,20.87,326,0
2014-11-25,22:00:00,20.9,20.9,20.9,20.9,100,0
2014-11-26,16:00:00,20.81,20.88,20.77,20.88,650,0
2014-11-26,17:00:00,20.86,20.86,20.76,20.76,2900,0
2014-11-26,21:00:00,20.73,20.73,20.72,20.72,200,0
2014-11-28,16:00:00,20.72,20.72,20.47,20.54,10243,0
2014-11-28,18:00:00,20.53,20.57,20.53,20.57,700,0
2014-11-28,19:00:00,20.57,20.67,20.56,20.65,2298,0
2014-12-01,16:00:00,20.66,20.78,20.65,20.78,4004,0
2014-12-01,17:00:00,20.68,20.68,20.61,20.62,600,0
2014-12-01,18:00:00,20.64,20.64,20.64,20.64,200,0
2014-12-01,19:00:00,20.58,20.63,20.57,20.63,2200,0
2014-12-01,20:00:00,20.61,20.66,20.61,20.66,600,0
2014-12-01,21:00:00,20.64,20.65,20.64,20.65,2100,0
2014-12-01,22:00:00,20.72,20.8,20.72,20.8,1300,0
2014-12-02,16:00:00,20.86,20.94,20.8,20.88,2300,0
2014-12-02,17:00:00,20.89,20.89,20.76,20.76,1900,0
2014-12-02,18:00:00,20.76,20.76,20.69,20.7,1300,0
2014-12-02,20:00:00,20.7,20.7,20.7,20.7,150,0
2014-12-02,21:00:00,20.68,20.68,20.65,20.65,1100,0
2014-12-03,16:00:00,20.8,20.8,20.75,20.75,2300,0
2014-12-03,17:00:00,20.72,20.75,20.72,20.75,500,0
2014-12-03,19:00:00,20.75,20.75,20.75,20.75,200,0
2014-12-03,20:00:00,20.75,20.75,20.75,20.75,100,0
2014-12-03,21:00:00,20.68,20.68,20.68,20.68,400,0
2014-12-03,22:00:00,20.71,20.71,20.71,20.71,300,0
2014-12-04,16:00:00,20.81,20.82,20.77,20.79,3600,0
2014-12-04,17:00:00,20.8,20.8,20.8,20.8,200,0
2014-12-04,18:00:00,20.78,20.78,20.78,20.78,500,0
2014-12-04,19:00:00,20.75,20.75,20.75,20.75,1068,0
2014-12-04,20:00:00,20.71,20.72,20.71,20.72,900,0
2014-12-04,22:00:00,20.69,20.69,20.67,20.67,2700,0
2014-12-05,16:00:00,20.7,20.82,20.7,20.8,5235,0
2014-12-05,17:00:00,20.78,20.82,20.77,20.8,4400,0
2014-12-05,18:00:00,20.77,20.82,20.77,20.81,3125,0
2014-12-05,19:00:00,20.79,20.79,20.76,20.79,450,0
2014-12-05,20:00:00,20.77,20.82,20.76,20.8,2878,0
2014-12-05,21:00:00,20.82,20.82,20.75,20.75,3200,0
2014-12-05,22:00:00,20.8,20.82,20.76,20.78,1500,0
2014-12-08,16:00:00,20.71,20.71,20.58,20.58,3019,0
2014-12-08,17:00:00,20.58,20.62,20.55,20.55,4900,0
2014-12-08,18:00:00,20.59,20.62,20.58,20.61,1200,0
2014-12-08,19:00:00,20.61,20.73,20.6,20.64,1900,0
2014-12-08,20:00:00,20.65,20.71,20.65,20.68,1100,0
2014-12-08,21:00:00,20.68,20.77,20.68,20.71,1825,0
2014-12-08,22:00:00,20.64,20.64,20.63,20.63,525,0
2014-12-09,16:00:00,20.63,20.75,20.63,20.75,1331,0
2014-12-09,17:00:00,20.74,20.74,20.74,20.74,600,0
2014-12-09,21:00:00,20.58,20.65,20.58,20.61,862,0
2014-12-09,22:00:00,20.59,20.59,20.54,20.54,500,0
2014-12-10,16:00:00,20.65,20.71,20.65,20.65,500,0
2014-12-10,18:00:00,20.55,20.55,20.55,20.55,100,0
2014-12-10,20:00:00,20.6,20.62,20.55,20.62,2168,0
