Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-30,16:00:00,78.405,78.96,78.405,78.92,7404,0
2014-12-30,17:00:00,78.64,78.735,78.27,78.735,8504,0
2014-12-30,18:00:00,78.4,78.5,78.325,78.325,4002,0
2014-12-30,19:00:00,78.4,78.44,78,78,3602,0
2014-12-30,20:00:00,78.06,78.31,78.06,78.08,3662,0
2014-12-30,21:00:00,77.815,77.925,77.685,77.885,2358,0
2014-12-30,22:00:00,78.07,78.07,77.96,77.965,3402,0
2014-12-31,16:00:00,77.985,78.07,77.985,78.07,3410,0
2014-12-31,17:00:00,77.94,78.58,77.94,78.58,4834,0
2014-12-31,18:00:00,78.37,78.465,78.315,78.345,4362,0
2014-12-31,19:00:00,77.635,77.835,77.505,77.505,3202,0
2014-12-31,21:00:00,77.41,77.41,76.585,76.585,5538,0
2014-12-31,22:00:00,76.725,76.845,76.02,76.085,11606,0
2015-01-02,16:00:00,77.1,77.335,77.1,77.11,8858,0
2015-01-02,17:00:00,75.845,75.845,75.165,75.48,7024,0
2015-01-02,18:00:00,75.34,75.34,74.945,75.295,15258,0
2015-01-02,19:00:00,75.49,75.58,75.49,75.58,800,0
2015-01-02,20:00:00,75.365,75.365,74.895,75.13,2512,0
2015-01-02,22:00:00,75.465,75.995,75.465,75.74,45876,0
2015-01-05,16:00:00,74.72,75.095,74.24,74.315,6828,0
2015-01-05,17:00:00,74.39,74.705,74.39,74.69,7304,0
2015-01-05,18:00:00,74.115,74.115,74.115,74.115,1490,0
2015-01-05,19:00:00,74.045,74.045,73.735,73.75,15990,0
2015-01-05,20:00:00,73.335,73.47,73.31,73.315,6102,0
2015-01-05,21:00:00,73.115,73.115,73.115,73.115,1200,0
2015-01-05,22:00:00,73.06,73.51,73.06,73.505,20058,0
2015-01-06,16:00:00,72.96,73.08,72.94,73.08,8884,0
2015-01-06,17:00:00,72.72,72.72,72.575,72.575,9604,0
2015-01-06,18:00:00,72.47,72.47,71.58,71.595,16442,0
2015-01-06,19:00:00,71.43,71.765,70.795,71.765,15530,0
2015-01-06,20:00:00,71.075,71.09,70.77,70.95,4202,0
2015-01-06,21:00:00,71.63,72.36,71.49,72.36,5052,0
2015-01-06,22:00:00,72.475,72.55,71.275,71.275,6884,0
2015-01-07,16:00:00,72.03,72.03,72.03,72.03,1400,0
2015-01-07,17:00:00,72.565,72.565,71.76,71.76,5902,0
2015-01-07,18:00:00,71.97,72.28,71.82,72.28,3002,0
2015-01-07,19:00:00,72.87,72.87,72.53,72.775,3082,0
2015-01-07,20:00:00,72.495,72.6,72.47,72.47,1500,0
2015-01-07,21:00:00,72.67,72.67,72.36,72.36,9004,0
2015-01-07,22:00:00,72.235,72.47,72.235,72.35,5402,0
2015-01-08,16:00:00,73.7,74.375,73.7,74.375,9324,0
2015-01-08,17:00:00,74.85,75.505,74.85,75.505,8440,0
2015-01-08,18:00:00,75.715,75.86,75.605,75.645,10804,0
2015-01-08,19:00:00,75.37,75.37,75.37,75.37,1000,0
2015-01-08,20:00:00,76.01,76.01,76.01,76.01,3074,0
2015-01-08,21:00:00,76.31,76.31,76.15,76.15,1100,0
2015-01-08,22:00:00,76.19,76.19,76.075,76.075,2802,0
2015-01-09,16:00:00,76.215,76.485,76.215,76.325,8204,0
2015-01-09,17:00:00,76.21,76.21,74.965,74.965,3102,0
2015-01-09,18:00:00,74.785,75.04,74.585,75.015,8244,0
2015-01-09,19:00:00,75.63,75.63,75.225,75.23,1500,0
2015-01-09,20:00:00,74.895,75.485,74.895,75.36,3902,0
2015-01-09,21:00:00,75.325,75.755,75.325,75.605,1600,0
2015-01-09,22:00:00,76.06,76.14,75.575,75.595,4662,0
2015-01-12,16:00:00,75.5,75.5,73.475,73.49,6122,0
2015-01-12,17:00:00,73.08,74.01,73.08,74.01,4002,0
2015-01-12,18:00:00,74.37,74.37,73.68,73.68,5592,0
2015-01-12,19:00:00,74.075,74.075,73.835,73.835,3742,0
2015-01-12,20:00:00,73.59,73.59,73.59,73.59,2200,0
2015-01-12,21:00:00,73.045,73.045,73.045,73.045,400,0
2015-01-12,22:00:00,73.29,73.56,73.12,73.56,3202,0
2015-01-13,16:00:00,75.495,75.76,75.495,75.76,4802,0
