Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,77.538,77.746,76.844,76.932,158461,0
2015-01-15,17:00:00,76.932,77.538,76.824,77.12,246486,0
2015-01-15,18:00:00,77.12,77.19,76.804,76.962,199561,0
2015-01-15,19:00:00,76.972,77.072,76.566,76.704,210194,0
2015-01-15,20:00:00,76.724,76.962,76.596,76.734,153270,0
2015-01-15,21:00:00,76.744,76.952,76.684,76.912,416888,0
2015-01-15,22:00:00,76.912,76.962,76.466,76.516,442353,0
2015-01-16,16:00:00,76.486,76.784,76.426,76.516,126924,0
2015-01-16,17:00:00,76.596,77.062,76.338,77.052,170652,0
2015-01-16,18:00:00,77.052,77.101,76.794,76.922,133470,0
2015-01-16,19:00:00,76.942,77.3,76.902,77.21,126438,0
2015-01-16,20:00:00,77.22,77.26,77.002,77.24,166215,0
2015-01-16,21:00:00,77.27,77.27,77.082,77.22,128174,0
2015-01-16,22:00:00,77.2,77.666,77.15,77.578,284220,0
2015-01-20,16:00:00,77.816,77.934,77.15,77.26,186433,0
2015-01-20,17:00:00,77.21,77.438,77.042,77.13,279878,0
2015-01-20,18:00:00,77.111,77.26,76.902,77.002,173724,0
2015-01-20,19:00:00,77.012,77.24,76.962,77.18,119873,0
2015-01-20,20:00:00,77.16,77.34,77.062,77.25,153138,0
2015-01-20,21:00:00,77.25,77.627,77.25,77.627,514879,0
2015-01-20,22:00:00,77.636,77.696,77.478,77.617,395121,0
2015-01-21,16:00:00,77.418,77.994,77.25,77.776,146005,0
2015-01-21,17:00:00,77.786,78.262,77.656,78.232,287811,0
2015-01-21,18:00:00,78.242,78.312,78.024,78.192,235828,0
2015-01-21,19:00:00,78.172,78.282,77.954,78.044,156288,0
2015-01-21,20:00:00,78.044,78.113,77.776,77.796,145065,0
2015-01-21,21:00:00,77.776,78.103,77.726,78.074,276803,0
2015-01-21,22:00:00,78.074,78.202,77.894,78.152,303761,0
2015-01-22,16:00:00,78.51,78.649,77.885,78.123,177227,0
2015-01-22,17:00:00,78.113,78.818,78.113,78.788,189258,0
2015-01-22,18:00:00,78.788,78.818,78.43,78.53,210938,0
2015-01-22,19:00:00,78.55,78.639,78.43,78.52,119085,0
2015-01-22,20:00:00,78.53,78.748,78.52,78.708,135221,0
2015-01-22,21:00:00,78.708,79.175,78.649,79.155,247970,0
2015-01-22,22:00:00,79.175,79.314,79.145,79.244,346980,0
2015-01-23,16:00:00,79.026,79.224,78.956,79.036,90387,0
2015-01-23,17:00:00,79.026,79.184,78.867,79.125,157331,0
2015-01-23,18:00:00,79.115,79.194,79.016,79.076,168882,0
2015-01-23,19:00:00,79.066,79.234,79.016,79.125,133804,0
2015-01-23,20:00:00,79.125,79.194,78.996,79.125,204769,0
2015-01-23,21:00:00,79.135,79.155,78.956,78.966,261380,0
2015-01-23,22:00:00,78.946,78.996,78.768,78.818,335602,0
2015-01-26,16:00:00,78.788,78.788,78.381,78.629,92405,0
2015-01-26,17:00:00,78.659,78.946,78.609,78.877,88446,0
2015-01-26,18:00:00,78.857,78.996,78.768,78.996,124315,0
2015-01-26,19:00:00,78.996,79.056,78.897,78.976,82416,0
2015-01-26,20:00:00,78.966,79.184,78.907,79.155,125354,0
2015-01-26,21:00:00,79.135,79.155,79.016,79.095,120352,0
2015-01-26,22:00:00,79.086,79.214,79.006,79.194,255915,0
2015-01-27,16:00:00,78.381,78.678,78.351,78.401,87446,0
2015-01-27,17:00:00,78.391,78.56,78.044,78.222,312295,0
2015-01-27,18:00:00,78.242,78.57,78.192,78.401,204849,0
2015-01-27,19:00:00,78.401,78.659,78.361,78.659,137216,0
2015-01-27,20:00:00,78.668,78.857,78.589,78.708,158584,0
2015-01-27,21:00:00,78.698,78.986,78.698,78.748,185064,0
2015-01-27,22:00:00,78.758,78.818,78.53,78.57,376586,0
2015-01-28,16:00:00,78.936,78.936,78.649,78.708,118533,0
2015-01-28,17:00:00,78.728,78.828,78.162,78.222,291245,0
2015-01-28,18:00:00,78.202,78.44,78.103,78.371,214954,0
2015-01-28,19:00:00,78.361,78.649,78.361,78.5,142483,0
2015-01-28,20:00:00,78.48,78.5,78.312,78.312,83743,0
