Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,49.785,49.805,49.568,49.638,901665,0
2015-01-15,17:00:00,49.638,49.785,49.528,49.726,97377,0
2015-01-15,18:00:00,49.696,49.726,49.578,49.696,42766,0
2015-01-15,19:00:00,49.696,49.766,49.578,49.608,127330,0
2015-01-15,20:00:00,49.598,49.676,49.598,49.666,77153,0
2015-01-15,21:00:00,49.647,49.746,49.628,49.746,29575,0
2015-01-15,22:00:00,49.746,49.756,49.628,49.686,51602,0
2015-01-16,16:00:00,49.618,49.885,49.618,49.795,25122,0
2015-01-16,17:00:00,49.805,49.923,49.756,49.845,48694,0
2015-01-16,18:00:00,49.933,49.933,49.726,49.825,41570,0
2015-01-16,19:00:00,49.825,49.993,49.825,49.963,18323,0
2015-01-16,20:00:00,49.933,49.983,49.845,49.983,115452,0
2015-01-16,21:00:00,49.973,49.983,49.875,49.933,33889,0
2015-01-16,22:00:00,49.983,50.25,49.885,50.22,73813,0
2015-01-20,16:00:00,50.359,50.388,50.072,50.141,28337,0
2015-01-20,17:00:00,50.112,50.141,49.913,50.042,45348,0
2015-01-20,18:00:00,50.092,50.122,49.894,49.953,45922,0
2015-01-20,19:00:00,49.953,49.973,49.776,49.855,42316,0
2015-01-20,20:00:00,49.855,49.913,49.776,49.795,53817,0
2015-01-20,21:00:00,49.785,49.963,49.716,49.875,176583,0
2015-01-20,22:00:00,49.875,49.903,49.756,49.855,37584,0
2015-01-21,16:00:00,49.943,50.062,49.756,49.913,21003,0
2015-01-21,17:00:00,49.894,49.953,49.805,49.953,64536,0
2015-01-21,18:00:00,49.963,49.993,49.894,49.933,87835,0
2015-01-21,19:00:00,49.933,49.963,49.805,49.903,59595,0
2015-01-21,20:00:00,49.894,49.973,49.825,49.894,69560,0
2015-01-21,21:00:00,49.894,50.003,49.835,50.003,124972,0
2015-01-21,22:00:00,49.963,50.042,49.885,50.023,145113,0
2015-01-22,16:00:00,50.122,50.122,49.894,50.072,78749,0
2015-01-22,17:00:00,50.072,50.447,50.052,50.407,79866,0
2015-01-22,18:00:00,50.427,50.427,50.21,50.299,111601,0
2015-01-22,19:00:00,50.299,50.378,50.27,50.319,82065,0
2015-01-22,20:00:00,50.339,50.467,50.339,50.467,27983,0
2015-01-22,21:00:00,50.457,50.625,50.427,50.625,98929,0
2015-01-22,22:00:00,50.625,50.674,50.556,50.625,66997,0
