Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,24.22,24.27,24.05,24.05,31922,0
2015-01-15,17:00:00,24.08,24.21,24.08,24.12,47352,0
2015-01-15,18:00:00,24.12,24.12,24.04,24.06,38958,0
2015-01-15,19:00:00,24.07,24.1,23.99,24.02,38927,0
2015-01-15,20:00:00,24.03,24.08,24.0,24.01,52429,0
2015-01-15,21:00:00,24.01,24.07,24.01,24.07,46981,0
2015-01-15,22:00:00,24.06,24.07,23.95,23.98,85978,0
2015-01-16,16:00:00,23.91,24.01,23.91,23.99,25473,0
2015-01-16,17:00:00,24.0,24.05,23.94,24.05,58556,0
2015-01-16,18:00:00,24.06,24.09,24.02,24.06,71451,0
2015-01-16,19:00:00,24.06,24.09,24.02,24.08,31067,0
2015-01-16,20:00:00,24.06,24.11,24.05,24.09,37366,0
2015-01-16,21:00:00,24.06,24.11,24.05,24.08,41600,0
2015-01-16,22:00:00,24.1,24.22,24.05,24.15,64090,0
2015-01-20,16:00:00,24.13,24.13,24.02,24.02,113324,0
2015-01-20,17:00:00,24.03,24.08,24.0,24.05,67004,0
2015-01-20,18:00:00,24.03,24.09,24.01,24.04,61733,0
2015-01-20,19:00:00,24.04,24.07,24.03,24.04,62207,0
2015-01-20,20:00:00,24.05,24.07,24.01,24.04,106452,0
2015-01-20,21:00:00,24.05,24.08,24.02,24.07,327900,0
2015-01-20,22:00:00,24.08,24.1,24.01,24.06,473774,0
2015-01-21,16:00:00,24.3,24.38,24.25,24.33,47738,0
2015-01-21,17:00:00,24.34,24.5,24.34,24.5,44221,0
2015-01-21,18:00:00,24.5,24.53,24.45,24.47,34207,0
2015-01-21,19:00:00,24.46,24.49,24.41,24.44,23708,0
2015-01-21,20:00:00,24.44,24.47,24.42,24.43,50967,0
2015-01-21,21:00:00,24.41,24.5,24.4,24.5,77665,0
2015-01-21,22:00:00,24.5,24.58,24.44,24.56,64616,0
2015-01-22,16:00:00,24.73,24.74,24.64,24.68,104444,0
2015-01-22,17:00:00,24.7,24.88,24.7,24.88,49671,0
2015-01-22,18:00:00,24.88,24.88,24.81,24.84,87961,0
2015-01-22,19:00:00,24.85,24.9,24.83,24.89,341609,0
2015-01-22,20:00:00,24.88,24.89,24.84,24.87,28163,0
2015-01-22,21:00:00,24.88,25.0,24.85,24.99,109119,0
2015-01-22,22:00:00,25.0,25.07,24.99,25.05,354953,0
2015-01-23,16:00:00,24.92,24.95,24.91,24.93,50969,0
2015-01-23,17:00:00,24.93,24.96,24.89,24.95,36759,0
2015-01-23,18:00:00,24.94,24.95,24.89,24.94,40606,0
2015-01-23,19:00:00,24.93,24.95,24.92,24.94,45510,0
2015-01-23,20:00:00,24.94,24.94,24.9,24.91,41732,0
2015-01-23,21:00:00,24.91,24.92,24.87,24.88,349435,0
2015-01-23,22:00:00,24.87,24.88,24.82,24.83,1028816,0
2015-01-26,16:00:00,24.73,24.8,24.72,24.79,34762,0
2015-01-26,17:00:00,24.8,24.9,24.8,24.89,122536,0
2015-01-26,18:00:00,24.9,24.92,24.89,24.91,34825,0
2015-01-26,19:00:00,24.94,24.97,24.93,24.95,54125,0
2015-01-26,20:00:00,24.95,24.95,24.91,24.94,83603,0
2015-01-26,21:00:00,24.93,24.94,24.86,24.88,87553,0
2015-01-26,22:00:00,24.88,24.88,24.8,24.88,143996,0
2015-01-27,16:00:00,24.69,24.69,24.56,24.66,95090,0
2015-01-27,17:00:00,24.66,24.71,24.65,24.66,61694,0
2015-01-27,18:00:00,24.67,24.75,24.67,24.73,67917,0
2015-01-27,19:00:00,24.74,24.78,24.71,24.76,53907,0
2015-01-27,20:00:00,24.77,24.81,24.69,24.77,610297,0
2015-01-27,21:00:00,24.77,24.83,24.77,24.77,79754,0
2015-01-27,22:00:00,24.77,24.8,24.76,24.77,154032,0
2015-01-28,16:00:00,24.78,24.78,24.68,24.68,46600,0
2015-01-28,17:00:00,24.68,24.7,24.65,24.66,61558,0
2015-01-28,18:00:00,24.66,24.69,24.64,24.66,78965,0
2015-01-28,19:00:00,24.67,24.72,24.66,24.68,56369,0
2015-01-28,20:00:00,24.68,24.7,24.64,24.67,113842,0
2015-01-28,21:00:00,24.7,24.73,24.56,24.63,60939,0
2015-01-28,22:00:00,24.62,24.64,24.4,24.43,249629,0
2015-01-29,16:00:00,24.48,24.51,24.43,24.45,31477,0
2015-01-29,17:00:00,24.45,24.45,24.33,24.34,73351,0
2015-01-29,18:00:00,24.34,24.36,24.29,24.31,71689,0
2015-01-29,19:00:00,24.32,24.36,24.3,24.33,28655,0
2015-01-29,20:00:00,24.35,24.45,24.33,24.43,33489,0
2015-01-29,21:00:00,24.43,24.48,24.41,24.45,83635,0
2015-01-29,22:00:00,24.47,24.54,24.47,24.51,113599,0
2015-01-30,16:00:00,24.11,24.15,24.11,24.14,19711,0
2015-01-30,17:00:00,24.14,24.15,24.03,24.05,61025,0
2015-01-30,18:00:00,24.06,24.07,23.93,23.98,69919,0
2015-01-30,19:00:00,23.98,24.03,23.97,23.98,82088,0
2015-01-30,20:00:00,23.98,24.06,23.96,24.06,30386,0
2015-01-30,21:00:00,24.06,24.17,24.03,24.03,61761,0
2015-01-30,22:00:00,24.05,24.07,23.87,23.89,94073,0
2015-02-02,16:00:00,24.11,24.19,24.11,24.16,111226,0
2015-02-02,17:00:00,24.15,24.17,24.09,24.16,129166,0
2015-02-02,18:00:00,24.17,24.28,24.16,24.25,185749,0
2015-02-02,19:00:00,24.25,24.25,24.16,24.19,785600,0
2015-02-02,20:00:00,24.17,24.23,24.15,24.17,245095,0
2015-02-02,21:00:00,24.17,24.23,24.15,24.19,194362,0
2015-02-02,22:00:00,24.2,24.36,24.19,24.32,318621,0
2015-02-03,16:00:00,24.49,24.56,24.49,24.56,30939,0
2015-02-03,17:00:00,24.56,24.59,24.51,24.56,47378,0
2015-02-03,18:00:00,24.57,24.64,24.56,24.59,121675,0
2015-02-03,19:00:00,24.6,24.6,24.55,24.56,57369,0
2015-02-03,20:00:00,24.56,24.67,24.56,24.65,33627,0
2015-02-03,21:00:00,24.65,24.66,24.57,24.65,91247,0
2015-02-03,22:00:00,24.66,24.71,24.64,24.68,154657,0
2015-02-04,16:00:00,24.65,24.68,24.62,24.68,58513,0
2015-02-04,17:00:00,24.68,24.71,24.64,24.69,53374,0
2015-02-04,18:00:00,24.7,24.76,24.68,24.71,53346,0
2015-02-04,19:00:00,24.71,24.71,24.62,24.63,43115,0
2015-02-04,20:00:00,24.63,24.63,24.6,24.6,39501,0
2015-02-04,21:00:00,24.6,24.62,24.55,24.59,207129,0
2015-02-04,22:00:00,24.57,24.67,24.51,24.52,115698,0
2015-02-05,16:00:00,24.51,24.59,24.51,24.53,26496,0
2015-02-05,17:00:00,24.54,24.69,24.54,24.68,53661,0
2015-02-05,18:00:00,24.66,24.7,24.64,24.68,127464,0
2015-02-05,19:00:00,24.67,24.67,24.65,24.66,36274,0
2015-02-05,20:00:00,24.66,24.7,24.65,24.66,37428,0
2015-02-05,21:00:00,24.66,24.69,24.63,24.65,168227,0
2015-02-05,22:00:00,24.64,24.73,24.64,24.73,127449,0
2015-02-06,16:00:00,24.45,24.48,24.4,24.44,97158,0
2015-02-06,17:00:00,24.43,24.49,24.43,24.46,40951,0
2015-02-06,18:00:00,24.46,24.46,24.42,24.42,57139,0
2015-02-06,19:00:00,24.42,24.44,24.33,24.33,88484,0
2015-02-06,20:00:00,24.36,24.36,24.28,24.33,46916,0
2015-02-06,21:00:00,24.33,24.34,24.3,24.32,55449,0
2015-02-06,22:00:00,24.31,24.35,24.26,24.35,69563,0
2015-02-09,16:00:00,24.27,24.31,24.24,24.31,31840,0
2015-02-09,17:00:00,24.3,24.34,24.26,24.26,34937,0
2015-02-09,18:00:00,24.26,24.33,24.26,24.3,39355,0
2015-02-09,19:00:00,24.28,24.32,24.26,24.28,127056,0
2015-02-09,20:00:00,24.29,24.33,24.29,24.32,25334,0
2015-02-09,21:00:00,24.32,24.35,24.3,24.32,109934,0
2015-02-09,22:00:00,24.32,24.32,24.27,24.31,109991,0
2015-02-10,16:00:00,24.31,24.33,24.2,24.2,49674,0
2015-02-10,17:00:00,24.22,24.24,24.19,24.22,64737,0
2015-02-10,18:00:00,24.21,24.24,24.21,24.24,87535,0
2015-02-10,19:00:00,24.24,24.26,24.22,24.23,63605,0
2015-02-10,20:00:00,24.24,24.24,24.19,24.19,52345,0
2015-02-10,21:00:00,24.19,24.28,24.18,24.28,57735,0
2015-02-10,22:00:00,24.3,24.31,24.26,24.29,64558,0
2015-02-11,16:00:00,24.08,24.1,24.05,24.07,217183,0
2015-02-11,17:00:00,24.07,24.07,24.0,24.01,85303,0
2015-02-11,18:00:00,24.01,24.09,24.01,24.07,48232,0
2015-02-11,19:00:00,24.07,24.08,24.04,24.05,58555,0
2015-02-11,20:00:00,24.05,24.1,24.0,24.09,53708,0
2015-02-11,21:00:00,24.1,24.18,24.09,24.17,59636,0
2015-02-11,22:00:00,24.17,24.23,24.15,24.17,57323,0
2015-02-12,16:00:00,24.44,24.5,24.44,24.48,40742,0
