Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-14,16:00:00,54.135,54.135,54.115,54.115,575,0
2015-01-14,17:00:00,54.135,54.155,54.105,54.105,2549,0
2015-01-14,18:00:00,54.105,54.194,54.105,54.155,9082,0
2015-01-14,19:00:00,54.194,54.204,54.175,54.194,3422,0
2015-01-14,20:00:00,54.145,54.194,54.125,54.194,7716,0
2015-01-14,21:00:00,54.125,54.135,54.005,54.135,24077,0
2015-01-14,22:00:00,54.115,54.165,54.035,54.035,23755,0
2015-01-15,17:00:00,54.175,54.274,54.145,54.155,10682,0
2015-01-15,18:00:00,54.204,54.304,54.194,54.244,8162,0
2015-01-15,19:00:00,54.244,54.364,54.244,54.264,4566,0
2015-01-15,20:00:00,54.294,54.314,54.264,54.294,6709,0
2015-01-15,21:00:00,54.294,54.314,54.294,54.304,1501,0
2015-01-15,22:00:00,54.314,54.404,54.304,54.384,4836,0
2015-01-16,16:00:00,54.304,54.304,54.284,54.284,1638,0
2015-01-16,17:00:00,54.274,54.284,54.155,54.155,2548,0
2015-01-16,18:00:00,54.155,54.155,54.115,54.155,5067,0
2015-01-16,19:00:00,54.165,54.165,54.115,54.115,1222,0
2015-01-16,20:00:00,54.125,54.185,54.125,54.185,5166,0
2015-01-16,21:00:00,54.165,54.214,54.145,54.155,8064,0
2015-01-16,22:00:00,54.125,54.244,54.095,54.105,7848,0
2015-01-20,16:00:00,54.244,54.244,54.244,54.244,7376,0
2015-01-20,17:00:00,54.204,54.274,54.204,54.244,9329,0
2015-01-20,18:00:00,54.264,54.274,54.204,54.234,6808,0
2015-01-20,19:00:00,54.234,54.234,54.194,54.204,3588,0
2015-01-20,20:00:00,54.204,54.204,54.194,54.194,1087,0
2015-01-20,21:00:00,54.194,54.194,54.175,54.175,3831,0
2015-01-20,22:00:00,54.194,54.194,54.115,54.125,4153,0
2015-01-21,16:00:00,54.204,54.204,54.115,54.115,170569,0
2015-01-21,17:00:00,54.125,54.185,54.125,54.185,4735,0
2015-01-21,18:00:00,54.145,54.185,54.085,54.135,9614,0
2015-01-21,19:00:00,54.015,54.055,53.995,54.025,10112,0
2015-01-21,20:00:00,53.995,54.155,53.995,54.155,2848,0
2015-01-21,21:00:00,54.075,54.075,54.035,54.035,6931,0
2015-01-21,22:00:00,53.986,54.025,53.976,53.995,4615,0
2015-01-22,16:00:00,54.185,54.185,54.055,54.055,3752,0
2015-01-22,17:00:00,53.957,53.986,53.957,53.976,1631,0
2015-01-22,18:00:00,53.986,53.995,53.937,53.986,3485,0
2015-01-22,19:00:00,53.976,54.045,53.957,53.986,5710,0
2015-01-22,20:00:00,53.927,53.937,53.897,53.897,9694,0
2015-01-22,21:00:00,53.897,53.917,53.897,53.917,15397,0
2015-01-22,22:00:00,53.907,53.927,53.907,53.917,11460,0
2015-01-23,16:00:00,54.025,54.055,54.015,54.055,4390,0
2015-01-23,17:00:00,54.035,54.105,54.025,54.065,5591,0
2015-01-23,18:00:00,54.075,54.085,54.035,54.045,7646,0
2015-01-23,19:00:00,54.065,54.085,54.055,54.065,3189,0
2015-01-23,20:00:00,54.055,54.075,54.025,54.025,3117,0
2015-01-23,21:00:00,54.045,54.075,54.045,54.075,1502,0
2015-01-23,22:00:00,54.095,54.135,54.065,54.095,4825,0
2015-01-26,16:00:00,54.075,54.075,54.025,54.025,607,0
2015-01-26,17:00:00,54.095,54.095,53.967,54.015,7468,0
2015-01-26,18:00:00,54.005,54.045,53.986,54.035,2736,0
2015-01-26,19:00:00,54.035,54.085,54.035,54.085,2890,0
2015-01-26,20:00:00,54.085,54.115,54.065,54.065,5368,0
2015-01-26,21:00:00,54.015,54.015,53.995,53.995,1412,0
2015-01-26,22:00:00,54.025,54.175,54.015,54.015,42816,0
2015-01-27,16:00:00,54.234,54.234,54.204,54.234,2700,0
2015-01-27,17:00:00,54.224,54.234,54.165,54.234,13116,0
2015-01-27,18:00:00,54.234,54.234,54.185,54.185,2162,0
2015-01-27,19:00:00,54.175,54.175,54.125,54.125,1310,0
2015-01-27,20:00:00,54.115,54.135,54.095,54.115,8718,0
2015-01-27,21:00:00,54.095,54.105,54.065,54.065,2115,0
2015-01-27,22:00:00,54.055,54.085,54.045,54.085,4133,0
2015-01-28,16:00:00,54.065,54.115,54.065,54.105,2581,0
2015-01-28,17:00:00,54.115,54.155,54.115,54.155,1205,0
2015-01-28,18:00:00,54.135,54.155,54.095,54.095,4583,0
2015-01-28,19:00:00,54.115,54.135,54.115,54.135,2011,0
2015-01-28,20:00:00,54.145,54.165,54.145,54.145,2802,0
2015-01-28,21:00:00,54.264,54.274,54.264,54.274,9762,0
2015-01-28,22:00:00,54.433,54.433,54.185,54.185,4542,0
2015-01-29,16:00:00,54.244,54.244,54.244,54.244,1916,0
2015-01-29,17:00:00,54.244,54.244,54.244,54.244,2517,0
2015-01-29,18:00:00,54.254,54.254,54.234,54.254,4649,0
2015-01-29,19:00:00,54.254,54.254,54.214,54.214,1610,0
2015-01-29,20:00:00,54.214,54.224,54.214,54.214,2853,0
2015-01-29,21:00:00,54.214,54.304,54.194,54.234,5303,0
2015-01-29,22:00:00,54.234,54.264,54.214,54.224,8766,0
2015-01-30,16:00:00,54.334,54.443,54.334,54.443,1610,0
2015-01-30,17:00:00,54.443,54.473,54.443,54.463,3681,0
2015-01-30,18:00:00,54.463,54.531,54.463,54.512,6603,0
2015-01-30,19:00:00,54.512,54.522,54.473,54.502,3260,0
2015-01-30,20:00:00,54.483,54.483,54.483,54.483,1520,0
2015-01-30,21:00:00,54.453,54.502,54.384,54.502,3754,0
2015-01-30,22:00:00,54.483,54.512,54.473,54.502,12417,0
2015-02-02,16:00:00,54.486,54.486,54.427,54.477,17937,0
2015-02-02,17:00:00,54.477,54.585,54.477,54.535,6371,0
2015-02-02,18:00:00,54.467,54.496,54.408,54.437,27706,0
2015-02-02,19:00:00,54.417,54.496,54.417,54.486,4918,0
2015-02-02,20:00:00,54.526,54.545,54.496,54.545,89812,0
2015-02-02,21:00:00,54.555,54.565,54.545,54.545,121977,0
2015-02-02,22:00:00,54.545,54.545,54.506,54.506,3710,0
2015-02-03,16:00:00,54.358,54.408,54.328,54.328,1650,0
2015-02-03,17:00:00,54.328,54.338,54.288,54.328,2763,0
2015-02-03,18:00:00,54.348,54.368,54.278,54.328,5536,0
2015-02-03,19:00:00,54.298,54.358,54.298,54.348,5879,0
2015-02-03,20:00:00,54.278,54.298,54.228,54.228,1630,0
2015-02-03,21:00:00,54.268,54.268,54.248,54.268,2756,0
2015-02-03,22:00:00,54.248,54.258,54.208,54.218,6672,0
2015-02-04,17:00:00,54.109,54.119,54.109,54.119,787,0
2015-02-04,18:00:00,54.129,54.139,54.109,54.129,4318,0
2015-02-04,19:00:00,54.129,54.179,54.099,54.149,4327,0
2015-02-04,20:00:00,54.139,54.179,54.139,54.179,11094,0
2015-02-04,21:00:00,54.179,54.258,54.179,54.198,3543,0
2015-02-04,22:00:00,54.238,54.278,54.189,54.278,3501,0
2015-02-05,16:00:00,54.228,54.228,54.149,54.189,2161,0
2015-02-05,17:00:00,54.139,54.179,54.139,54.149,8155,0
2015-02-05,18:00:00,54.179,54.179,54.129,54.179,7818,0
2015-02-05,19:00:00,54.189,54.238,54.189,54.238,905,0
2015-02-05,20:00:00,54.208,54.208,54.169,54.189,1746,0
2015-02-05,21:00:00,54.169,54.189,54.169,54.179,2781,0
2015-02-05,22:00:00,54.139,54.169,54.139,54.159,7737,0
2015-02-06,16:00:00,53.89,53.89,53.89,53.89,2375,0
2015-02-06,17:00:00,53.89,53.89,53.8,53.87,4657,0
2015-02-06,18:00:00,53.761,53.8,53.751,53.78,3056,0
2015-02-06,19:00:00,53.81,53.81,53.751,53.771,5542,0
