Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,66.36,66.36,66.32,66.32,200,0
2014-08-12,17:00:00,66.36,66.36,66.36,66.36,25,0
2014-08-12,18:00:00,66.24,66.24,66.24,66.24,200,0
2014-08-12,19:00:00,66.2,66.2,66.2,66.2,25,0
2014-08-12,20:00:00,66.04,66.04,66.04,66.04,50,0
2014-08-12,21:00:00,66.64,66.64,66.64,66.64,75,0
2014-08-13,18:00:00,66.4,66.4,65.96,65.96,1330,0
2014-08-13,19:00:00,65.88,65.88,65.88,65.88,1706,0
2014-08-14,16:00:00,65.68,65.68,65.68,65.68,250,0
2014-08-14,17:00:00,65.44,65.44,65.04,65.04,275,0
2014-08-14,18:00:00,65.16,65.16,64.92,64.92,250,0
2014-08-14,19:00:00,64.88,64.96,64.8,64.96,275,0
2014-08-14,20:00:00,64.96,64.96,64.84,64.84,125,0
2014-08-14,21:00:00,64.8,64.8,64.76,64.76,175,0
2014-08-14,22:00:00,64.72,64.8,64.44,64.44,605,0
2014-08-15,16:00:00,64.04,64.08,63.64,63.68,275,0
2014-08-15,17:00:00,63.68,64.4,63.68,63.68,150,0
2014-08-15,18:00:00,64.52,64.76,64.28,64.6,405,0
2014-08-15,20:00:00,64.32,64.32,64.32,64.32,50,0
2014-08-15,21:00:00,64.6,64.6,64.6,64.6,50,0
2014-08-15,22:00:00,64.32,64.44,64.32,64.36,76,0
2014-08-18,17:00:00,64.2,64.2,64,64,75,0
2014-08-18,18:00:00,63.8,64.04,63.8,64.04,100,0
2014-08-18,19:00:00,63.96,63.96,63.92,63.92,100,0
2014-08-18,20:00:00,64.24,64.24,64.24,64.24,72,0
2014-08-18,22:00:00,64.48,64.48,64.48,64.48,75,0
2014-08-19,16:00:00,64.68,64.68,63.52,63.52,191,0
2014-08-19,17:00:00,63.96,63.96,63.84,63.84,150,0
2014-08-19,18:00:00,63.44,63.44,63.44,63.44,25,0
2014-08-19,19:00:00,62.92,63.24,62.92,63.16,278,0
2014-08-19,20:00:00,63.12,63.12,63.12,63.12,160,0
2014-08-20,20:00:00,62.8,62.88,62.8,62.8,188,0
2014-08-20,22:00:00,62.48,62.48,62.48,62.48,25,0
2014-08-21,16:00:00,62.04,62.12,61.84,61.84,125,0
2014-08-21,17:00:00,61.6,62.52,61.6,61.92,225,0
2014-08-21,19:00:00,62.4,62.4,62.4,62.4,50,0
2014-08-21,20:00:00,62.04,62.2,62.04,62.04,200,0
2014-08-21,21:00:00,62.2,62.2,62.2,62.2,275,0
2014-08-21,22:00:00,62.2,62.2,62,62.2,100,0
2014-08-22,17:00:00,62.04,63.04,62.04,62.76,450,0
2014-08-22,18:00:00,62.84,62.84,62.56,62.64,606,0
2014-08-22,19:00:00,62.68,62.68,62.28,62.4,440,0
2014-08-22,20:00:00,62.32,62.32,62.2,62.2,1043,0
2014-08-22,21:00:00,62.32,62.4,62.16,62.36,1169,0
2014-08-25,16:00:00,62.08,62.2,61.96,61.96,524,0
2014-08-25,17:00:00,62,62,61.84,61.84,130,0
2014-08-25,18:00:00,61.32,61.32,61.28,61.28,600,0
2014-08-25,22:00:00,61.68,61.76,61.68,61.68,275,0
2014-08-26,16:00:00,61.4,61.4,61.2,61.2,625,0
2014-08-26,19:00:00,62.16,62.16,62.16,62.16,25,0
2014-08-26,21:00:00,63,63.04,63,63.04,675,0
2014-08-26,22:00:00,62.76,63.24,62.76,63.24,400,0
2014-08-27,16:00:00,62.56,62.56,62.4,62.4,118,0
2014-08-27,17:00:00,62.44,62.6,62.4,62.4,1617,0
2014-08-27,18:00:00,62.4,62.4,62.2,62.2,100,0
2014-08-27,22:00:00,62.2,62.2,62.2,62.2,625,0
2014-08-28,16:00:00,61.92,61.92,61.52,61.52,250,0
2014-08-28,17:00:00,61.32,61.36,61.04,61.04,1275,0
2014-08-28,18:00:00,61.4,61.4,61.4,61.4,375,0
2014-08-29,17:00:00,60.88,60.96,60.88,60.96,325,0
2014-08-29,21:00:00,60.4,60.4,60.12,60.12,794,0
2014-08-29,22:00:00,60.04,60.04,60.04,60.04,625,0
2014-09-02,16:00:00,60.2,60.2,60,60,465,0
2014-09-02,17:00:00,60.28,60.96,60.28,60.96,2439,0
2014-09-02,18:00:00,61,61.52,61,61.52,75,0
2014-09-02,21:00:00,61.4,61.56,61.4,61.4,350,0
2014-09-02,22:00:00,61.2,61.4,60.96,60.96,11764,0
2014-09-03,17:00:00,60.2,60.2,60.08,60.08,150,0
2014-09-03,19:00:00,60.24,60.24,60.24,60.24,25,0
2014-09-03,20:00:00,60.48,60.48,60.48,60.48,50,0
2014-09-03,22:00:00,60.68,60.68,60.68,60.68,36,0
2014-09-04,17:00:00,61.24,61.24,60.6,60.72,239,0
2014-09-04,20:00:00,60.52,60.64,60.4,60.56,750,0
2014-09-04,21:00:00,60.68,60.68,60.56,60.64,300,0
2014-09-05,16:00:00,60.4,60.44,60.4,60.44,738,0
2014-09-05,17:00:00,59.96,59.96,59.96,59.96,50,0
2014-09-05,18:00:00,59.96,59.96,59.68,59.68,500,0
2014-09-05,19:00:00,59.52,59.52,59.52,59.52,125,0
2014-09-05,21:00:00,59.4,59.4,59.4,59.4,150,0
2014-09-08,16:00:00,59.92,59.92,59.4,59.72,634,0
2014-09-08,18:00:00,59.56,59.56,59.56,59.56,25,0
2014-09-08,20:00:00,60.36,60.36,60.12,60.36,500,0
2014-09-08,21:00:00,60.24,60.24,60.24,60.24,100,0
2014-09-09,17:00:00,60.92,60.92,60.72,60.8,1250,0
2014-09-09,18:00:00,60.8,60.84,60.8,60.84,3949,0
2014-09-09,19:00:00,60.72,60.8,60.6,60.64,6454,0
2014-09-09,20:00:00,60.8,60.8,60.8,60.8,200,0
2014-09-09,22:00:00,61.28,61.32,61.12,61.32,475,0
2014-09-10,16:00:00,61.8,61.88,61.8,61.88,850,0
2014-09-10,17:00:00,62.08,62.08,61.8,62.08,4550,0
2014-09-10,18:00:00,62,62,61.96,61.96,165,0
2014-09-10,21:00:00,61.92,61.92,61.92,61.92,50,0
2014-09-10,22:00:00,61.72,61.72,61.68,61.68,200,0
2014-09-11,16:00:00,61.36,61.48,61.36,61.48,536,0
2014-09-11,18:00:00,61.48,61.48,60.88,61.08,2500,0
2014-09-11,19:00:00,61.24,61.24,60.92,60.92,75,0
2014-09-11,20:00:00,60.8,60.8,60.48,60.48,150,0
2014-09-11,21:00:00,60.56,60.8,60.48,60.8,507,0
2014-09-12,16:00:00,61.76,61.76,61.68,61.68,600,0
2014-09-12,17:00:00,61.56,61.6,61.56,61.6,75,0
2014-09-12,20:00:00,62.4,62.84,62.4,62.76,403,0
2014-09-12,21:00:00,62.84,63.16,62.52,63.16,1478,0
2014-09-12,22:00:00,63.24,63.24,62.72,62.72,450,0
2014-09-15,16:00:00,62.72,62.72,62.24,62.4,1400,0
2014-09-15,17:00:00,62.72,62.72,62.2,62.52,325,0
2014-09-15,18:00:00,62.28,62.88,62.28,62.88,768,0
2014-09-15,19:00:00,63.04,63.04,63.04,63.04,25,0
2014-09-15,20:00:00,63.08,63.08,62.36,62.56,350,0
2014-09-15,21:00:00,62.56,62.76,62.56,62.64,150,0
2014-09-15,22:00:00,62.52,62.72,62.24,62.68,2384,0
2014-09-16,16:00:00,61.96,61.96,61.96,61.96,150,0
2014-09-16,17:00:00,61.88,61.88,61.8,61.8,79,0
2014-09-16,18:00:00,61.6,61.6,61.12,61.12,75,0
2014-09-16,19:00:00,60.88,61.16,60.72,60.72,823,0
2014-09-16,20:00:00,60.84,60.88,60.84,60.84,428,0
