Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,110.26,110.27,110.26,110.27,2136,0
2015-01-15,17:00:00,110.26,110.27,110.26,110.27,523174,0
2015-01-15,18:00:00,110.27,110.27,110.26,110.26,991091,0
2015-01-15,19:00:00,110.27,110.27,110.26,110.26,46227,0
2015-01-15,20:00:00,110.27,110.27,110.26,110.27,143167,0
2015-01-15,21:00:00,110.27,110.28,110.26,110.27,411716,0
2015-01-15,22:00:00,110.28,110.28,110.27,110.27,209013,0
2015-01-16,16:00:00,110.27,110.28,110.27,110.28,18351,0
2015-01-16,17:00:00,110.28,110.28,110.27,110.27,13931,0
2015-01-16,18:00:00,110.27,110.28,110.27,110.28,39974,0
2015-01-16,19:00:00,110.27,110.28,110.27,110.27,21322,0
2015-01-16,20:00:00,110.28,110.28,110.27,110.28,170750,0
2015-01-16,21:00:00,110.27,110.28,110.26,110.26,6903506,0
2015-01-16,22:00:00,110.27,110.28,110.26,110.27,129685,0
2015-01-20,16:00:00,110.27,110.27,110.26,110.27,11784,0
2015-01-20,17:00:00,110.27,110.27,110.26,110.27,179178,0
2015-01-20,18:00:00,110.27,110.27,110.26,110.27,867344,0
2015-01-20,19:00:00,110.27,110.27,110.26,110.27,1257071,0
2015-01-20,20:00:00,110.27,110.28,110.26,110.28,1372675,0
2015-01-20,21:00:00,110.28,110.28,110.27,110.28,818170,0
2015-01-20,22:00:00,110.28,110.28,110.26,110.27,1655715,0
2015-01-21,16:00:00,110.27,110.27,110.26,110.27,15149,0
2015-01-21,17:00:00,110.26,110.27,110.26,110.27,21569,0
2015-01-21,18:00:00,110.27,110.27,110.26,110.27,30054,0
2015-01-21,19:00:00,110.26,110.27,110.26,110.27,24910,0
2015-01-21,20:00:00,110.26,110.27,110.26,110.27,1068268,0
2015-01-21,21:00:00,110.27,110.27,110.26,110.27,1084713,0
2015-01-21,22:00:00,110.27,110.27,110.26,110.26,128879,0
2015-01-22,16:00:00,110.26,110.27,110.26,110.27,50236,0
2015-01-22,17:00:00,110.27,110.27,110.26,110.27,32667,0
2015-01-22,18:00:00,110.27,110.27,110.26,110.26,34628,0
2015-01-22,19:00:00,110.27,110.27,110.26,110.26,45231,0
2015-01-22,20:00:00,110.27,110.27,110.26,110.27,68656,0
2015-01-22,21:00:00,110.27,110.27,110.26,110.27,62397,0
2015-01-22,22:00:00,110.27,110.27,110.26,110.27,51774,0
2015-01-23,16:00:00,110.27,110.27,110.26,110.26,41242,0
2015-01-23,17:00:00,110.26,110.27,110.26,110.27,33108,0
2015-01-23,18:00:00,110.26,110.27,110.26,110.26,51278,0
2015-01-23,19:00:00,110.26,110.27,110.26,110.26,32569,0
2015-01-23,20:00:00,110.26,110.27,110.26,110.26,73360,0
2015-01-23,21:00:00,110.27,110.27,110.26,110.26,45580,0
2015-01-23,22:00:00,110.26,110.27,110.26,110.26,102185,0
2015-01-26,16:00:00,110.25,110.26,110.25,110.26,91296,0
2015-01-26,17:00:00,110.26,110.26,110.25,110.25,66184,0
2015-01-26,18:00:00,110.26,110.26,110.25,110.25,131349,0
2015-01-26,19:00:00,110.25,110.26,110.25,110.26,35890,0
2015-01-26,20:00:00,110.25,110.27,110.25,110.26,828310,0
2015-01-26,21:00:00,110.26,110.26,110.25,110.25,722841,0
2015-01-26,22:00:00,110.26,110.26,110.25,110.26,300019,0
2015-01-27,16:00:00,110.26,110.26,110.25,110.26,372678,0
2015-01-27,17:00:00,110.26,110.26,110.25,110.26,28717,0
2015-01-27,18:00:00,110.26,110.26,110.25,110.26,239233,0
2015-01-27,19:00:00,110.26,110.26,110.25,110.25,37067,0
2015-01-27,20:00:00,110.26,110.26,110.25,110.25,58806,0
2015-01-27,21:00:00,110.26,110.26,110.25,110.26,66757,0
2015-01-27,22:00:00,110.26,110.26,110.25,110.26,60758,0
2015-01-28,16:00:00,110.26,110.26,110.25,110.25,27880,0
2015-01-28,17:00:00,110.25,110.26,110.25,110.25,20592,0
2015-01-28,18:00:00,110.25,110.26,110.25,110.26,11980,0
2015-01-28,19:00:00,110.26,110.26,110.25,110.26,36069,0
2015-01-28,20:00:00,110.25,110.26,110.25,110.26,53928,0
2015-01-28,21:00:00,110.25,110.26,110.25,110.25,28569,0
2015-01-28,22:00:00,110.26,110.26,110.25,110.25,103934,0
2015-01-29,16:00:00,110.26,110.26,110.25,110.26,17779,0
2015-01-29,17:00:00,110.26,110.27,110.25,110.26,142105,0
2015-01-29,18:00:00,110.26,110.27,110.26,110.26,17408,0
2015-01-29,19:00:00,110.26,110.27,110.26,110.27,38571,0
2015-01-29,20:00:00,110.26,110.27,110.26,110.26,70543,0
2015-01-29,21:00:00,110.26,110.27,110.26,110.26,29971,0
2015-01-29,22:00:00,110.26,110.28,110.26,110.28,83987,0
2015-01-30,16:00:00,110.27,110.28,110.27,110.28,47921,0
2015-01-30,17:00:00,110.28,110.28,110.27,110.28,23584,0
2015-01-30,18:00:00,110.27,110.28,110.27,110.28,13712,0
2015-01-30,19:00:00,110.27,110.28,110.27,110.27,37624,0
2015-01-30,20:00:00,110.27,110.28,110.27,110.27,56537,0
2015-01-30,21:00:00,110.27,110.28,110.26,110.26,39769,0
2015-01-30,22:00:00,110.27,110.28,110.26,110.28,97085,0
2015-02-02,16:00:00,110.27,110.28,110.27,110.28,216159,0
2015-02-02,17:00:00,110.27,110.28,110.27,110.28,398105,0
2015-02-02,18:00:00,110.27,110.28,110.27,110.28,316846,0
2015-02-02,19:00:00,110.28,110.28,110.27,110.28,1494031,0
2015-02-02,20:00:00,110.28,110.28,110.27,110.28,1714596,0
2015-02-02,21:00:00,110.27,110.29,110.27,110.29,367130,0
2015-02-02,22:00:00,110.29,110.29,110.28,110.29,1180680,0
2015-02-03,16:00:00,110.27,110.28,110.27,110.27,25168,0
2015-02-03,17:00:00,110.27,110.28,110.27,110.28,202870,0
2015-02-03,18:00:00,110.28,110.28,110.27,110.28,71960,0
2015-02-03,19:00:00,110.27,110.28,110.27,110.28,187198,0
2015-02-03,20:00:00,110.28,110.28,110.27,110.27,98107,0
2015-02-03,21:00:00,110.27,110.28,110.27,110.28,1787753,0
2015-02-03,22:00:00,110.28,110.29,110.27,110.29,252058,0
2015-02-04,16:00:00,110.28,110.29,110.28,110.28,22110,0
2015-02-04,17:00:00,110.28,110.29,110.28,110.28,28561,0
2015-02-04,18:00:00,110.29,110.29,110.28,110.28,100640,0
2015-02-04,19:00:00,110.28,110.29,110.28,110.29,9958,0
2015-02-04,20:00:00,110.28,110.29,110.27,110.28,234558,0
2015-02-04,21:00:00,110.27,110.29,110.27,110.28,113316,0
2015-02-04,22:00:00,110.28,110.29,110.27,110.28,92778,0
2015-02-05,16:00:00,110.27,110.29,110.27,110.27,46453,0
2015-02-05,17:00:00,110.28,110.29,110.27,110.28,94705,0
2015-02-05,18:00:00,110.28,110.28,110.27,110.27,15693,0
2015-02-05,19:00:00,110.27,110.28,110.27,110.27,12644,0
2015-02-05,20:00:00,110.28,110.28,110.27,110.27,67488,0
2015-02-05,21:00:00,110.27,110.28,110.27,110.28,51594,0
2015-02-05,22:00:00,110.28,110.28,110.27,110.27,61103,0
2015-02-06,16:00:00,110.27,110.28,110.27,110.28,14013,0
2015-02-06,17:00:00,110.27,110.28,110.27,110.27,27418,0
2015-02-06,18:00:00,110.28,110.28,110.27,110.27,65765,0
2015-02-06,19:00:00,110.28,110.28,110.27,110.28,88255,0
2015-02-06,20:00:00,110.27,110.28,110.27,110.27,65817,0
2015-02-06,21:00:00,110.27,110.28,110.27,110.27,60403,0
2015-02-06,22:00:00,110.27,110.28,110.26,110.27,125751,0
2015-02-09,16:00:00,110.27,110.28,110.26,110.28,72767,0
2015-02-09,17:00:00,110.28,110.28,110.26,110.27,53964,0
2015-02-09,18:00:00,110.27,110.28,110.26,110.27,2807337,0
2015-02-09,19:00:00,110.27,110.27,110.26,110.27,62690,0
2015-02-09,20:00:00,110.27,110.27,110.26,110.27,498573,0
2015-02-09,21:00:00,110.27,110.27,110.26,110.27,217701,0
2015-02-09,22:00:00,110.26,110.27,110.26,110.27,591698,0
2015-02-10,16:00:00,110.27,110.27,110.26,110.27,5739,0
2015-02-10,17:00:00,110.27,110.27,110.26,110.26,405600,0
2015-02-10,18:00:00,110.27,110.27,110.26,110.26,180714,0
2015-02-10,19:00:00,110.26,110.27,110.26,110.26,264851,0
2015-02-10,20:00:00,110.26,110.27,110.26,110.27,138326,0
2015-02-10,21:00:00,110.26,110.27,110.26,110.27,378899,0
2015-02-10,22:00:00,110.27,110.27,110.26,110.26,354908,0
2015-02-11,16:00:00,110.26,110.27,110.26,110.26,80680,0
2015-02-11,17:00:00,110.27,110.27,110.26,110.26,48598,0
2015-02-11,18:00:00,110.26,110.27,110.26,110.27,37440,0
2015-02-11,19:00:00,110.27,110.27,110.26,110.27,158766,0
2015-02-11,20:00:00,110.26,110.27,110.26,110.26,136073,0
2015-02-11,21:00:00,110.26,110.27,110.26,110.27,121907,0
2015-02-11,22:00:00,110.27,110.27,110.26,110.26,271182,0
2015-02-12,16:00:00,110.27,110.27,110.26,110.27,4028,0
2015-02-12,17:00:00,110.26,110.27,110.26,110.27,78160,0
2015-02-12,18:00:00,110.26,110.27,110.26,110.27,104373,0
2015-02-12,19:00:00,110.27,110.27,110.26,110.27,151209,0
2015-02-12,20:00:00,110.26,110.27,110.26,110.27,152508,0
2015-02-12,21:00:00,110.26,110.27,110.26,110.27,160533,0
2015-02-12,22:00:00,110.26,110.27,110.26,110.26,120986,0
2015-02-13,16:00:00,110.27,110.27,110.26,110.26,7293,0
2015-02-13,17:00:00,110.26,110.27,110.26,110.26,56448,0
2015-02-13,18:00:00,110.26,110.27,110.26,110.27,91832,0
2015-02-13,19:00:00,110.27,110.27,110.26,110.27,201835,0
2015-02-13,20:00:00,110.26,110.27,110.26,110.27,240000,0
2015-02-13,21:00:00,110.26,110.27,110.26,110.27,126992,0
2015-02-13,22:00:00,110.26,110.27,110.26,110.27,137231,0
2015-02-17,16:00:00,110.26,110.27,110.26,110.27,24264,0
2015-02-17,17:00:00,110.26,110.27,110.26,110.26,194987,0
2015-02-17,18:00:00,110.27,110.28,110.26,110.27,1877408,0
2015-02-17,19:00:00,110.27,110.28,110.26,110.27,284482,0
2015-02-17,20:00:00,110.28,110.28,110.27,110.27,449958,0
2015-02-17,21:00:00,110.28,110.28,110.27,110.28,1972724,0
2015-02-17,22:00:00,110.28,110.28,110.27,110.28,1078169,0
2015-02-18,16:00:00,110.27,110.29,110.27,110.29,7220,0
2015-02-18,17:00:00,110.27,110.29,110.27,110.28,142001,0
2015-02-18,18:00:00,110.28,110.29,110.27,110.29,38481,0
2015-02-18,19:00:00,110.29,110.29,110.27,110.28,65930,0
2015-02-18,20:00:00,110.28,110.29,110.28,110.29,65038,0
2015-02-18,21:00:00,110.29,110.29,110.28,110.28,124627,0
2015-02-18,22:00:00,110.29,110.29,110.28,110.29,90545,0
2015-02-19,16:00:00,110.29,110.29,110.28,110.28,49284,0
2015-02-19,17:00:00,110.29,110.29,110.28,110.28,49086,0
2015-02-19,18:00:00,110.28,110.29,110.28,110.28,60891,0
2015-02-19,19:00:00,110.29,110.29,110.28,110.28,30890,0
2015-02-19,20:00:00,110.28,110.29,110.28,110.28,83841,0
2015-02-19,21:00:00,110.29,110.29,110.28,110.28,158691,0
2015-02-19,22:00:00,110.28,110.29,110.28,110.29,251873,0
2015-02-20,16:00:00,110.29,110.29,110.27,110.28,31644,0
2015-02-20,17:00:00,110.27,110.29,110.27,110.29,35795,0
2015-02-20,18:00:00,110.29,110.29,110.28,110.28,355729,0
2015-02-20,19:00:00,110.28,110.29,110.28,110.28,79406,0
2015-02-20,20:00:00,110.29,110.29,110.28,110.28,93916,0
2015-02-20,21:00:00,110.29,110.29,110.28,110.28,124235,0
2015-02-20,22:00:00,110.28,110.29,110.28,110.28,49955,0
2015-02-23,16:00:00,110.29,110.29,110.28,110.29,14436,0
2015-02-23,17:00:00,110.28,110.29,110.27,110.28,40689,0
2015-02-23,18:00:00,110.29,110.29,110.28,110.29,72747,0
2015-02-23,19:00:00,110.28,110.29,110.28,110.28,11970,0
2015-02-23,20:00:00,110.28,110.29,110.28,110.28,206927,0
2015-02-23,21:00:00,110.29,110.29,110.27,110.29,184282,0
2015-02-23,22:00:00,110.27,110.29,110.27,110.27,127690,0
2015-02-24,16:00:00,110.27,110.28,110.27,110.28,15869,0
2015-02-24,17:00:00,110.28,110.28,110.27,110.28,49024,0
2015-02-24,18:00:00,110.28,110.28,110.27,110.28,78040,0
2015-02-24,19:00:00,110.27,110.28,110.27,110.28,35083,0
2015-02-24,20:00:00,110.27,110.28,110.27,110.28,112974,0
2015-02-24,21:00:00,110.28,110.28,110.27,110.28,87961,0
2015-02-24,22:00:00,110.28,110.28,110.27,110.28,110123,0
2015-02-25,16:00:00,110.27,110.28,110.27,110.27,16892,0
2015-02-25,17:00:00,110.28,110.28,110.27,110.27,151454,0
2015-02-25,18:00:00,110.27,110.28,110.27,110.27,134293,0
2015-02-25,19:00:00,110.27,110.28,110.27,110.27,125874,0
2015-02-25,20:00:00,110.28,110.28,110.27,110.27,125506,0
2015-02-25,21:00:00,110.27,110.28,110.27,110.27,85655,0
2015-02-25,22:00:00,110.28,110.28,110.27,110.27,48056,0
2015-02-26,16:00:00,110.27,110.28,110.27,110.27,26374,0
2015-02-26,17:00:00,110.27,110.28,110.27,110.28,59212,0
2015-02-26,18:00:00,110.27,110.28,110.27,110.28,101460,0
2015-02-26,19:00:00,110.28,110.28,110.27,110.27,42413,0
2015-02-26,20:00:00,110.27,110.28,110.27,110.27,59463,0
2015-02-26,21:00:00,110.27,110.28,110.27,110.27,151238,0
2015-02-26,22:00:00,110.27,110.28,110.27,110.27,77088,0
2015-02-27,16:00:00,110.28,110.28,110.27,110.27,57703,0
2015-02-27,17:00:00,110.28,110.28,110.27,110.27,45551,0
2015-02-27,18:00:00,110.28,110.28,110.27,110.27,44431,0
2015-02-27,19:00:00,110.27,110.28,110.27,110.27,16837,0
2015-02-27,20:00:00,110.28,110.28,110.27,110.28,86493,0
2015-02-27,21:00:00,110.27,110.28,110.27,110.28,152822,0
2015-02-27,22:00:00,110.27,110.28,110.27,110.28,127925,0
2015-03-02,16:00:00,110.27,110.28,110.27,110.27,1726638,0
2015-03-02,17:00:00,110.28,110.28,110.26,110.26,126339,0
2015-03-02,18:00:00,110.26,110.27,110.26,110.26,1167887,0
2015-03-02,19:00:00,110.26,110.27,110.26,110.26,727405,0
2015-03-02,20:00:00,110.26,110.27,110.26,110.26,1328188,0
2015-03-02,21:00:00,110.27,110.27,110.26,110.26,91982,0
2015-03-02,22:00:00,110.26,110.27,110.26,110.27,550540,0
2015-03-03,16:00:00,110.27,110.27,110.26,110.265,27213,0
2015-03-03,17:00:00,110.26,110.27,110.26,110.26,56765,0
2015-03-03,18:00:00,110.26,110.27,110.26,110.265,117102,0
2015-03-03,19:00:00,110.26,110.27,110.26,110.265,37480,0
2015-03-03,20:00:00,110.26,110.27,110.26,110.26,68888,0
2015-03-03,21:00:00,110.26,110.27,110.26,110.26,244321,0
2015-03-03,22:00:00,110.2699,110.27,110.26,110.26,81798,0
2015-03-04,16:00:00,110.26,110.27,110.26,110.26,17845,0
2015-03-04,17:00:00,110.26,110.27,110.26,110.2652,180775,0
2015-03-04,18:00:00,110.267,110.27,110.26,110.26,47424,0
2015-03-04,19:00:00,110.2699,110.27,110.26,110.2601,3922,0
2015-03-04,20:00:00,110.2667,110.27,110.26,110.26,155016,0
2015-03-04,21:00:00,110.2603,110.27,110.26,110.2651,51474,0
2015-03-04,22:00:00,110.261,110.28,110.26,110.28,196634,0
2015-03-05,16:00:00,110.28,110.28,110.26,110.2624,21698,0
2015-03-05,17:00:00,110.27,110.27,110.26,110.265,23890,0
2015-03-05,18:00:00,110.265,110.27,110.26,110.2659,73763,0
2015-03-05,19:00:00,110.2698,110.27,110.26,110.2627,21081,0
2015-03-05,20:00:00,110.265,110.27,110.26,110.265,38581,0
2015-03-05,21:00:00,110.265,110.27,110.26,110.265,56902,0
2015-03-05,22:00:00,110.261,110.27,110.26,110.26,91405,0
2015-03-06,16:00:00,110.26,110.269,110.26,110.26,35071,0
2015-03-06,17:00:00,110.27,110.27,110.26,110.27,35703,0
2015-03-06,18:00:00,110.27,110.27,110.26,110.2602,84003,0
2015-03-06,19:00:00,110.26,110.27,110.26,110.265,33308,0
2015-03-06,20:00:00,110.265,110.27,110.26,110.265,32197,0
2015-03-06,21:00:00,110.26,110.27,110.26,110.2638,29505,0
2015-03-06,22:00:00,110.26,110.27,110.26,110.27,90481,0
2015-03-09,15:00:00,110.27,110.27,110.26,110.2699,62840,0
2015-03-09,16:00:00,110.26,110.27,110.26,110.26,88893,0
2015-03-09,17:00:00,110.2628,110.27,110.26,110.26,119754,0
2015-03-09,18:00:00,110.2628,110.27,110.26,110.26,18743,0
2015-03-09,19:00:00,110.27,110.27,110.26,110.26,485515,0
2015-03-09,20:00:00,110.261,110.27,110.26,110.2601,69933,0
2015-03-09,21:00:00,110.26,110.27,110.26,110.26,96036,0
2015-03-10,15:00:00,110.27,110.27,110.26,110.26,54530,0
2015-03-10,16:00:00,110.26,110.27,110.26,110.26,76204,0
2015-03-10,17:00:00,110.26,110.27,110.26,110.26,645879,0
2015-03-10,18:00:00,110.26,110.27,110.26,110.26,243850,0
2015-03-10,19:00:00,110.26,110.27,110.26,110.26,58215,0
2015-03-10,20:00:00,110.2601,110.27,110.26,110.265,256096,0
2015-03-10,21:00:00,110.2612,110.27,110.26,110.27,456802,0
