Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-21,17:00:00,9.3629,9.539,9.3629,9.539,1229,0
2014-11-21,18:00:00,9.539,9.539,9.3434,9.3434,7014,0
2014-11-21,20:00:00,9.3531,9.3531,9.2359,9.2359,3542,0
2014-11-21,21:00:00,9.275,9.275,9.275,9.275,205,0
2014-11-21,22:00:00,9.4117,9.4214,9.3434,9.3434,1178,0
2014-11-24,16:00:00,9.3238,9.3238,9.2457,9.2457,2565,0
2014-11-24,17:00:00,9.3629,9.3726,9.3629,9.3726,2970,0
2014-11-24,20:00:00,9.2359,9.2359,9.2359,9.2359,447,0
2014-11-24,21:00:00,9.2262,9.2262,9.148,9.148,3070,0
2014-11-24,22:00:00,9.1871,9.2554,8.8845,8.8845,9115,0
2014-11-25,16:00:00,9.3726,9.3726,9.314,9.3629,1024,0
2014-11-25,17:00:00,9.3336,9.4214,9.3238,9.3824,6734,0
2014-11-25,18:00:00,9.3824,9.3824,9.3824,9.3824,8573,0
2014-11-25,21:00:00,9.3531,9.4214,9.3531,9.4019,3974,0
2014-11-25,22:00:00,9.4698,9.519,9.4214,9.519,3325,0
2014-11-26,16:00:00,9.519,9.519,9.4609,9.4609,820,0
2014-11-26,17:00:00,9.4698,9.4698,9.4409,9.4409,2970,0
2014-11-26,18:00:00,9.3824,9.4312,9.3824,9.4312,4046,0
2014-11-26,22:00:00,9.4117,9.4117,9.3726,9.4117,2151,0
2014-11-28,16:00:00,8.943,8.943,8.8064,8.8552,10417,0
2014-11-28,17:00:00,8.8162,8.8162,8.7282,8.7575,14335,0
2014-11-28,18:00:00,8.7087,8.738,8.6795,8.6795,5326,0
2014-11-28,19:00:00,8.6892,8.6892,8.5915,8.6013,17830,0
2014-12-01,17:00:00,8.8064,8.8552,8.7868,8.8552,5326,0
2014-12-01,18:00:00,8.7868,8.8845,8.7478,8.8845,4148,0
2014-12-01,19:00:00,8.904,9.109,8.904,9.109,5534,0
2014-12-01,20:00:00,9.1285,9.1285,9.0602,9.0602,1127,0
2014-12-01,21:00:00,8.9821,9.0992,8.9821,9.0992,1127,0
2014-12-01,22:00:00,9.0992,9.0992,9.0895,9.0992,973,0
2014-12-02,17:00:00,8.9332,8.9332,8.9332,8.9332,4466,0
2014-12-02,18:00:00,8.8649,8.9235,8.8649,8.9235,1874,0
2014-12-02,19:00:00,8.8649,8.8649,8.8649,8.8649,2049,0
2014-12-02,20:00:00,8.9235,8.9235,8.7965,8.7965,3176,0
2014-12-02,21:00:00,8.777,8.7868,8.6502,8.7868,758,0
2014-12-02,22:00:00,8.699,8.699,8.6404,8.6404,1742,0
2014-12-03,16:00:00,8.9528,8.9528,8.9528,8.9528,1024,0
2014-12-03,17:00:00,8.9332,9.07,8.9332,9.07,2270,0
2014-12-03,20:00:00,9.0212,9.0504,9.0212,9.0504,823,0
2014-12-03,21:00:00,9.0407,9.0407,8.9528,8.9528,584,0
2014-12-03,22:00:00,8.9625,8.9625,8.943,8.9625,2108,0
2014-12-04,16:00:00,8.8552,8.8552,8.8552,8.8552,205,0
2014-12-04,17:00:00,8.9137,8.9137,8.8942,8.8942,3004,0
2014-12-04,18:00:00,8.8454,8.8454,8.8454,8.8454,1374,0
2014-12-04,19:00:00,8.8454,8.8454,8.7575,8.7575,8193,0
2014-12-04,21:00:00,8.8162,8.8162,8.7282,8.7282,2565,0
2014-12-04,22:00:00,8.7478,8.7575,8.6892,8.6892,6249,0
2014-12-05,16:00:00,8.6307,8.6307,8.6307,8.6307,6558,0
2014-12-05,17:00:00,8.5818,8.6795,8.5232,8.572,4200,0
2014-12-05,18:00:00,8.6892,8.6892,8.6892,8.6892,2539,0
2014-12-05,19:00:00,8.7965,8.8064,8.777,8.7868,5327,0
2014-12-05,20:00:00,8.699,8.699,8.5915,8.5915,737,0
2014-12-05,21:00:00,8.738,8.7575,8.6795,8.6795,1485,0
2014-12-05,22:00:00,8.6795,8.6795,8.6599,8.6599,1639,0
2014-12-08,16:00:00,8.6599,8.699,8.6502,8.6502,2936,0
2014-12-08,17:00:00,8.6013,8.6013,8.5915,8.5915,32936,0
2014-12-08,19:00:00,8.406,8.406,8.406,8.406,1430,0
2014-12-08,20:00:00,8.4256,8.4256,8.4256,8.4256,307,0
2014-12-08,21:00:00,8.4549,8.4744,8.4549,8.4744,1691,0
2014-12-08,22:00:00,8.611,8.611,8.611,8.611,410,0
2014-12-09,16:00:00,8.7965,8.7965,8.7965,8.7965,307,0
2014-12-09,17:00:00,8.904,8.9332,8.8649,8.8649,7233,0
2014-12-09,18:00:00,8.9332,8.9332,8.9332,8.9332,5223,0
2014-12-09,19:00:00,8.9625,8.9625,8.9137,8.9137,4984,0
2014-12-09,20:00:00,8.9137,8.9821,8.9137,8.9821,4917,0
2014-12-09,21:00:00,8.9821,8.9821,8.9235,8.9723,1760,0
2014-12-09,22:00:00,8.9821,8.9821,8.9332,8.9723,2539,0
2014-12-10,16:00:00,9.0212,9.0309,8.8649,8.8649,11040,0
2014-12-10,17:00:00,8.8942,8.8942,8.8649,8.8649,2868,0
2014-12-10,19:00:00,8.9625,8.9821,8.9625,8.9821,461,0
2014-12-10,20:00:00,8.9528,8.9528,8.9528,8.9528,444,0
2014-12-10,22:00:00,8.7868,8.7868,8.777,8.777,820,0
2014-12-11,16:00:00,8.8357,8.8357,8.6599,8.8357,2475,0
2014-12-11,18:00:00,8.6404,8.6502,8.6404,8.6502,1098,0
2014-12-11,19:00:00,8.5915,8.6502,8.5915,8.6502,3366,0
2014-12-11,20:00:00,8.6892,8.6892,8.6892,8.6892,1127,0
2014-12-11,21:00:00,8.6795,8.6795,8.6795,8.6795,205,0
2014-12-11,22:00:00,8.6013,8.6013,8.5427,8.5427,11415,0
2014-12-12,16:00:00,8.5915,8.5915,8.5525,8.5525,1844,0
2014-12-12,17:00:00,8.4842,8.4842,8.4256,8.4256,6761,0
2014-12-12,18:00:00,8.611,8.611,8.611,8.611,1127,0
2014-12-12,21:00:00,8.5037,8.5037,8.5037,8.5037,1630,0
2014-12-12,22:00:00,8.494,8.494,8.494,8.494,1729,0
2014-12-15,16:00:00,8.406,8.4256,8.3768,8.3963,6799,0
2014-12-15,17:00:00,8.3963,8.3963,8.3963,8.3963,6123,0
2014-12-15,19:00:00,8.3865,8.3865,8.2498,8.2498,20384,0
2014-12-15,20:00:00,8.2498,8.2889,8.2108,8.2792,6731,0
2014-12-15,21:00:00,8.2205,8.2205,8.2205,8.2205,18771,0
2014-12-15,22:00:00,8.1132,8.1132,7.9081,7.9863,23002,0
2014-12-16,16:00:00,8.4158,8.4158,8.0741,8.1132,4304,0
2014-12-16,17:00:00,8.0058,8.0253,7.9179,7.9179,7297,0
2014-12-16,18:00:00,7.957,8.0838,7.957,8.0838,1742,0
2014-12-16,21:00:00,7.957,7.957,7.957,7.957,1127,0
2014-12-16,22:00:00,7.9081,7.9081,7.8593,7.8593,11747,0
2014-12-17,16:00:00,7.9454,7.9654,7.8658,7.9654,3063,0
2014-12-17,17:00:00,7.9454,7.9454,7.816,7.9156,6528,0
2014-12-17,18:00:00,7.9156,8.0948,7.9156,8.0649,8989,0
2014-12-17,19:00:00,8.0649,8.0649,8.0649,8.0649,904,0
2014-12-17,20:00:00,8.0649,8.0848,7.9753,7.9753,7236,0
2014-12-17,21:00:00,8.1545,8.1545,8.1545,8.1545,1105,0
2014-12-17,22:00:00,8.1247,8.3039,8.1247,8.3039,5926,0
2014-12-18,16:00:00,8.4731,8.4731,8.4731,8.4731,100,0
2014-12-18,17:00:00,8.4731,8.4731,8.2939,8.2939,16170,0
2014-12-18,19:00:00,8.4134,8.4134,8.4134,8.4134,2511,0
2014-12-18,21:00:00,8.513,8.5628,8.4731,8.5528,2268,0
2014-12-18,22:00:00,8.5528,8.5827,8.5428,8.5827,1807,0
2014-12-19,16:00:00,8.5827,8.5827,8.5827,8.5827,1200,0
2014-12-19,17:00:00,8.7121,8.7121,8.7022,8.7121,2079,0
2014-12-19,18:00:00,8.7022,8.7022,8.7022,8.7022,502,0
2014-12-19,19:00:00,8.503,8.503,8.503,8.503,201,0
2014-12-19,20:00:00,8.7022,8.7022,8.7022,8.7022,1606,0
2014-12-19,21:00:00,8.5727,8.6125,8.5628,8.5727,4784,0
2014-12-19,22:00:00,8.5827,8.5827,8.5827,8.5827,1205,0
2014-12-22,16:00:00,8.7121,8.7121,8.4731,8.6026,2662,0
2014-12-22,17:00:00,8.5428,8.5827,8.4333,8.4333,2825,0
2014-12-22,18:00:00,8.4234,8.4333,8.3736,8.3736,1406,0
2014-12-22,19:00:00,8.4035,8.4035,8.3736,8.3736,1004,0
2014-12-22,20:00:00,8.3835,8.4234,8.3437,8.3437,253148,0
2014-12-22,21:00:00,8.2242,8.2242,8.2242,8.2242,6187,0
2014-12-22,22:00:00,8.274,8.274,8.274,8.274,1808,0
2014-12-23,16:00:00,8.4234,8.4234,8.4234,8.4234,100,0
2014-12-23,17:00:00,8.4234,8.4532,8.4234,8.4234,2169,0
2014-12-23,18:00:00,8.4731,8.4731,8.4731,8.4731,119,0
2014-12-23,19:00:00,8.4831,8.4831,8.4831,8.4831,603,0
2014-12-23,20:00:00,8.4831,8.4831,8.4632,8.4632,552,0
2014-12-23,21:00:00,8.4632,8.4831,8.1446,8.1645,22738,0
2014-12-23,22:00:00,8.1844,8.2939,8.1645,8.2641,2768,0
2014-12-24,16:00:00,8.284,8.284,8.284,8.284,627,0
2014-12-24,17:00:00,8.3537,8.3835,8.3537,8.3835,2855,0
2014-12-24,19:00:00,8.5628,8.5628,8.5628,8.5628,840,0
2014-12-26,16:00:00,8.7818,8.7818,8.7818,8.7818,1155,0
2014-12-26,17:00:00,8.7221,8.7221,8.5628,8.5628,2294,0
2014-12-26,18:00:00,8.6524,8.6524,8.6125,8.6125,1406,0
2014-12-26,20:00:00,8.7519,8.7519,8.6125,8.6125,2340,0
2014-12-26,21:00:00,8.6125,8.6125,8.6125,8.6125,204,0
2014-12-26,22:00:00,8.7718,8.7718,8.7718,8.7718,803,0
2014-12-29,16:00:00,8.5628,8.5628,8.5628,8.5628,17385,0
2014-12-29,17:00:00,8.6325,8.6325,8.5628,8.5628,1491,0
2014-12-29,18:00:00,8.5428,8.5628,8.5329,8.5329,6614,0
2014-12-29,19:00:00,8.5727,8.6026,8.3338,8.6026,48159,0
2014-12-29,20:00:00,8.5229,8.5229,8.5229,8.5229,2009,0
2014-12-29,21:00:00,8.5229,8.5229,8.5229,8.5229,803,0
2014-12-29,22:00:00,8.5926,8.5926,8.5926,8.5926,1055,0
2014-12-30,16:00:00,8.6125,8.7022,8.6125,8.7022,2712,0
2014-12-30,17:00:00,8.7221,8.7718,8.6623,8.7718,25089,0
2014-12-30,18:00:00,8.732,8.732,8.732,8.732,4583,0
2014-12-30,19:00:00,8.732,8.8615,8.732,8.7519,12954,0
2014-12-30,20:00:00,8.8117,8.8117,8.742,8.742,7851,0
2014-12-30,21:00:00,8.742,8.7718,8.7121,8.7121,3652,0
2014-12-30,22:00:00,8.732,8.732,8.7121,8.7121,2420,0
2014-12-31,16:00:00,8.7221,8.7221,8.7221,8.7221,603,0
2014-12-31,17:00:00,8.6225,8.6922,8.5628,8.6822,2865,0
2014-12-31,18:00:00,8.6026,8.6822,8.6026,8.6723,4047,0
2014-12-31,19:00:00,8.7918,8.7918,8.7918,8.7918,1004,0
2014-12-31,20:00:00,8.742,8.7619,8.6723,8.7619,1828,0
2014-12-31,22:00:00,8.7221,8.7221,8.7221,8.7221,502,0
2015-01-02,16:00:00,8.5926,8.6623,8.5926,8.6125,1382,0
2015-01-02,17:00:00,8.5727,8.6623,8.5727,8.6623,1989,0
2015-01-02,18:00:00,8.7918,8.8017,8.7918,8.8017,2210,0
2015-01-02,20:00:00,8.7022,8.7022,8.7022,8.7022,301,0
2015-01-02,22:00:00,8.742,8.8515,8.742,8.8316,8354,0
2015-01-05,17:00:00,8.9809,8.9909,8.8913,8.8913,1864,0
2015-01-05,18:00:00,8.7918,8.7918,8.7619,8.7619,8437,0
2015-01-05,21:00:00,8.8615,8.8615,8.8615,8.8615,452,0
2015-01-05,22:00:00,8.9013,8.9312,8.9013,8.9312,1055,0
2015-01-06,16:00:00,9.1602,9.19,9.1104,9.1602,4921,0
2015-01-06,17:00:00,9.1701,9.3195,9.1701,9.2199,7784,0
2015-01-06,18:00:00,9.3294,9.3294,9.2597,9.2597,2410,0
2015-01-06,19:00:00,9.3394,9.419,9.2796,9.3593,7834,0
2015-01-06,20:00:00,9.3294,9.3294,9.3195,9.3195,380,0
2015-01-06,21:00:00,9.3195,9.4489,9.3195,9.419,6704,0
2015-01-06,22:00:00,9.3892,9.4589,9.3593,9.4489,4942,0
2015-01-07,16:00:00,9.2398,9.2697,9.2299,9.2697,2026,0
2015-01-07,17:00:00,9.3991,9.429,9.3991,9.4091,1012,0
2015-01-07,18:00:00,9.3493,9.3493,9.3493,9.3493,1195,0
2015-01-07,20:00:00,9.2796,9.2796,9.2796,9.2796,100,0
2015-01-07,21:00:00,9.3195,9.4489,9.3195,9.4489,8175,0
2015-01-07,22:00:00,9.419,9.419,9.3294,9.3693,3489,0
2015-01-08,18:00:00,9.3195,9.3195,9.3195,9.3195,1273,0
2015-01-08,21:00:00,9.3493,9.3493,9.2498,9.2498,1410,0
2015-01-08,22:00:00,9.2199,9.2697,9.1801,9.2697,5022,0
2015-01-09,17:00:00,9.4091,9.4091,9.3195,9.3195,728,0
2015-01-09,18:00:00,9.2896,9.3195,9.2896,9.2996,2402,0
2015-01-09,21:00:00,9.3394,9.3394,9.3394,9.3394,8407,0
2015-01-09,22:00:00,9.4589,9.4589,9.2697,9.2697,12350,0
2015-01-12,16:00:00,9.4589,9.568,9.4489,9.568,5867,0
2015-01-12,17:00:00,9.558,9.598,9.4589,9.578,12153,0
2015-01-12,18:00:00,9.598,9.638,9.598,9.638,1818,0
2015-01-12,19:00:00,9.618,9.628,9.608,9.608,2651,0
2015-01-12,20:00:00,9.658,9.698,9.658,9.698,1791,0
2015-01-12,21:00:00,9.698,9.797,9.698,9.718,5649,0
2015-01-12,22:00:00,9.648,9.718,9.638,9.708,13527,0
2015-01-13,16:00:00,9.807,9.807,9.807,9.807,2350,0
2015-01-13,17:00:00,9.817,9.877,9.708,9.748,3837,0
2015-01-13,18:00:00,9.768,9.857,9.768,9.847,2487,0
2015-01-13,19:00:00,9.797,9.827,9.718,9.758,88039,0
2015-01-13,20:00:00,9.748,9.748,9.4589,9.509,22802,0
2015-01-14,16:00:00,9.568,9.568,9.4489,9.4489,502,0
2015-01-14,17:00:00,9.3693,9.4887,9.3195,9.4091,8236,0
2015-01-14,18:00:00,9.4091,9.429,9.3095,9.3792,7691,0
2015-01-14,19:00:00,9.3792,9.3792,9.2099,9.2299,10958,0
2015-01-14,20:00:00,9.2299,9.2896,9.1701,9.1701,7432,0
2015-01-14,21:00:00,9.1701,9.1701,9.1203,9.1303,8135,0
2015-01-14,22:00:00,9.1303,9.2199,9.1203,9.19,10811,0
2015-01-15,16:00:00,9.539,9.708,9.509,9.509,7066,0
2015-01-15,17:00:00,9.519,9.638,9.4091,9.419,3465,0
2015-01-15,18:00:00,9.419,9.519,9.419,9.519,3817,0
2015-01-15,19:00:00,9.519,9.628,9.4489,9.4489,4070,0
2015-01-15,20:00:00,9.4489,9.4887,9.4489,9.4688,3716,0
2015-01-15,21:00:00,9.4589,9.628,9.4389,9.4589,7533,0
2015-01-15,22:00:00,9.4589,9.539,9.2796,9.3493,8085,0
2015-01-16,16:00:00,9.419,9.887,9.419,9.4688,2410,0
2015-01-16,17:00:00,9.4987,9.847,9.4987,9.608,8387,0
2015-01-16,18:00:00,9.608,9.787,9.608,9.718,6026,0
2015-01-16,19:00:00,9.718,9.847,9.698,9.718,5948,0
2015-01-16,20:00:00,9.718,9.787,9.648,9.728,5624,0
2015-01-16,21:00:00,9.728,9.777,9.708,9.748,5122,0
2015-01-16,22:00:00,9.748,9.768,9.728,9.748,3663,0
2015-01-20,16:00:00,9.997,10.166,9.947,10.166,12112,0
2015-01-20,17:00:00,10.146,10.146,10.086,10.136,4520,0
2015-01-20,18:00:00,10.136,10.156,10.106,10.146,5335,0
2015-01-20,19:00:00,10.136,10.166,10.136,10.156,4014,0
2015-01-20,20:00:00,10.146,10.166,10.136,10.136,8468,0
2015-01-20,21:00:00,10.136,10.136,10.046,10.076,5071,0
2015-01-20,22:00:00,10.126,10.176,10.096,10.166,11060,0
2015-01-21,16:00:00,10.106,10.206,10.106,10.116,19166,0
2015-01-21,17:00:00,10.006,10.056,9.887,9.887,3849,0
2015-01-21,18:00:00,9.887,9.887,9.887,9.887,502,0
2015-01-21,19:00:00,9.917,10.016,9.907,9.987,14845,0
2015-01-21,20:00:00,9.927,9.927,9.927,9.927,402,0
2015-01-21,21:00:00,9.877,9.937,9.877,9.937,1069,0
2015-01-21,22:00:00,9.947,9.957,9.937,9.957,1607,0
2015-01-22,16:00:00,10.126,10.126,9.967,10.066,4919,0
2015-01-22,17:00:00,10.066,10.146,10.066,10.136,11205,0
2015-01-22,19:00:00,10.186,10.186,10.186,10.186,2667,0
2015-01-22,20:00:00,10.076,10.076,10.076,10.076,2431,0
2015-01-22,21:00:00,10.066,10.066,10.056,10.056,5071,0
2015-01-22,22:00:00,10.046,10.066,10.026,10.026,9774,0
2015-01-23,16:00:00,9.937,9.937,9.937,9.937,201,0
2015-01-23,17:00:00,9.857,9.857,9.718,9.807,3748,0
2015-01-23,18:00:00,9.768,9.768,9.758,9.768,11444,0
2015-01-23,19:00:00,9.768,9.768,9.768,9.768,29327,0
2015-01-23,20:00:00,9.728,9.728,9.728,9.728,299,0
2015-01-23,21:00:00,9.758,9.758,9.708,9.748,3214,0
2015-01-23,22:00:00,9.738,9.768,9.738,9.768,5216,0
2015-01-26,16:00:00,9.708,9.708,9.598,9.598,1446,0
2015-01-26,17:00:00,9.608,9.638,9.588,9.638,5757,0
2015-01-26,18:00:00,9.668,9.668,9.618,9.618,705,0
2015-01-26,19:00:00,9.728,9.728,9.718,9.718,1306,0
2015-01-26,21:00:00,9.758,9.837,9.758,9.837,2210,0
2015-01-26,22:00:00,9.787,9.787,9.787,9.787,1607,0
2015-01-27,16:00:00,9.797,10.016,9.797,9.977,2410,0
2015-01-27,17:00:00,9.987,10.056,9.987,10.056,5705,0
2015-01-27,18:00:00,10.066,10.106,10.046,10.046,13599,0
2015-01-27,19:00:00,10.056,10.086,10.026,10.076,2069,0
2015-01-27,20:00:00,10.056,10.086,10.056,10.086,1707,0
2015-01-27,21:00:00,10.136,10.136,10.086,10.086,1294,0
