Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-12,16:00:00,28.94,28.94,28.83,28.83,2632,0
2014-11-12,17:00:00,28.74,28.89,28.7,28.89,5950,0
2014-11-12,18:00:00,28.97,29.02,28.91,28.93,1300,0
2014-11-12,19:00:00,28.97,28.99,28.97,28.99,400,0
2014-11-12,20:00:00,28.95,28.95,28.92,28.92,1100,0
2014-11-12,21:00:00,28.89,28.93,28.89,28.93,1100,0
2014-11-12,22:00:00,28.98,28.98,28.8,28.8,1864,0
2014-11-13,16:00:00,28.61,28.61,28.5,28.55,800,0
2014-11-13,17:00:00,28.53,28.58,28.53,28.58,600,0
2014-11-13,18:00:00,28.68,28.8,28.68,28.8,1700,0
2014-11-13,19:00:00,28.86,28.86,28.83,28.83,2200,0
2014-11-13,20:00:00,29.11,29.11,29.07,29.07,200,0
2014-11-13,21:00:00,29.0,29.04,28.93,28.93,510,0
2014-11-13,22:00:00,28.92,29.03,28.82,28.89,7365,0
2014-11-14,16:00:00,28.9,28.9,28.79,28.79,1200,0
2014-11-14,17:00:00,28.7,28.79,28.7,28.79,500,0
2014-11-14,18:00:00,28.89,28.89,28.89,28.89,1200,0
2014-11-14,21:00:00,28.7,28.73,28.69,28.72,948,0
2014-11-14,22:00:00,28.66,28.67,28.61,28.66,941,0
2014-11-17,17:00:00,28.79,28.79,28.79,28.79,100,0
2014-11-17,18:00:00,28.79,28.84,28.79,28.84,600,0
2014-11-17,19:00:00,28.78,28.78,28.77,28.77,200,0
2014-11-17,20:00:00,28.73,28.73,28.73,28.73,100,0
2014-11-17,21:00:00,28.6,28.61,28.56,28.6,5684,0
2014-11-17,22:00:00,28.64,28.69,28.63,28.67,2700,0
2014-11-18,16:00:00,28.33,28.33,28.33,28.33,832,0
2014-11-18,17:00:00,28.26,28.26,28.21,28.24,2603,0
2014-11-18,18:00:00,28.11,28.13,28.09,28.13,1400,0
2014-11-18,19:00:00,28.12,28.13,28.12,28.13,510,0
2014-11-18,21:00:00,28.0,28.0,27.96,27.96,2300,0
