Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,57.84,59.56,56.88,59.36,10545,0
2015-01-15,17:00:00,59.52,59.52,56.8,57.72,10492,0
2015-01-15,18:00:00,57.68,58.48,57.56,58,4050,0
2015-01-15,19:00:00,58.08,59.48,58.04,59.04,2624,0
2015-01-15,20:00:00,58.76,59.88,58.36,59.84,2963,0
2015-01-15,21:00:00,59.84,59.92,59,59,4073,0
2015-01-15,22:00:00,59.08,60.64,58.76,60.56,25614,0
2015-01-16,16:00:00,60.92,61.6,59.68,61.6,32883,0
2015-01-16,17:00:00,60.92,61.92,59.4,59.4,14966,0
2015-01-16,18:00:00,59.72,60.12,59.52,60.12,5027,0
2015-01-16,19:00:00,59.88,60,59,59.04,3771,0
2015-01-16,20:00:00,58.96,59.48,58.84,59.28,3755,0
2015-01-16,21:00:00,59.04,59.68,59.04,59.64,5561,0
2015-01-16,22:00:00,59.52,59.6,58.32,58.44,9896,0
2015-01-20,16:00:00,57.44,58.32,57,58.04,26295,0
2015-01-20,17:00:00,58,58.48,57.4,58.48,15656,0
2015-01-20,18:00:00,58.48,58.96,57.8,58.48,4584,0
2015-01-20,19:00:00,58.52,58.52,57.76,58.04,1063,0
2015-01-20,20:00:00,57.84,58.16,57.52,57.56,2774,0
2015-01-20,21:00:00,57.52,57.52,56.12,56.16,18983,0
2015-01-20,22:00:00,56,56.68,56,56.6,5640,0
2015-01-21,16:00:00,57.6,57.68,55.52,56,16957,0
2015-01-21,17:00:00,56,56.4,54.44,54.64,19645,0
2015-01-21,18:00:00,54.44,55,54.24,54.24,20408,0
2015-01-21,19:00:00,54.16,54.8,54,54.8,827,0
2015-01-21,20:00:00,54.76,55.56,54.44,55.56,12080,0
2015-01-21,21:00:00,55.8,55.8,54.76,54.76,12893,0
2015-01-21,22:00:00,54.76,55.44,54.68,54.84,7705,0
2015-01-22,16:00:00,55.2,58,54.8,57.36,13468,0
2015-01-22,17:00:00,56.88,56.96,55.16,55.28,18410,0
2015-01-22,18:00:00,55.4,55.72,55.2,55.68,4182,0
2015-01-22,19:00:00,55.6,55.96,55.6,55.92,4808,0
2015-01-22,20:00:00,55.88,56.16,55.72,55.84,2489,0
2015-01-22,21:00:00,55.6,55.6,54.2,54.2,12232,0
2015-01-22,22:00:00,54.12,54.12,53.6,53.76,34710,0
2015-01-23,16:00:00,54.48,54.96,53.52,53.64,16022,0
2015-01-23,17:00:00,53.56,54.72,53.56,54.08,3603,0
2015-01-23,18:00:00,54.08,54.28,54,54.16,1005,0
2015-01-23,19:00:00,54.32,54.4,53.96,53.96,1077,0
2015-01-23,20:00:00,54.08,54.08,53.76,53.88,445,0
2015-01-23,21:00:00,53.88,54.2,53.88,54.04,2900,0
2015-01-23,22:00:00,54.12,54.4,54,54.16,19537,0
2015-01-26,16:00:00,54.44,55.64,54.44,54.8,8944,0
2015-01-26,17:00:00,54.64,55.08,54.36,54.44,5828,0
2015-01-26,18:00:00,54.32,54.88,54.2,54.36,3738,0
2015-01-26,19:00:00,54.32,54.32,54.04,54.04,1503,0
2015-01-26,20:00:00,54.16,54.16,53.52,53.64,1300,0
2015-01-26,21:00:00,53.64,54.2,53.64,54.08,1200,0
2015-01-26,22:00:00,54,54.2,53.72,53.8,15495,0
2015-01-27,16:00:00,55.72,56.68,55.72,56.48,9411,0
2015-01-27,17:00:00,56.48,57.72,56.04,56.88,15842,0
2015-01-27,18:00:00,57,57.16,56.64,57.16,8298,0
2015-01-27,19:00:00,57.12,57.2,56.56,56.76,2044,0
2015-01-27,20:00:00,56.56,56.56,55.88,56.24,3720,0
2015-01-27,21:00:00,56.04,56.12,55.24,56.04,6092,0
2015-01-27,22:00:00,56.08,56.92,56.08,56.8,75259,0
2015-01-28,16:00:00,54.44,54.6,53.2,53.44,12316,0
2015-01-28,17:00:00,53.2,55.96,53.04,55.64,10527,0
2015-01-28,18:00:00,55.64,56,54.8,55.36,9970,0
2015-01-28,19:00:00,54.92,55.2,54.64,55.2,2707,0
2015-01-28,20:00:00,55.2,55.52,55.04,55.4,1840,0
2015-01-28,21:00:00,55.28,56.48,54.48,55.84,20451,0
2015-01-28,22:00:00,55.72,57.68,55.52,57.64,28343,0
2015-01-29,16:00:00,58,59.28,56.76,58.52,24169,0
