Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,14.078,14.098,14.039,14.039,23205,0
2015-01-15,17:00:00,14.039,14.039,14.029,14.039,9418,0
2015-01-15,18:00:00,14.029,14.039,14.029,14.039,3409,0
2015-01-15,19:00:00,14.048,14.048,14.02,14.02,10209,0
2015-01-15,20:00:00,14.02,14.048,14.02,14.039,3927,0
2015-01-15,21:00:00,14.029,14.058,14.029,14.058,9452,0
2015-01-15,22:00:00,14.039,14.088,14.039,14.088,20668,0
2015-01-16,16:00:00,14.098,14.098,14.078,14.078,17489,0
2015-01-16,17:00:00,14.068,14.088,14.068,14.078,14501,0
2015-01-16,18:00:00,14.078,14.078,14.068,14.078,20268,0
2015-01-16,19:00:00,14.068,14.108,14.068,14.078,50032,0
2015-01-16,20:00:00,14.078,14.098,14.078,14.098,7639,0
2015-01-16,21:00:00,14.098,14.098,14.078,14.098,11933,0
2015-01-16,22:00:00,14.098,14.108,14.058,14.108,77644,0
2015-01-20,16:00:00,14.155,14.155,14.117,14.127,12394,0
2015-01-20,17:00:00,14.108,14.117,14.098,14.108,42757,0
2015-01-20,18:00:00,14.108,14.127,14.088,14.117,17505,0
2015-01-20,19:00:00,14.117,14.127,14.117,14.127,5157,0
2015-01-20,20:00:00,14.117,14.127,14.108,14.108,17910,0
2015-01-20,21:00:00,14.117,14.117,14.098,14.108,41833,0
2015-01-20,22:00:00,14.108,14.127,14.098,14.127,34116,0
2015-01-21,16:00:00,14.117,14.146,14.108,14.117,37309,0
2015-01-21,17:00:00,14.117,14.127,14.117,14.117,10908,0
2015-01-21,18:00:00,14.127,14.127,14.117,14.127,29972,0
2015-01-21,19:00:00,14.127,14.127,14.117,14.117,36793,0
2015-01-21,20:00:00,14.117,14.127,14.117,14.127,12549,0
2015-01-21,21:00:00,14.127,14.136,14.117,14.136,19424,0
2015-01-21,22:00:00,14.127,14.164,14.117,14.136,38082,0
2015-01-22,16:00:00,14.146,14.174,14.117,14.117,458888,0
2015-01-22,17:00:00,14.117,14.146,14.117,14.136,12930,0
2015-01-22,18:00:00,14.136,14.155,14.127,14.136,15505,0
2015-01-22,19:00:00,14.136,14.136,14.127,14.127,3349,0
2015-01-22,20:00:00,14.127,14.136,14.127,14.136,22331,0
2015-01-22,21:00:00,14.136,14.146,14.136,14.146,16062,0
2015-01-22,22:00:00,14.136,14.155,14.136,14.155,18895,0
2015-01-23,16:00:00,14.164,14.164,14.108,14.108,14929,0
2015-01-23,17:00:00,14.117,14.117,14.108,14.108,22475,0
2015-01-23,18:00:00,14.117,14.117,14.088,14.098,22888,0
2015-01-23,19:00:00,14.108,14.117,14.108,14.108,57444,0
2015-01-23,20:00:00,14.108,14.108,14.098,14.108,24975,0
2015-01-23,21:00:00,14.098,14.108,14.098,14.098,28943,0
2015-01-23,22:00:00,14.098,14.146,14.098,14.146,24336,0
2015-01-26,16:00:00,14.117,14.146,14.108,14.127,22849,0
2015-01-26,17:00:00,14.127,14.136,14.117,14.136,12589,0
2015-01-26,18:00:00,14.136,14.136,14.117,14.117,11453,0
2015-01-26,19:00:00,14.108,14.127,14.108,14.117,4687,0
2015-01-26,20:00:00,14.127,14.127,14.117,14.127,25241,0
2015-01-26,21:00:00,14.127,14.127,14.127,14.127,13122,0
2015-01-26,22:00:00,14.136,14.136,14.117,14.136,18455,0
2015-01-27,16:00:00,14.127,14.146,14.117,14.136,9460,0
2015-01-27,17:00:00,14.136,14.136,14.127,14.136,6093,0
2015-01-27,18:00:00,14.136,14.146,14.127,14.146,29890,0
2015-01-27,19:00:00,14.146,14.146,14.136,14.136,8404,0
2015-01-27,20:00:00,14.146,14.146,14.136,14.146,9483,0
2015-01-27,21:00:00,14.146,14.146,14.127,14.127,29777,0
2015-01-27,22:00:00,14.136,14.146,14.127,14.146,26989,0
2015-01-28,16:00:00,14.146,14.146,14.146,14.146,9740,0
2015-01-28,17:00:00,14.146,14.146,14.127,14.136,43927,0
2015-01-28,18:00:00,14.136,14.136,14.127,14.127,22618,0
2015-01-28,19:00:00,14.136,14.136,14.127,14.136,3843,0
2015-01-28,20:00:00,14.146,14.146,14.117,14.127,14134,0
2015-01-28,21:00:00,14.146,14.146,14.127,14.127,22357,0
2015-01-28,22:00:00,14.117,14.174,14.108,14.174,20986,0
2015-01-29,16:00:00,14.146,14.146,14.127,14.136,9736,0
2015-01-29,17:00:00,14.146,14.146,14.117,14.127,26409,0
2015-01-29,18:00:00,14.117,14.136,14.108,14.136,9744,0
2015-01-29,19:00:00,14.136,14.146,14.127,14.146,7147,0
2015-01-29,20:00:00,14.136,14.136,14.136,14.136,11424,0
2015-01-29,21:00:00,14.136,14.136,14.127,14.136,10025,0
2015-01-29,22:00:00,14.127,14.136,14.117,14.127,39451,0
2015-01-30,16:00:00,14.136,14.155,14.136,14.146,10996,0
2015-01-30,17:00:00,14.146,14.155,14.136,14.155,5012,0
2015-01-30,18:00:00,14.155,14.155,14.155,14.155,24906,0
2015-01-30,19:00:00,14.155,14.155,14.155,14.155,6901,0
2015-01-30,20:00:00,14.155,14.155,14.136,14.146,17626,0
2015-01-30,21:00:00,14.146,14.146,14.136,14.146,9463,0
2015-01-30,22:00:00,14.146,14.155,14.136,14.155,31652,0
2015-02-02,16:00:00,14.187,14.216,14.148,14.167,62107,0
2015-02-02,17:00:00,14.148,14.167,14.148,14.148,87642,0
2015-02-02,18:00:00,14.157,14.167,14.148,14.157,25776,0
2015-02-02,19:00:00,14.167,14.167,14.157,14.167,10847,0
2015-02-02,20:00:00,14.167,14.167,14.157,14.167,13213,0
2015-02-02,21:00:00,14.167,14.177,14.157,14.167,11757,0
2015-02-02,22:00:00,14.157,14.197,14.157,14.197,51955,0
2015-02-03,16:00:00,14.206,14.225,14.206,14.206,20980,0
2015-02-03,17:00:00,14.216,14.216,14.206,14.206,22793,0
2015-02-03,18:00:00,14.216,14.216,14.187,14.197,61260,0
2015-02-03,19:00:00,14.197,14.206,14.187,14.206,10795,0
2015-02-03,20:00:00,14.197,14.216,14.197,14.206,12539,0
2015-02-03,21:00:00,14.216,14.216,14.197,14.206,19907,0
2015-02-03,22:00:00,14.206,14.235,14.187,14.216,3091202,0
2015-02-04,16:00:00,14.225,14.225,14.187,14.187,21210,0
2015-02-04,17:00:00,14.187,14.197,14.177,14.177,23877,0
2015-02-04,18:00:00,14.177,14.177,14.157,14.157,18794,0
2015-02-04,19:00:00,14.157,14.167,14.157,14.167,11701,0
2015-02-04,20:00:00,14.157,14.167,14.157,14.167,24289,0
2015-02-04,21:00:00,14.157,14.167,14.157,14.167,13995,0
2015-02-04,22:00:00,14.167,14.167,14.157,14.157,19006,0
2015-02-05,16:00:00,14.197,14.197,14.177,14.187,4623,0
2015-02-05,17:00:00,14.167,14.197,14.167,14.177,19248,0
2015-02-05,18:00:00,14.187,14.197,14.167,14.197,78751,0
2015-02-05,19:00:00,14.187,14.197,14.187,14.197,6467,0
2015-02-05,20:00:00,14.197,14.197,14.187,14.197,5793,0
2015-02-05,21:00:00,14.187,14.197,14.187,14.197,19416,0
2015-02-05,22:00:00,14.197,14.206,14.187,14.206,24792,0
2015-02-06,16:00:00,14.216,14.216,14.187,14.187,8320,0
2015-02-06,17:00:00,14.197,14.197,14.177,14.187,5994,0
2015-02-06,18:00:00,14.187,14.187,14.177,14.187,20858,0
2015-02-06,19:00:00,14.187,14.187,14.167,14.187,18318,0
2015-02-06,20:00:00,14.187,14.187,14.167,14.187,18806,0
2015-02-06,21:00:00,14.167,14.177,14.157,14.167,38336,0
2015-02-06,22:00:00,14.167,14.167,14.157,14.167,9475,0
2015-02-09,16:00:00,14.167,14.177,14.167,14.177,12597,0
2015-02-09,17:00:00,14.177,14.187,14.177,14.187,11056,0
2015-02-09,18:00:00,14.177,14.197,14.177,14.177,18363,0
2015-02-09,19:00:00,14.187,14.197,14.177,14.197,20550,0
2015-02-09,20:00:00,14.197,14.206,14.177,14.206,13180,0
2015-02-09,21:00:00,14.187,14.206,14.187,14.197,17695,0
2015-02-09,22:00:00,14.197,14.206,14.177,14.206,18434,0
2015-02-10,16:00:00,14.216,14.216,14.167,14.187,11650,0
2015-02-10,17:00:00,14.187,14.197,14.177,14.187,19538,0
2015-02-10,18:00:00,14.187,14.187,14.177,14.187,32864,0
2015-02-10,19:00:00,14.177,14.197,14.177,14.197,15112,0
2015-02-10,20:00:00,14.187,14.187,14.177,14.177,22727,0
2015-02-10,21:00:00,14.187,14.187,14.177,14.187,27626,0
2015-02-10,22:00:00,14.187,14.206,14.177,14.206,24850,0
2015-02-11,16:00:00,14.187,14.216,14.167,14.167,7472,0
2015-02-11,17:00:00,14.177,14.177,14.157,14.167,11157,0
2015-02-11,18:00:00,14.177,14.177,14.167,14.167,25368,0
2015-02-11,19:00:00,14.177,14.187,14.167,14.167,17311,0
2015-02-11,20:00:00,14.167,14.187,14.167,14.177,46807,0
2015-02-11,21:00:00,14.187,14.197,14.187,14.197,26330,0
2015-02-11,22:00:00,14.197,14.235,14.187,14.235,20930,0
2015-02-12,16:00:00,14.225,14.245,14.187,14.245,13594,0
2015-02-12,17:00:00,14.245,14.245,14.216,14.235,21161,0
2015-02-12,18:00:00,14.235,14.245,14.216,14.225,15723,0
2015-02-12,19:00:00,14.235,14.245,14.225,14.245,23155,0
2015-02-12,20:00:00,14.235,14.235,14.216,14.225,10385,0
2015-02-12,21:00:00,14.235,14.235,14.225,14.225,10908,0
2015-02-12,22:00:00,14.225,14.235,14.225,14.225,22524,0
2015-02-13,16:00:00,14.265,14.265,14.245,14.255,20121,0
2015-02-13,17:00:00,14.265,14.265,14.255,14.265,32004,0
2015-02-13,18:00:00,14.265,14.265,14.255,14.255,27727,0
2015-02-13,19:00:00,14.265,14.284,14.255,14.284,22685,0
2015-02-13,20:00:00,14.275,14.294,14.275,14.294,38087,0
2015-02-13,21:00:00,14.275,14.294,14.275,14.294,9518,0
2015-02-13,22:00:00,14.284,14.294,14.275,14.294,19179,0
2015-02-17,16:00:00,14.294,14.313,14.255,14.284,9905,0
2015-02-17,17:00:00,14.275,14.284,14.245,14.284,13542,0
2015-02-17,18:00:00,14.275,14.284,14.265,14.284,16840,0
2015-02-17,19:00:00,14.284,14.294,14.275,14.284,11564,0
2015-02-17,20:00:00,14.275,14.284,14.265,14.275,24656,0
2015-02-17,21:00:00,14.265,14.265,14.245,14.245,8242,0
2015-02-17,22:00:00,14.245,14.275,14.245,14.275,26210,0
2015-02-18,16:00:00,14.275,14.284,14.245,14.245,34540,0
2015-02-18,17:00:00,14.245,14.245,14.225,14.235,45611,0
2015-02-18,18:00:00,14.235,14.235,14.187,14.187,34915,0
2015-02-18,19:00:00,14.197,14.206,14.187,14.187,27075,0
2015-02-18,20:00:00,14.187,14.216,14.187,14.216,81010,0
2015-02-18,21:00:00,14.225,14.255,14.206,14.225,35113,0
2015-02-18,22:00:00,14.255,14.255,14.225,14.255,39762,0
2015-02-19,16:00:00,14.255,14.294,14.206,14.225,60402,0
2015-02-19,17:00:00,14.206,14.245,14.206,14.245,24935,0
2015-02-19,18:00:00,14.245,14.255,14.235,14.245,19551,0
2015-02-19,19:00:00,14.245,14.245,14.216,14.245,17311,0
2015-02-19,20:00:00,14.235,14.245,14.225,14.235,6813,0
2015-02-19,21:00:00,14.216,14.245,14.216,14.216,19608,0
2015-02-19,22:00:00,14.216,14.255,14.216,14.255,16815,0
2015-02-20,16:00:00,14.265,14.265,14.255,14.255,10722,0
2015-02-20,17:00:00,14.265,14.284,14.255,14.265,27805,0
2015-02-20,18:00:00,14.265,14.265,14.255,14.265,18293,0
2015-02-20,19:00:00,14.265,14.275,14.255,14.275,36409,0
