Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,61.415,61.665,60.236,60.441,1683414,0
2015-01-15,17:00:00,60.381,61.355,60.206,60.666,1727542,0
2015-01-15,18:00:00,60.651,60.771,60.151,60.386,1500783,0
2015-01-15,19:00:00,60.391,60.556,59.832,60.061,1065607,0
2015-01-15,20:00:00,60.061,60.456,59.897,60.121,997107,0
2015-01-15,21:00:00,60.151,60.596,60.031,60.486,1132289,0
2015-01-15,22:00:00,60.466,60.556,59.782,59.857,1995996,0
2015-01-16,16:00:00,59.722,60.341,59.687,59.817,1541864,0
2015-01-16,17:00:00,59.822,60.651,59.567,60.586,2626615,0
2015-01-16,18:00:00,60.591,60.716,60.271,60.366,1207889,0
2015-01-16,19:00:00,60.391,61.03,60.351,60.861,1071640,0
2015-01-16,20:00:00,60.876,60.89,60.501,60.88,699193,0
2015-01-16,21:00:00,60.885,60.925,60.636,60.885,490672,0
2015-01-16,22:00:00,60.885,61.53,60.741,61.385,1557864,0
2015-01-20,16:00:00,61.859,62.074,60.885,61.045,1877367,0
2015-01-20,17:00:00,61.045,61.37,60.751,60.91,1782296,0
2015-01-20,18:00:00,60.915,61.1,60.531,60.716,1494897,0
2015-01-20,19:00:00,60.711,61.065,60.606,60.985,538730,0
2015-01-20,20:00:00,60.965,61.29,60.766,61.13,1025021,0
2015-01-20,21:00:00,61.135,61.745,61.125,61.73,1195275,0
2015-01-20,22:00:00,61.74,61.849,61.505,61.67,1591397,0
2015-01-21,16:00:00,61.32,62.114,60.995,61.75,1581934,0
2015-01-21,17:00:00,61.759,62.554,61.485,62.484,2876402,0
2015-01-21,18:00:00,62.494,62.643,62.194,62.404,1101040,0
2015-01-21,19:00:00,62.384,62.529,62.039,62.174,849230,0
2015-01-21,20:00:00,62.134,62.294,61.755,61.779,607691,0
2015-01-21,21:00:00,61.745,62.224,61.66,62.169,911644,0
2015-01-21,22:00:00,62.194,62.359,61.904,62.279,1372479,0
2015-01-22,16:00:00,62.863,63.158,61.844,62.209,1652693,0
2015-01-22,17:00:00,62.199,63.408,62.179,63.403,1790518,0
2015-01-22,18:00:00,63.403,63.433,62.888,63.068,1310679,0
2015-01-22,19:00:00,63.088,63.213,62.913,63.048,1460217,0
2015-01-22,20:00:00,63.038,63.293,62.958,63.253,672907,0
2015-01-22,21:00:00,63.263,64.037,63.193,63.992,1154571,0
2015-01-22,22:00:00,64.012,64.242,63.977,64.132,1690091,0
2015-01-23,16:00:00,63.907,64.032,63.627,63.797,1053832,0
2015-01-23,17:00:00,63.847,64.012,63.478,63.897,1288253,0
2015-01-23,18:00:00,63.887,64.027,63.722,63.857,495475,0
2015-01-23,19:00:00,63.842,64.147,63.792,64.037,509691,0
2015-01-23,20:00:00,64.007,64.132,63.832,64.042,666100,0
2015-01-23,21:00:00,64.047,64.102,63.702,63.712,709065,0
2015-01-23,22:00:00,63.702,63.757,63.343,63.408,1324560,0
2015-01-26,16:00:00,63.293,63.308,62.758,63.033,1020548,0
2015-01-26,17:00:00,63.043,63.562,62.988,63.468,748734,0
2015-01-26,18:00:00,63.468,63.577,63.233,63.552,949591,0
2015-01-26,19:00:00,63.552,63.642,63.353,63.458,373564,0
2015-01-26,20:00:00,63.453,63.802,63.363,63.717,473372,0
2015-01-26,21:00:00,63.732,63.762,63.478,63.562,587059,0
2015-01-26,22:00:00,63.542,63.792,63.418,63.717,777146,0
2015-01-27,16:00:00,62.209,62.449,61.949,62.139,1705569,0
2015-01-27,17:00:00,62.149,62.354,61.435,61.72,1915738,0
2015-01-27,18:00:00,61.715,62.164,61.655,61.884,1191741,0
2015-01-27,19:00:00,61.874,62.359,61.854,62.349,866390,0
2015-01-27,20:00:00,62.354,62.673,62.244,62.414,992017,0
2015-01-27,21:00:00,62.409,62.903,62.409,62.474,828240,0
2015-01-27,22:00:00,62.469,62.599,61.989,62.044,1793679,0
2015-01-28,16:00:00,62.923,62.983,62.464,62.609,797834,0
2015-01-28,17:00:00,62.609,62.788,61.73,61.824,1501664,0
2015-01-28,18:00:00,61.829,62.229,61.62,62.099,1209631,0
2015-01-28,19:00:00,62.114,62.494,62.114,62.279,949575,0
2015-01-28,20:00:00,62.274,62.334,62.029,62.029,382548,0
2015-01-28,21:00:00,62.064,62.539,61.29,61.71,1905815,0
2015-01-28,22:00:00,61.74,61.884,60.321,60.411,2135972,0
2015-01-29,16:00:00,60.501,60.711,59.782,60.316,1257988,0
2015-01-29,17:00:00,60.271,60.471,59.557,59.897,1243710,0
2015-01-29,18:00:00,59.897,60.476,59.667,60.266,850982,0
2015-01-29,19:00:00,60.281,60.576,60.086,60.336,406123,0
2015-01-29,20:00:00,60.351,61.105,60.181,60.88,1113766,0
2015-01-29,21:00:00,60.876,61.225,60.741,61.05,591318,0
2015-01-29,22:00:00,61.04,61.745,61,61.585,1547336,0
2015-01-30,16:00:00,60.696,61.375,60.601,61.06,1001580,0
2015-01-30,17:00:00,61.035,61.2,60.376,60.716,1673024,0
2015-01-30,18:00:00,60.716,60.836,60.241,60.701,1041558,0
2015-01-30,19:00:00,60.706,61.22,60.646,60.716,951779,0
2015-01-30,20:00:00,60.721,61.215,60.526,61.175,997882,0
2015-01-30,21:00:00,61.21,61.665,60.676,60.776,1507807,0
2015-01-30,22:00:00,60.791,60.935,59.832,60.031,2006049,0
2015-02-02,16:00:00,60.371,60.501,59.712,59.712,1094370,0
2015-02-02,17:00:00,59.697,59.902,59.048,59.782,1397339,0
2015-02-02,18:00:00,59.762,60.856,59.747,60.556,1240935,0
2015-02-02,19:00:00,60.571,60.611,59.952,59.962,887288,0
2015-02-02,20:00:00,59.992,60.341,59.652,59.712,925639,0
2015-02-02,21:00:00,59.697,60.416,59.662,60.136,1001392,0
2015-02-02,22:00:00,60.121,61.55,60.056,61.455,2342133,0
2015-02-03,16:00:00,62.139,62.683,62.069,62.653,1269261,0
2015-02-03,17:00:00,62.629,62.663,61.984,61.984,1951685,0
2015-02-03,18:00:00,61.964,62.464,61.959,62.039,702307,0
2015-02-03,19:00:00,62.019,62.414,61.879,62.294,695035,0
2015-02-03,20:00:00,62.299,62.938,62.234,62.928,1005096,0
2015-02-03,21:00:00,62.948,63.033,62.529,62.878,713782,0
2015-02-03,22:00:00,62.878,63.268,62.783,63.243,1984100,0
2015-02-04,16:00:00,62.663,62.973,62.633,62.878,673158,0
2015-02-04,17:00:00,62.923,63.173,62.624,63.008,964426,0
2015-02-04,18:00:00,62.973,63.403,62.853,63.283,1078177,0
2015-02-04,19:00:00,63.248,63.323,62.803,62.968,522936,0
2015-02-04,20:00:00,62.993,63.188,62.913,63.013,305795,0
2015-02-04,21:00:00,63.023,63.213,62.783,63.098,584438,0
2015-02-04,22:00:00,63.103,63.592,62.454,62.768,3395932,0
2015-02-05,16:00:00,63.303,63.777,63.223,63.547,1058579,0
2015-02-05,17:00:00,63.582,63.932,63.522,63.822,1068833,0
2015-02-05,18:00:00,63.807,63.912,63.647,63.847,1031520,0
2015-02-05,19:00:00,63.852,63.857,63.557,63.617,388111,0
2015-02-05,20:00:00,63.637,63.932,63.612,63.842,405442,0
2015-02-05,21:00:00,63.837,63.972,63.697,63.837,617342,0
2015-02-05,22:00:00,63.842,64.152,63.762,64.092,1409439,0
2015-02-06,16:00:00,64.337,64.456,64.017,64.277,729754,0
2015-02-06,17:00:00,64.267,64.736,64.257,64.591,1648438,0
2015-02-06,18:00:00,64.591,64.701,64.446,64.606,619761,0
2015-02-06,19:00:00,64.621,64.676,64.207,64.496,635597,0
