Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-29,22:00:00,35.86,35.86,35.86,35.86,730,0
2014-06-02,19:00:00,35.83,36.1,35.83,35.87,630,0
2014-06-02,20:00:00,35.87,35.87,35.87,35.87,200,0
2014-06-03,21:00:00,36.09,36.11,35.68,36.0,620,0
2014-06-03,22:00:00,36.0,36.15,36.0,36.15,606,0
2014-06-04,17:00:00,35.57,35.57,35.57,35.57,2970,0
2014-06-04,21:00:00,36.0,36.0,36.0,36.0,100,0
2014-06-04,22:00:00,36.31,36.31,36.29,36.29,400,0
2014-06-06,20:00:00,35.94,35.94,35.94,35.94,799,0
2014-06-06,21:00:00,35.98,36.23,35.98,36.23,730,0
2014-06-06,22:00:00,36.0,36.18,36.0,36.18,969,0
2014-06-09,22:00:00,35.27,35.63,35.27,35.63,400,0
2014-06-10,18:00:00,35.5,35.5,35.5,35.5,100,0
2014-06-10,19:00:00,35.25,35.25,35.25,35.25,300,0
2014-06-10,20:00:00,35.25,35.25,35.25,35.25,100,0
2014-06-11,16:00:00,35.22,35.22,34.83,34.83,200,0
2014-06-11,21:00:00,35.99,35.99,35.9,35.9,700,0
2014-06-12,16:00:00,34.71,34.71,34.7,34.7,1800,0
2014-06-12,17:00:00,34.86,34.86,34.73,34.73,500,0
2014-06-12,21:00:00,35.0,35.05,35.0,35.05,1398,0
2014-06-12,22:00:00,35.0,35.0,35.0,35.0,150,0
2014-06-13,16:00:00,34.55,34.55,34.35,34.35,600,0
2014-06-13,18:00:00,34.52,34.52,34.52,34.52,500,0
2014-06-13,22:00:00,34.75,34.75,34.66,34.66,900,0
2014-06-18,17:00:00,34.84,34.84,34.78,34.78,700,0
2014-06-19,17:00:00,35.15,35.15,35.15,35.15,935,0
2014-06-20,20:00:00,34.77,34.77,34.77,34.77,640,0
2014-06-23,16:00:00,34.51,34.51,34.51,34.51,200,0
2014-06-23,17:00:00,34.64,35.0,34.63,35.0,460,0
2014-06-23,19:00:00,34.93,34.93,34.93,34.93,400,0
2014-06-23,20:00:00,34.78,34.78,34.78,34.78,600,0
2014-06-23,22:00:00,34.6,34.6,34.6,34.6,110,0
2014-06-25,21:00:00,34.87,34.87,34.87,34.87,150,0
2014-06-26,16:00:00,34.91,34.91,34.91,34.91,200,0
2014-06-26,17:00:00,35.0,35.0,35.0,35.0,300,0
2014-06-26,19:00:00,35.0,35.0,35.0,35.0,2800,0
2014-06-27,22:00:00,34.5,34.5,34.5,34.5,100,0
2014-06-30,17:00:00,34.51,34.51,34.5,34.5,5150,0
2014-07-01,16:00:00,34.5,34.5,34.5,34.5,100,0
2014-07-02,17:00:00,35.78,35.78,35.78,35.78,100,0
2014-07-02,20:00:00,35.33,35.33,35.15,35.2,1100,0
