Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-01-03,17:00:00,26.666,26.676,26.587,26.587,507,0
2014-01-03,20:00:00,26.587,26.587,26.587,26.587,202,0
2014-01-03,21:00:00,26.597,26.597,26.567,26.567,202,0
2014-01-03,22:00:00,26.587,26.597,26.587,26.597,202,0
2014-01-06,22:00:00,26.518,26.518,26.518,26.518,507,0
2014-01-07,18:00:00,26.666,26.666,26.626,26.646,27774,0
2014-01-07,19:00:00,26.617,26.646,26.617,26.636,17637,0
2014-01-07,22:00:00,26.626,26.666,26.617,26.617,27268,0
2014-01-08,18:00:00,26.646,26.656,26.646,26.656,305,0
2014-01-08,19:00:00,26.617,26.656,26.617,26.626,9933,0
2014-01-08,20:00:00,26.626,26.656,26.626,26.626,2028,0
2014-01-08,21:00:00,26.607,26.636,26.607,26.636,5576,0
2014-01-08,22:00:00,26.636,26.636,26.607,26.607,11353,0
2014-01-09,17:00:00,26.626,26.626,26.626,26.626,100,0
2014-01-09,18:00:00,26.577,26.617,26.577,26.587,9629,0
2014-01-09,19:00:00,26.587,26.626,26.587,26.626,3446,0
2014-01-09,22:00:00,26.626,26.676,26.626,26.636,1115,0
2014-01-10,17:00:00,26.617,26.617,26.617,26.617,100,0
2014-01-10,18:00:00,26.587,26.587,26.587,26.587,913,0
2014-01-10,19:00:00,26.626,26.626,26.617,26.617,913,0
2014-01-10,21:00:00,26.626,26.646,26.626,26.636,8414,0
2014-01-10,22:00:00,26.646,26.646,26.646,26.646,100,0
2014-01-14,16:00:00,26.478,26.478,26.478,26.478,202,0
2014-01-14,17:00:00,26.468,26.498,26.468,26.498,3649,0
2014-01-14,18:00:00,26.518,26.548,26.518,26.548,5068,0
2014-01-15,17:00:00,26.755,26.755,26.725,26.735,2129,0
2014-01-15,18:00:00,26.775,26.775,26.755,26.755,5271,0
2014-01-15,19:00:00,26.765,26.765,26.765,26.765,100,0
2014-01-15,20:00:00,26.735,26.745,26.725,26.725,2332,0
2014-01-15,22:00:00,26.745,26.755,26.745,26.755,2229,0
2014-01-16,22:00:00,26.725,26.725,26.725,26.725,507,0
2014-01-17,20:00:00,26.725,26.725,26.725,26.725,7856,0
2014-01-21,19:00:00,26.676,26.676,26.666,26.666,507,0
2014-01-22,18:00:00,26.695,26.695,26.666,26.676,2838,0
2014-01-22,21:00:00,26.705,26.705,26.676,26.695,4461,0
2014-01-24,18:00:00,26.252,26.252,26.252,26.252,100,0
2014-01-24,19:00:00,26.252,26.252,26.252,26.252,202,0
2014-01-24,22:00:00,26.173,26.173,26.163,26.163,709,0
2014-01-27,22:00:00,26.104,26.104,26.104,26.104,507,0
2014-01-28,22:00:00,26.084,26.084,26.084,26.084,2179,0
2014-01-29,18:00:00,25.995,25.995,25.995,25.995,100,0
2014-01-29,19:00:00,25.956,25.956,25.956,25.956,205,0
2014-01-29,22:00:00,25.877,25.877,25.877,25.877,100,0
2014-01-31,20:00:00,26.163,26.163,26.163,26.163,100,0
2014-02-03,17:00:00,26.064,26.064,26.014,26.014,699,0
2014-02-03,19:00:00,25.956,25.956,25.956,25.956,100,0
2014-02-03,22:00:00,25.817,25.837,25.817,25.817,1216,0
2014-02-05,18:00:00,26.014,26.014,25.976,25.995,1317,0
2014-02-05,19:00:00,26.004,26.044,25.995,26.014,1115,0
2014-02-05,20:00:00,26.024,26.024,26.024,26.024,202,0
2014-02-05,22:00:00,26.014,26.014,25.976,25.976,202,0
2014-02-11,17:00:00,26.183,26.183,26.183,26.183,202,0
2014-02-11,21:00:00,26.252,26.301,26.252,26.301,10847,0
2014-02-13,18:00:00,26.36,26.36,26.36,26.36,100,0
2014-02-13,20:00:00,26.38,26.4,26.34,26.4,5170,0
2014-02-13,21:00:00,26.4,26.4,26.39,26.39,608,0
2014-02-13,22:00:00,26.39,26.39,26.39,26.39,100,0
2014-02-19,20:00:00,26.558,26.587,26.478,26.478,297228,0
2014-02-19,21:00:00,26.567,26.577,26.528,26.548,571015,0
2014-02-19,22:00:00,26.528,26.528,26.448,26.448,20678,0
2014-02-20,17:00:00,26.428,26.428,26.428,26.428,202,0
2014-02-20,18:00:00,26.488,26.488,26.488,26.488,913,0
2014-02-21,18:00:00,26.597,26.597,26.597,26.597,1015,0
2014-02-21,20:00:00,26.577,26.577,26.577,26.577,100,0
2014-02-26,17:00:00,26.695,26.695,26.695,26.695,100,0
2014-02-26,18:00:00,26.666,26.695,26.666,26.685,11205,0
2014-02-26,20:00:00,26.695,26.695,26.695,26.695,257,0
2014-02-26,22:00:00,26.636,26.636,26.636,26.636,810,0
2014-02-27,18:00:00,26.705,26.705,26.705,26.705,861,0
2014-02-28,16:00:00,26.805,26.805,26.805,26.805,11150,0
2014-03-03,16:00:00,26.725,26.725,26.725,26.725,130,0
2014-03-03,17:00:00,26.735,26.735,26.735,26.735,545,0
2014-03-04,16:00:00,26.775,26.775,26.775,26.775,100,0
2014-03-04,20:00:00,26.952,26.952,26.913,26.923,608,0
2014-03-04,22:00:00,26.962,26.962,26.962,26.962,100,0
2014-03-05,18:00:00,26.962,26.962,26.962,26.962,530,0
2014-03-05,19:00:00,26.962,26.962,26.962,26.962,913,0
2014-03-06,18:00:00,27.021,27.021,26.991,26.991,810,0
2014-03-10,16:00:00,26.972,26.972,26.972,26.972,100,0
2014-03-10,17:00:00,26.962,26.962,26.962,26.962,100,0
2014-03-10,18:00:00,26.962,26.962,26.962,26.962,1521,0
2014-03-10,19:00:00,26.981,26.981,26.981,26.981,542,0
2014-03-10,20:00:00,26.972,26.981,26.923,26.952,4257,0
