Date,Time,Open,High,Low,Close,Volume,OpenInt
2012-02-09,16:00:00,42.822,43.285,42.39,42.409,1885,0
2012-02-09,22:00:00,42.508,42.508,42.508,42.508,102,0
2012-02-10,21:00:00,41.759,41.759,41.759,41.759,711,0
2012-02-13,17:00:00,41.701,41.701,41.701,41.701,102,0
2012-02-22,19:00:00,42.429,42.429,42.429,42.429,468,0
2012-02-22,21:00:00,42.35,42.35,42.35,42.35,102,0
2012-02-23,16:00:00,42.764,42.764,42.764,42.764,202,0
2012-02-24,16:00:00,43.069,43.158,43.069,43.128,10007,0
2012-02-24,17:00:00,43.128,43.216,43.128,43.197,48455,0
2012-02-24,18:00:00,43.197,43.216,43.197,43.207,5546,0
2012-02-24,21:00:00,43.168,43.168,43.168,43.168,102,0
2012-02-29,16:00:00,43.452,43.452,43.452,43.452,23221,0
2012-02-29,18:00:00,43.207,43.207,43.207,43.207,202,0
2012-02-29,19:00:00,43.392,43.392,43.392,43.392,304,0
2012-02-29,22:00:00,43.482,43.482,43.482,43.482,339,0
2012-03-01,21:00:00,43.62,43.62,43.62,43.62,407,0
2012-03-01,22:00:00,43.57,43.57,43.57,43.57,202,0
2012-03-02,19:00:00,43.482,43.492,43.482,43.492,1519,0
2012-03-05,17:00:00,42.902,42.902,42.902,42.902,106,0
2012-03-06,16:00:00,42.547,42.547,42.547,42.547,228,0
2012-03-07,18:00:00,41.72,41.72,41.621,41.621,12190,0
2012-03-07,20:00:00,41.631,41.631,41.631,41.631,177,0
2012-03-09,18:00:00,42.704,42.704,42.704,42.704,202,0
2012-03-12,15:00:00,42.606,42.606,42.37,42.37,12834,0
2012-03-12,16:00:00,42.478,42.478,42.478,42.478,509,0
2012-03-12,20:00:00,42.478,42.478,42.35,42.35,304,0
2012-03-15,18:00:00,42.528,42.528,42.528,42.528,202,0
2012-03-19,18:00:00,42.645,42.645,42.645,42.645,609,0
2012-03-19,19:00:00,42.547,42.547,42.547,42.547,609,0
2012-03-21,19:00:00,42.33,42.35,42.33,42.33,2332,0
2012-03-26,19:00:00,42.714,42.714,42.616,42.616,1116,0
2012-03-26,20:00:00,42.674,42.704,42.596,42.704,2437,0
2012-03-26,21:00:00,42.636,42.784,42.636,42.764,5181,0
2012-03-26,22:00:00,42.774,42.774,42.774,42.774,407,0
2012-03-27,16:00:00,42.932,42.942,42.804,42.942,3149,0
2012-03-27,17:00:00,42.744,42.902,42.744,42.892,6095,0
2012-03-27,18:00:00,42.784,42.942,42.784,42.942,6095,0
2012-03-27,19:00:00,42.852,42.971,42.804,42.842,6602,0
2012-03-27,20:00:00,43.001,43.02,42.862,43.02,6298,0
2012-03-27,21:00:00,42.922,43.079,42.922,43.059,6298,0
2012-03-28,16:00:00,43.069,43.069,42.794,42.912,5587,0
2012-03-28,17:00:00,42.852,42.852,42.714,42.832,3320,0
2012-03-28,18:00:00,42.764,42.872,42.626,42.626,4572,0
2012-03-28,20:00:00,42.547,42.547,42.547,42.547,509,0
2012-04-02,18:00:00,42.892,42.892,42.744,42.744,219,0
2012-04-10,18:00:00,41.524,41.524,41.524,41.524,102,0
2012-04-10,22:00:00,41.099,41.099,41.099,41.099,812,0
2012-05-02,19:00:00,43.659,43.659,43.649,43.649,671,0
2012-05-03,16:00:00,47.252,47.252,47.252,47.252,102,0
2012-05-03,18:00:00,43.905,43.905,43.905,43.905,102,0
2012-05-03,22:00:00,43.758,43.758,43.758,43.758,228,0
2012-05-10,17:00:00,43.354,43.354,43.325,43.325,229,0
2012-05-10,19:00:00,43.325,43.325,43.325,43.325,102,0
2012-05-15,17:00:00,42.724,42.724,42.724,42.724,317,0
2012-05-17,21:00:00,40.411,40.411,40.411,40.411,102,0
2012-06-05,19:00:00,40.086,40.145,40.086,40.145,312,0
2012-06-08,22:00:00,41.838,41.838,41.838,41.838,102,0
2012-06-22,19:00:00,42.932,42.932,42.932,42.932,304,0
2012-06-22,20:00:00,43.049,43.049,43.049,43.049,102,0
2012-06-26,19:00:00,43.049,43.049,43.049,43.049,140,0
2012-06-28,17:00:00,43.138,43.138,43.138,43.138,119,0
2012-07-06,21:00:00,44.713,44.713,44.713,44.713,152,0
2012-07-09,16:00:00,44.623,44.861,44.623,44.861,1116,0
2012-07-09,19:00:00,44.516,44.516,44.516,44.516,162,0
2012-07-09,22:00:00,44.733,47.096,44.733,44.772,4266,0
2012-07-10,20:00:00,44.653,44.782,44.653,44.782,2033,0
2012-07-13,20:00:00,44.614,44.614,44.614,44.614,113,0
2012-07-18,19:00:00,44.899,44.899,44.899,44.899,202,0
2012-07-24,20:00:00,44.437,44.437,44.437,44.437,812,0
2012-07-30,16:00:00,43.63,45.332,43.63,45.332,914,0
2012-08-01,21:00:00,45.362,45.649,45.362,45.649,4673,0
2012-08-02,20:00:00,45.432,45.432,45.432,45.432,102,0
2012-08-02,21:00:00,45.175,45.205,41.562,45.205,21682,0
2012-08-02,22:00:00,42.488,44.899,42.488,44.89,35980,0
2012-08-03,16:00:00,45.481,45.481,45.028,45.028,304,0
2012-08-03,17:00:00,45.245,45.362,44.772,44.772,7639,0
2012-08-03,18:00:00,45.275,45.275,45.275,45.275,102,0
2012-08-03,19:00:00,44.643,45.649,44.643,45.639,711,0
2012-08-03,21:00:00,45.716,46.091,45.716,45.983,6602,0
2012-08-03,22:00:00,45.973,46.416,45.973,46.416,39821,0
2012-08-06,16:00:00,46.071,48.857,45.983,46.357,2033,0
2012-08-06,17:00:00,46.514,46.514,46.514,46.514,1524,0
2012-08-06,19:00:00,46.514,46.514,46.416,46.416,1321,0
2012-08-06,20:00:00,46.416,46.416,46.416,46.416,102,0
2012-08-07,22:00:00,46.169,46.169,45.745,45.745,299,0
2012-08-08,18:00:00,46.169,46.248,46.071,46.11,3759,0
2012-08-08,20:00:00,46.1,46.169,46.1,46.149,609,0
2012-08-08,21:00:00,46.209,46.209,46.209,46.209,102,0
2012-08-08,22:00:00,46.238,46.238,46.219,46.219,233,0
2012-08-09,17:00:00,46.219,46.219,46.219,46.219,102,0
2012-08-09,18:00:00,46.189,46.189,46.081,46.081,282,0
2012-08-09,22:00:00,46.14,46.149,46.14,46.149,1321,0
2012-08-10,22:00:00,46.081,46.081,46.081,46.081,304,0
2012-08-13,16:00:00,48.217,48.217,45.873,45.903,1017,0
2012-08-14,17:00:00,45.785,45.785,45.735,45.735,1220,0
2012-08-14,18:00:00,45.785,45.785,45.785,45.785,138,0
2012-08-14,22:00:00,46.397,46.397,46.397,46.397,180,0
