Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,3.55,3.6,3.3,3.3,4960487,0
2015-01-15,17:00:00,3.3,3.47,3.22,3.23,4740949,0
2015-01-15,18:00:00,3.25,3.37,3.12,3.2,3816051,0
2015-01-15,19:00:00,3.21,3.33,3.19,3.22,1277027,0
2015-01-15,20:00:00,3.23,3.27,3.01,3.06,3125327,0
2015-01-15,21:00:00,3.06,3.21,2.97,3.04,2955920,0
2015-01-15,22:00:00,3.04,3.05,2.95,2.97,2385536,0
2015-01-16,16:00:00,3.11,3.18,3.09,3.11,2191626,0
2015-01-16,17:00:00,3.12,3.36,3.11,3.28,3337467,0
2015-01-16,18:00:00,3.27,3.27,3.1,3.17,1962168,0
2015-01-16,19:00:00,3.18,3.29,3.17,3.29,813137,0
2015-01-16,20:00:00,3.29,3.38,3.21,3.25,2187447,0
2015-01-16,21:00:00,3.25,3.46,3.22,3.39,1874967,0
2015-01-16,22:00:00,3.39,3.39,3.33,3.37,2023797,0
2015-01-20,16:00:00,3.03,3.03,2.91,2.96,4337074,0
2015-01-20,17:00:00,2.96,3.04,2.91,3.01,3230072,0
2015-01-20,18:00:00,3.0,3.13,2.95,3.02,2807644,0
2015-01-20,19:00:00,3.03,3.11,3.01,3.03,1859425,0
2015-01-20,20:00:00,3.02,3.04,2.93,2.97,2382613,0
2015-01-20,21:00:00,2.97,3.02,2.9,2.91,4072265,0
2015-01-20,22:00:00,2.92,2.93,2.9,2.93,2661594,0
2015-01-21,16:00:00,3.04,3.13,2.99,3.1,2242414,0
2015-01-21,17:00:00,3.11,3.19,3.06,3.15,3717345,0
2015-01-21,18:00:00,3.15,3.16,3.02,3.13,2389467,0
2015-01-21,19:00:00,3.13,3.16,3.03,3.06,1754378,0
2015-01-21,20:00:00,3.06,3.08,2.98,3.03,2134616,0
2015-01-21,21:00:00,3.03,3.18,2.99,3.1,1936830,0
2015-01-21,22:00:00,3.1,3.1,3.04,3.06,1398680,0
2015-01-22,16:00:00,3.1,3.14,3.0,3.04,2780851,0
2015-01-22,17:00:00,3.03,3.07,2.95,2.97,3548078,0
2015-01-22,18:00:00,2.97,3.02,2.77,2.83,6974771,0
2015-01-22,19:00:00,2.83,3.02,2.8,2.95,3196886,0
2015-01-22,20:00:00,2.95,2.95,2.81,2.83,2469044,0
2015-01-22,21:00:00,2.83,2.92,2.75,2.9,3765807,0
2015-01-22,22:00:00,2.91,2.91,2.86,2.87,2010612,0
2015-01-23,16:00:00,2.76,2.79,2.72,2.75,3459355,0
2015-01-23,17:00:00,2.75,2.9,2.75,2.86,3079097,0
2015-01-23,18:00:00,2.86,2.86,2.76,2.79,1520668,0
