Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,113.31,113.56,112.03,112.17,16321,0
2015-01-15,17:00:00,112.1,112.86,111.99,112.43,33125,0
2015-01-15,18:00:00,112.5,112.51,111.93,112.05,24809,0
2015-01-15,19:00:00,112.11,112.11,111.39,111.6,36061,0
2015-01-15,20:00:00,111.56,112.0,111.5,111.74,35080,0
2015-01-15,21:00:00,111.67,112.02,111.67,112.02,40613,0
2015-01-15,22:00:00,111.99,111.99,111.37,111.44,63585,0
2015-01-16,16:00:00,111.25,111.5,110.84,111.18,91615,0
2015-01-16,17:00:00,111.34,111.93,110.95,111.93,18548,0
2015-01-16,18:00:00,111.98,112.04,111.73,111.85,12324,0
2015-01-16,19:00:00,111.93,112.37,111.86,112.28,18342,0
2015-01-16,20:00:00,112.2,112.27,111.97,112.22,23425,0
2015-01-16,21:00:00,112.29,112.31,112.02,112.19,25241,0
2015-01-16,22:00:00,112.2,112.83,112.12,112.8,19612,0
2015-01-20,16:00:00,113.06,113.06,111.91,111.93,35961,0
2015-01-20,17:00:00,111.91,112.07,111.5,111.69,71718,0
2015-01-20,18:00:00,111.63,111.73,111.06,111.36,48021,0
2015-01-20,19:00:00,111.4,111.67,111.32,111.51,33163,0
2015-01-20,20:00:00,111.52,111.81,111.28,111.72,49226,0
2015-01-20,21:00:00,111.68,112.21,111.68,112.17,170188,0
2015-01-20,22:00:00,112.17,112.25,111.92,112.02,63907,0
2015-01-21,16:00:00,111.81,112.51,111.66,112.26,9095,0
2015-01-21,17:00:00,112.25,112.93,112.15,112.9,19820,0
2015-01-21,18:00:00,112.94,112.94,112.48,112.68,24417,0
2015-01-21,19:00:00,112.72,112.8,112.49,112.49,16344,0
2015-01-21,20:00:00,112.62,112.67,112.28,112.31,31630,0
2015-01-21,21:00:00,112.17,112.64,112.13,112.64,11515,0
2015-01-21,22:00:00,112.61,112.8,112.42,112.74,40915,0
2015-01-22,16:00:00,113.36,113.51,112.76,113.25,35454,0
2015-01-22,17:00:00,113.33,114.14,113.25,114.12,22685,0
2015-01-22,18:00:00,114.2,114.2,113.94,114.07,62904,0
2015-01-22,19:00:00,114.12,114.18,114.05,114.11,14624,0
2015-01-22,20:00:00,114.19,114.29,114.02,114.15,21404,0
2015-01-22,21:00:00,114.2,114.85,114.2,114.81,34857,0
2015-01-22,22:00:00,114.83,115.0,114.74,114.83,27534,0
2015-01-23,16:00:00,114.79,115.0,114.75,114.75,16029,0
2015-01-23,17:00:00,114.86,115.06,114.4,114.78,20639,0
