Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-16,16:00:00,24.585,24.585,24.585,24.585,102,0
2014-10-16,17:00:00,24.614,24.614,24.614,24.614,1634,0
2014-10-16,21:00:00,24.8,24.8,24.752,24.752,2103,0
2014-10-17,16:00:00,25.163,25.163,24.869,24.869,430,0
2014-10-17,17:00:00,24.889,24.937,24.889,24.937,949,0
2014-10-17,18:00:00,24.967,24.977,24.947,24.957,8270,0
2014-10-17,19:00:00,24.918,24.927,24.918,24.918,1327,0
2014-10-17,20:00:00,24.918,24.927,24.918,24.918,4186,0
2014-10-17,21:00:00,24.918,24.927,24.84,24.859,3267,0
2014-10-20,17:00:00,24.977,25.025,24.977,25.025,1021,0
2014-10-20,20:00:00,25.094,25.094,25.094,25.094,2144,0
2014-10-20,22:00:00,25.212,25.212,25.212,25.212,102,0
2014-10-21,17:00:00,25.32,25.32,25.32,25.32,4135,0
2014-10-21,19:00:00,25.368,25.398,25.358,25.398,2107,0
2014-10-21,21:00:00,25.427,25.437,25.427,25.437,1261,0
2014-10-22,16:00:00,25.476,25.476,25.32,25.427,5014,0
2014-10-22,17:00:00,25.467,25.467,25.467,25.467,367,0
2014-10-22,18:00:00,25.467,25.467,25.467,25.467,715,0
2014-10-22,20:00:00,25.368,25.368,25.3,25.3,609,0
2014-10-22,21:00:00,25.29,25.29,25.29,25.29,1838,0
2014-10-22,22:00:00,25.339,25.339,25.29,25.29,295,0
2014-10-23,16:00:00,25.496,25.496,25.358,25.358,3010,0
2014-10-23,17:00:00,25.408,25.427,25.349,25.358,7998,0
2014-10-23,18:00:00,25.408,25.408,25.349,25.398,1072,0
2014-10-23,19:00:00,25.349,25.349,25.349,25.349,1123,0
2014-10-23,20:00:00,25.378,25.398,25.349,25.349,960,0
2014-10-23,21:00:00,25.349,25.349,25.349,25.349,408,0
2014-10-23,22:00:00,25.29,25.29,25.29,25.29,167,0
2014-10-24,16:00:00,25.643,25.643,25.643,25.643,1314,0
2014-10-24,17:00:00,25.555,25.555,25.555,25.555,3063,0
2014-10-24,18:00:00,25.593,25.593,25.565,25.565,1394,0
2014-10-24,20:00:00,25.575,25.575,25.575,25.575,235,0
2014-10-24,21:00:00,25.584,25.643,25.575,25.575,5213,0
2014-10-24,22:00:00,25.623,25.623,25.623,25.623,204,0
2014-10-27,15:00:00,25.593,25.593,25.593,25.593,1467,0
2014-10-27,16:00:00,25.447,25.575,25.368,25.525,13842,0
2014-10-27,20:00:00,25.437,25.525,25.398,25.398,1488,0
2014-10-27,21:00:00,25.398,25.515,25.378,25.447,4595,0
2014-10-28,16:00:00,25.643,25.692,25.643,25.692,817,0
2014-10-28,17:00:00,25.741,25.741,25.741,25.741,1160,0
2014-10-28,18:00:00,25.682,25.682,25.682,25.682,510,0
2014-10-28,19:00:00,25.711,25.711,25.711,25.711,776,0
2014-10-28,20:00:00,25.692,25.76,25.682,25.682,1809,0
2014-10-28,21:00:00,25.721,25.75,25.721,25.75,702,0
2014-10-29,15:00:00,25.858,25.858,25.848,25.848,1225,0
2014-10-29,17:00:00,25.75,25.78,25.75,25.78,520,0
2014-10-29,18:00:00,25.711,25.79,25.711,25.79,9616,0
2014-10-29,19:00:00,25.8,25.8,25.75,25.75,1664,0
2014-10-29,20:00:00,25.731,25.731,25.623,25.623,1603,0
2014-10-29,21:00:00,25.623,25.701,25.623,25.701,817,0
2014-10-30,15:00:00,25.77,25.77,25.711,25.711,1685,0
2014-10-30,16:00:00,25.662,25.79,25.662,25.79,1939,0
2014-10-30,18:00:00,25.878,25.878,25.878,25.878,204,0
2014-10-30,19:00:00,25.946,26.005,25.936,25.936,894,0
2014-10-30,20:00:00,25.828,25.828,25.828,25.828,1429,0
2014-10-31,15:00:00,26.143,26.143,26.143,26.143,1531,0
2014-10-31,16:00:00,26.044,26.133,26.044,26.093,2799,0
2014-10-31,17:00:00,26.143,26.181,26.113,26.113,2521,0
2014-10-31,19:00:00,26.054,26.054,26.054,26.054,408,0
2014-10-31,20:00:00,26.103,26.103,26.064,26.064,2679,0
2014-10-31,21:00:00,26.073,26.103,26.073,26.103,1228,0
2014-11-03,16:00:00,26.387,26.387,26.279,26.279,2561,0
2014-11-03,17:00:00,26.054,26.054,26.054,26.054,310,0
2014-11-03,18:00:00,25.986,25.986,25.986,25.986,408,0
2014-11-03,19:00:00,25.966,25.976,25.966,25.966,919,0
2014-11-03,20:00:00,26.064,26.073,25.976,25.976,5677,0
2014-11-03,21:00:00,26.025,26.025,25.936,26.015,7411,0
2014-11-03,22:00:00,25.868,25.868,25.868,25.868,408,0
2014-11-04,20:00:00,25.79,25.79,25.79,25.79,307,0
2014-11-04,21:00:00,25.81,25.81,25.81,25.81,365,0
2014-11-04,22:00:00,25.888,25.888,25.838,25.838,1252,0
2014-11-05,16:00:00,26.143,26.143,25.917,25.917,1568,0
2014-11-05,17:00:00,25.995,25.995,25.995,25.995,408,0
2014-11-05,18:00:00,26.015,26.025,25.907,26.025,817,0
2014-11-05,21:00:00,25.995,26.035,25.995,26.035,654,0
2014-11-05,22:00:00,26.035,26.064,26.035,26.064,3202,0
2014-11-06,16:00:00,25.878,26.103,25.878,26.035,1505,0
2014-11-06,17:00:00,25.966,26.035,25.956,25.956,1901,0
