Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-20,16:00:00,64.152,64.152,64.142,64.142,742,0
2014-11-20,17:00:00,64.142,64.181,64.122,64.162,1821,0
2014-11-20,18:00:00,64.23,64.23,64.21,64.21,985,0
2014-11-20,21:00:00,64.239,64.239,64.239,64.239,105,0
2014-11-20,22:00:00,64.2,64.22,64.162,64.162,1385,0
2014-11-21,16:00:00,64.895,64.895,64.836,64.836,630,0
2014-11-21,17:00:00,64.769,64.769,64.769,64.769,519,0
2014-11-21,19:00:00,64.576,64.576,64.576,64.576,154,0
2014-11-21,20:00:00,64.537,64.537,64.537,64.537,414,0
2014-11-21,21:00:00,64.615,64.662,64.605,64.635,2231,0
2014-11-21,22:00:00,64.605,64.643,64.605,64.643,1191,0
2014-11-24,16:00:00,64.692,64.692,64.692,64.692,796,0
2014-11-24,17:00:00,64.692,64.778,64.692,64.778,878,0
2014-11-24,18:00:00,64.711,64.711,64.643,64.711,4389,0
2014-11-24,19:00:00,64.662,64.662,64.662,64.662,173,0
2014-11-24,20:00:00,64.586,64.586,64.586,64.586,3653,0
2014-11-24,22:00:00,64.682,64.72,64.682,64.72,414,0
2014-11-25,17:00:00,64.625,64.625,64.625,64.625,414,0
2014-11-25,18:00:00,64.635,64.635,64.615,64.615,622,0
2014-11-25,20:00:00,64.653,64.769,64.653,64.76,793,0
2014-11-25,21:00:00,64.769,64.769,64.643,64.643,647,0
2014-11-25,22:00:00,64.72,64.72,64.672,64.711,2558,0
2014-11-26,17:00:00,64.913,64.933,64.913,64.933,726,0
2014-11-26,18:00:00,64.933,64.933,64.865,64.933,2830,0
2014-11-26,19:00:00,64.933,65.01,64.855,65,2097,0
2014-11-26,20:00:00,65.01,65.038,65.01,65.038,726,0
2014-11-26,21:00:00,65.048,65.048,65.048,65.048,115,0
2014-11-26,22:00:00,65.048,65.048,65.048,65.048,596,0
2014-11-28,16:00:00,64.778,64.778,64.769,64.769,207,0
2014-11-28,17:00:00,64.76,64.788,64.76,64.788,218,0
2014-11-28,18:00:00,64.836,64.836,64.827,64.827,207,0
2014-11-28,19:00:00,64.76,64.76,64.576,64.576,4254,0
2014-12-01,16:00:00,64.461,64.605,64.461,64.605,1987,0
2014-12-01,17:00:00,64.576,64.576,64.499,64.508,1289,0
2014-12-01,18:00:00,64.461,64.461,64.461,64.461,414,0
2014-12-01,20:00:00,64.682,64.682,64.682,64.682,141,0
2014-12-01,22:00:00,64.518,64.518,64.518,64.518,155,0
2014-12-02,16:00:00,64.258,64.258,64.258,64.258,414,0
2014-12-02,18:00:00,64.354,64.393,64.354,64.393,739,0
2014-12-02,19:00:00,64.278,64.278,64.278,64.278,310,0
2014-12-02,20:00:00,64.422,64.422,64.422,64.422,1496,0
2014-12-03,16:00:00,64.413,64.413,64.413,64.413,105,0
2014-12-03,17:00:00,64.451,64.596,64.451,64.596,1399,0
2014-12-03,18:00:00,64.567,64.567,64.489,64.499,2805,0
2014-12-03,21:00:00,64.576,64.576,64.576,64.576,208,0
2014-12-03,22:00:00,64.635,64.635,64.615,64.625,1660,0
2014-12-04,16:00:00,64.576,64.576,64.576,64.576,1039,0
2014-12-04,17:00:00,64.499,64.499,64.461,64.461,2384,0
2014-12-04,18:00:00,64.479,64.537,64.479,64.537,317,0
2014-12-04,19:00:00,64.576,64.653,64.547,64.653,2199,0
2014-12-04,22:00:00,64.518,64.528,64.403,64.528,967,0
2014-12-05,16:00:00,64.383,64.383,64.383,64.383,313,0
2014-12-05,17:00:00,64.181,64.325,64.181,64.287,10266,0
2014-12-05,20:00:00,64.287,64.287,64.287,64.287,469,0
2014-12-05,22:00:00,64.335,64.335,64.335,64.335,1557,0
2014-12-08,16:00:00,63.959,64.056,63.959,64.056,935,0
2014-12-08,17:00:00,64.065,64.065,64.017,64.017,833,0
2014-12-08,18:00:00,64.085,64.122,64.085,64.095,3591,0
2014-12-08,22:00:00,63.872,63.93,63.814,63.814,2351,0
2014-12-09,17:00:00,63.4,63.477,63.381,63.381,3446,0
2014-12-09,18:00:00,63.458,63.458,63.381,63.381,620,0
2014-12-09,21:00:00,63.487,63.506,63.343,63.506,785,0
2014-12-10,16:00:00,63.314,63.448,63.284,63.284,2641,0
2014-12-10,17:00:00,63.314,63.314,63.314,63.314,530,0
2014-12-10,19:00:00,63.169,63.179,63.169,63.179,1662,0
2014-12-10,20:00:00,63.14,63.14,63.14,63.14,844,0
2014-12-10,21:00:00,62.706,62.706,62.706,62.706,1853,0
2014-12-11,17:00:00,63.006,63.006,62.898,62.898,980,0
2014-12-11,18:00:00,63.159,63.159,63.159,63.159,858,0
2014-12-11,20:00:00,63.121,63.121,63.101,63.101,695,0
2014-12-11,22:00:00,62.938,63.024,62.764,62.773,6724,0
2014-12-12,17:00:00,62.648,62.648,62.61,62.61,270,0
2014-12-12,18:00:00,62.407,62.407,62.378,62.407,1979,0
2014-12-12,20:00:00,62.215,62.215,62.215,62.215,105,0
2014-12-12,21:00:00,62.253,62.253,62.253,62.253,187,0
2014-12-12,22:00:00,62.176,62.195,62.176,62.176,796,0
2014-12-15,16:00:00,62.012,62.012,62.012,62.012,105,0
2014-12-15,17:00:00,61.907,61.907,61.907,61.907,521,0
2014-12-15,18:00:00,61.059,61.096,61.059,61.059,1817,0
2014-12-15,19:00:00,61.212,61.212,61.212,61.212,6518,0
2014-12-15,21:00:00,61.338,61.338,61.338,61.338,521,0
2014-12-15,22:00:00,61.193,61.193,61.193,61.193,830,0
2014-12-16,16:00:00,61.242,61.367,61.242,61.367,313,0
2014-12-16,17:00:00,61.279,61.415,61.27,61.415,625,0
2014-12-16,18:00:00,62.07,62.07,62.041,62.041,511,0
2014-12-16,19:00:00,62.012,62.012,62.012,62.012,130,0
2014-12-16,20:00:00,61.665,61.674,61.665,61.674,3117,0
2014-12-16,21:00:00,61.752,61.772,61.646,61.646,1870,0
2014-12-16,22:00:00,61.733,61.752,61.463,61.463,6231,0
2014-12-17,17:00:00,61.809,61.829,61.809,61.829,440,0
2014-12-17,18:00:00,61.917,62.012,61.917,61.992,6438,0
2014-12-17,19:00:00,61.992,61.992,61.992,61.992,2178,0
2014-12-17,21:00:00,62.041,62.09,62.041,62.041,21264,0
2014-12-17,22:00:00,61.857,61.857,61.857,61.857,482,0
2014-12-18,17:00:00,62.918,62.986,62.918,62.986,883,0
2014-12-18,18:00:00,62.831,62.938,62.793,62.938,834,0
2014-12-18,19:00:00,63.063,63.082,62.986,63.082,1956,0
2014-12-18,20:00:00,63.073,63.073,63.053,63.053,937,0
2014-12-18,21:00:00,63.043,63.073,63.024,63.024,416,0
2014-12-18,22:00:00,63.111,63.256,63.111,63.256,1717,0
2014-12-19,16:00:00,63.098,63.098,63.098,63.098,204,0
2014-12-19,18:00:00,63.245,63.245,63.245,63.245,641,0
2014-12-19,19:00:00,63.167,63.167,63.167,63.167,511,0
2014-12-19,20:00:00,63.245,63.324,63.235,63.324,561,0
2014-12-19,21:00:00,63.5,63.5,63.5,63.5,153,0
2014-12-19,22:00:00,63.451,63.451,63.441,63.441,484,0
2014-12-22,16:00:00,63.451,63.451,63.441,63.441,408,0
2014-12-22,17:00:00,63.421,63.421,63.393,63.393,408,0
2014-12-22,18:00:00,63.451,63.451,63.451,63.451,1022,0
2014-12-22,19:00:00,63.451,63.451,63.373,63.373,816,0
2014-12-22,20:00:00,63.539,63.539,63.539,63.539,1634,0
2014-12-22,22:00:00,63.588,63.607,63.588,63.588,816,0
2014-12-23,16:00:00,63.5,63.539,63.5,63.539,2185,0
2014-12-23,17:00:00,63.52,63.52,63.52,63.52,1188,0
2014-12-23,18:00:00,63.598,63.598,63.598,63.598,204,0
2014-12-23,19:00:00,63.617,63.657,63.617,63.657,6888,0
2014-12-23,22:00:00,63.686,63.726,63.647,63.676,2910,0
2014-12-24,16:00:00,63.823,63.882,63.754,63.803,2211,0
2014-12-24,17:00:00,63.912,63.912,63.892,63.892,4544,0
2014-12-24,18:00:00,63.98,63.98,63.98,63.98,6536,0
2014-12-24,19:00:00,64.009,64.049,64.009,64.049,1123,0
2014-12-26,16:00:00,64.45,64.45,64.45,64.45,536,0
2014-12-26,17:00:00,64.322,64.322,64.313,64.313,511,0
2014-12-26,18:00:00,64.332,64.332,64.303,64.332,1276,0
2014-12-26,19:00:00,64.332,64.332,64.332,64.332,816,0
2014-12-26,20:00:00,64.332,64.332,64.332,64.332,1606,0
2014-12-26,21:00:00,64.313,64.313,64.284,64.313,5830,0
2014-12-26,22:00:00,64.313,64.322,64.274,64.274,6866,0
2014-12-29,16:00:00,64.235,64.362,64.235,64.362,1965,0
2014-12-29,17:00:00,64.352,64.362,64.352,64.362,511,0
2014-12-29,18:00:00,64.381,64.46,64.381,64.46,418,0
2014-12-29,19:00:00,64.479,64.508,64.479,64.508,2952,0
2014-12-29,20:00:00,64.372,64.372,64.372,64.372,541,0
2014-12-29,22:00:00,64.411,64.411,64.391,64.391,1023,0
2014-12-30,16:00:00,63.96,64.019,63.96,63.999,1327,0
2014-12-30,17:00:00,63.98,64.039,63.98,64.039,1327,0
2014-12-30,18:00:00,64.039,64.039,63.94,63.94,11482,0
2014-12-30,21:00:00,63.862,63.862,63.803,63.803,410,0
2014-12-30,22:00:00,63.843,63.922,63.843,63.902,7475,0
2014-12-31,16:00:00,63.922,63.922,63.922,63.922,307,0
2014-12-31,17:00:00,63.922,63.97,63.922,63.96,2438,0
2014-12-31,18:00:00,63.922,63.93,63.922,63.93,3472,0
2014-12-31,19:00:00,63.902,63.902,63.902,63.902,1634,0
2014-12-31,20:00:00,63.559,63.559,63.559,63.559,4319,0
2014-12-31,22:00:00,63.441,63.53,63.402,63.402,2737,0
2015-01-02,16:00:00,63.421,63.421,63.314,63.353,1022,0
2015-01-02,17:00:00,63.255,63.255,63.235,63.235,907,0
2015-01-02,18:00:00,63.167,63.167,63.167,63.167,664,0
2015-01-02,20:00:00,62.932,62.932,62.922,62.922,9479,0
2015-01-05,16:00:00,62.668,62.668,62.227,62.227,1148,0
2015-01-05,17:00:00,62.256,62.256,62.256,62.256,2150,0
2015-01-05,18:00:00,62.041,62.041,62.041,62.041,1164,0
2015-01-05,19:00:00,62.011,62.011,61.923,61.923,568,0
2015-01-05,20:00:00,61.845,61.845,61.845,61.845,1327,0
2015-01-05,21:00:00,61.767,61.855,61.767,61.855,3110,0
2015-01-06,16:00:00,62.08,62.08,62.08,62.08,899,0
2015-01-06,17:00:00,62.178,62.246,62.178,62.237,1788,0
2015-01-06,18:00:00,61.933,61.933,61.708,61.864,1531,0
2015-01-06,19:00:00,61.688,61.688,61.581,61.581,563,0
2015-01-06,20:00:00,61.629,61.629,61.512,61.551,4899,0
2015-01-06,21:00:00,61.629,61.787,61.629,61.787,1022,0
2015-01-06,22:00:00,61.757,61.884,61.718,61.815,5071,0
2015-01-07,16:00:00,62.344,62.344,62.344,62.344,4038,0
2015-01-07,17:00:00,62.207,62.207,62.129,62.129,511,0
2015-01-07,18:00:00,62.11,62.11,62.011,62.011,1656,0
2015-01-07,20:00:00,62.315,62.315,62.286,62.286,137306,0
2015-01-07,21:00:00,62.492,62.609,62.403,62.403,9034,0
2015-01-07,22:00:00,62.54,62.55,62.433,62.472,3727,0
2015-01-08,16:00:00,63.216,63.216,63.216,63.216,582,0
2015-01-08,17:00:00,63.207,63.207,63.088,63.088,2083,0
2015-01-08,20:00:00,63.108,63.118,63.04,63.118,11232,0
2015-01-08,22:00:00,63.138,63.138,63.138,63.138,133,0
2015-01-09,17:00:00,62.873,62.892,62.775,62.775,759,0
2015-01-09,18:00:00,62.678,62.678,62.678,62.678,612,0
2015-01-09,19:00:00,62.785,62.785,62.785,62.785,3624,0
2015-01-09,21:00:00,62.932,62.952,62.932,62.952,2246,0
2015-01-12,18:00:00,62.609,62.609,62.502,62.502,816,0
2015-01-12,19:00:00,62.53,62.589,62.482,62.482,2973,0
2015-01-12,20:00:00,62.511,62.569,62.482,62.53,4767,0
2015-01-12,21:00:00,62.511,62.589,62.482,62.492,2018,0
2015-01-12,22:00:00,62.56,62.599,62.55,62.599,2427,0
2015-01-13,16:00:00,63.314,63.314,63.314,63.314,511,0
2015-01-13,17:00:00,63.314,63.383,63.314,63.383,1385,0
2015-01-13,18:00:00,63.353,63.363,63.245,63.245,2604,0
2015-01-13,21:00:00,62.589,62.599,62.579,62.599,622,0
2015-01-13,22:00:00,62.579,62.648,62.579,62.648,13989,0
2015-01-14,16:00:00,62.393,62.393,62.383,62.383,1103,0
2015-01-14,17:00:00,62.658,62.678,62.648,62.678,1226,0
2015-01-14,18:00:00,62.579,62.638,62.53,62.638,4161,0
2015-01-14,21:00:00,62.276,62.55,62.276,62.55,1287,0
2015-01-14,22:00:00,62.53,62.765,62.53,62.765,2001,0
2015-01-15,17:00:00,63.207,63.207,63.177,63.177,1001,0
