Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-13,16:00:00,12.15,12.16,12.09,12.1,13798,0
2015-01-13,17:00:00,12.1,12.1,12.02,12.02,4780,0
2015-01-13,18:00:00,12.0,12.0,11.96,12.0,5001,0
2015-01-13,19:00:00,12.02,12.02,11.98,11.98,1100,0
2015-01-13,20:00:00,11.93,11.95,11.89,11.92,17398,0
2015-01-13,21:00:00,11.91,11.91,11.82,11.84,11400,0
2015-01-13,22:00:00,11.82,11.85,11.82,11.83,8588,0
2015-01-14,16:00:00,11.72,11.75,11.67,11.74,8291,0
2015-01-14,17:00:00,11.75,11.78,11.62,11.66,19107,0
2015-01-14,18:00:00,11.63,11.63,11.61,11.63,1000,0
2015-01-14,19:00:00,11.61,11.64,11.61,11.61,1735,0
2015-01-14,20:00:00,11.62,11.62,11.61,11.61,1250,0
2015-01-14,21:00:00,11.61,11.61,11.58,11.6,7042,0
2015-01-14,22:00:00,11.61,11.63,11.6,11.62,21353,0
2015-01-15,16:00:00,11.65,11.65,11.59,11.59,7000,0
2015-01-15,17:00:00,11.62,11.63,11.55,11.55,4100,0
2015-01-15,18:00:00,11.54,11.54,11.5,11.5,8342,0
2015-01-15,19:00:00,11.5,11.5,11.44,11.44,1600,0
2015-01-15,20:00:00,11.45,11.47,11.42,11.45,16916,0
2015-01-15,21:00:00,11.47,11.52,11.47,11.52,8160,0
2015-01-15,22:00:00,11.51,11.51,11.49,11.49,6377,0
2015-01-16,16:00:00,11.52,11.6,11.51,11.6,16628,0
2015-01-16,17:00:00,11.63,11.64,11.59,11.63,32500,0
2015-01-16,18:00:00,11.61,11.61,11.52,11.55,3960,0
2015-01-16,19:00:00,11.55,11.56,11.55,11.56,2900,0
2015-01-16,20:00:00,11.56,11.58,11.52,11.56,15126,0
2015-01-16,21:00:00,11.56,11.57,11.42,11.46,9812,0
2015-01-16,22:00:00,11.45,11.47,11.44,11.47,10442,0
2015-01-20,16:00:00,11.41,11.43,11.34,11.37,5827,0
2015-01-20,17:00:00,11.38,11.38,11.29,11.32,20800,0
2015-01-20,18:00:00,11.34,11.34,11.33,11.33,2700,0
2015-01-20,19:00:00,11.43,11.54,11.43,11.54,4168,0
2015-01-20,20:00:00,11.57,11.61,11.57,11.61,6749,0
2015-01-20,21:00:00,11.59,11.6,11.57,11.57,4900,0
2015-01-20,22:00:00,11.58,11.58,11.57,11.58,1900,0
2015-01-21,16:00:00,11.73,11.73,11.66,11.7,102410,0
2015-01-21,17:00:00,11.68,11.68,11.58,11.59,4561,0
2015-01-21,18:00:00,11.61,11.62,11.6,11.61,21093,0
2015-01-21,19:00:00,11.62,11.63,11.61,11.61,22543,0
2015-01-21,20:00:00,11.6,11.6,11.59,11.59,500,0
2015-01-21,21:00:00,11.59,11.6,11.57,11.57,37760,0
2015-01-21,22:00:00,11.57,11.57,11.54,11.54,3620,0
2015-01-22,16:00:00,11.66,11.66,11.52,11.53,13200,0
2015-01-22,17:00:00,11.57,11.59,11.57,11.58,2300,0
2015-01-22,18:00:00,11.58,11.65,11.57,11.65,2200,0
2015-01-22,19:00:00,11.59,11.59,11.59,11.59,100,0
2015-01-22,21:00:00,11.53,11.53,11.51,11.51,200,0
2015-01-22,22:00:00,11.53,11.53,11.49,11.5,14810,0
2015-01-23,16:00:00,11.45,11.45,11.39,11.43,14400,0
2015-01-23,17:00:00,11.44,11.53,11.44,11.51,3229,0
2015-01-23,18:00:00,11.54,11.54,11.48,11.48,1000,0
2015-01-23,20:00:00,11.42,11.42,11.41,11.41,6115,0
2015-01-23,21:00:00,11.43,11.43,11.43,11.43,3237,0
2015-01-23,22:00:00,11.42,11.42,11.4,11.41,5864,0
2015-01-26,16:00:00,11.42,11.44,11.37,11.44,27404,0
2015-01-26,17:00:00,11.37,11.37,11.36,11.36,20850,0
2015-01-26,18:00:00,11.32,11.35,11.31,11.31,5100,0
2015-01-26,19:00:00,11.31,11.31,11.26,11.26,4300,0
2015-01-26,21:00:00,11.28,11.28,11.24,11.24,3475,0
2015-01-26,22:00:00,11.24,11.25,11.24,11.25,2400,0
2015-01-27,16:00:00,11.27,11.27,11.23,11.23,13254,0
2015-01-27,17:00:00,11.24,11.28,11.24,11.28,7500,0
2015-01-27,18:00:00,11.24,11.24,11.24,11.24,300,0
2015-01-27,19:00:00,11.28,11.28,11.28,11.28,200,0
2015-01-27,21:00:00,11.24,11.26,11.24,11.26,1000,0
2015-01-27,22:00:00,11.23,11.24,11.22,11.24,5290,0
2015-01-28,16:00:00,11.2,11.21,11.09,11.09,18156,0
2015-01-28,17:00:00,11.06,11.08,11.01,11.04,13126,0
2015-01-28,18:00:00,11.03,11.03,11.0,11.02,3200,0
2015-01-28,19:00:00,11.0,11.0,10.94,10.95,14625,0
2015-01-28,20:00:00,10.96,11.01,10.96,11.01,9350,0
2015-01-28,21:00:00,11.0,11.02,10.98,10.98,3586,0
2015-01-28,22:00:00,10.98,11.01,10.96,11.0,8164,0
2015-01-29,16:00:00,10.99,11.08,10.99,11.04,10622,0
2015-01-29,17:00:00,11.05,11.06,10.97,10.97,4000,0
2015-01-29,18:00:00,10.96,11.09,10.96,11.07,900,0
2015-01-29,19:00:00,11.08,11.1,11.07,11.08,4825,0
2015-01-29,20:00:00,11.09,11.09,11.09,11.09,1500,0
2015-01-29,21:00:00,11.07,11.07,11.07,11.07,200,0
2015-01-30,16:00:00,11.07,11.07,10.96,10.96,5129,0
2015-01-30,17:00:00,10.93,10.93,10.88,10.9,2880,0
2015-01-30,18:00:00,10.89,10.89,10.85,10.85,5770,0
2015-01-30,19:00:00,10.86,10.88,10.82,10.82,14208,0
2015-01-30,20:00:00,10.82,10.87,10.81,10.86,33313,0
2015-01-30,21:00:00,10.87,10.95,10.87,10.93,21785,0
2015-01-30,22:00:00,10.93,10.98,10.93,10.95,1700,0
2015-02-02,16:00:00,10.81,10.82,10.81,10.82,20912,0
2015-02-02,17:00:00,10.82,10.91,10.81,10.87,22400,0
2015-02-02,18:00:00,10.8,10.83,10.76,10.76,5299,0
2015-02-02,19:00:00,10.76,10.76,10.72,10.74,14429,0
2015-02-02,20:00:00,10.73,10.75,10.71,10.71,5279,0
2015-02-02,21:00:00,10.7,10.72,10.7,10.72,31482,0
2015-02-02,22:00:00,10.71,10.72,10.7,10.72,7150,0
2015-02-03,16:00:00,10.87,10.88,10.81,10.84,55794,0
2015-02-03,17:00:00,10.83,11.01,10.83,10.97,23474,0
2015-02-03,18:00:00,10.96,11.02,10.96,11.01,2085,0
2015-02-03,19:00:00,11.06,11.11,11.05,11.11,3282,0
2015-02-03,20:00:00,11.12,11.14,11.1,11.1,7505,0
2015-02-03,21:00:00,11.13,11.13,11.11,11.11,4380,0
2015-02-03,22:00:00,11.09,11.12,11.09,11.11,10300,0
2015-02-04,16:00:00,11.11,11.14,11.02,11.05,20493,0
2015-02-04,17:00:00,11.05,11.19,11.04,11.18,6258,0
2015-02-04,18:00:00,11.11,11.11,11.11,11.11,1100,0
2015-02-04,19:00:00,11.16,11.16,11.07,11.07,9600,0
2015-02-04,20:00:00,11.01,11.06,11.0,11.03,12015,0
2015-02-04,21:00:00,11.02,11.08,10.97,11.08,14100,0
2015-02-04,22:00:00,11.07,11.09,11.07,11.07,18200,0
2015-02-05,16:00:00,11.23,11.3,11.14,11.25,24200,0
2015-02-05,17:00:00,11.29,11.36,11.26,11.26,41344,0
2015-02-05,18:00:00,11.26,11.29,11.2,11.25,2530,0
2015-02-05,19:00:00,11.2,11.22,11.14,11.2,8875,0
2015-02-05,20:00:00,11.19,11.29,11.19,11.25,2898,0
2015-02-05,21:00:00,11.23,11.32,11.23,11.31,4938,0
2015-02-05,22:00:00,11.31,11.31,11.29,11.31,6411,0
2015-02-06,16:00:00,11.35,11.35,11.19,11.19,7845,0
2015-02-06,17:00:00,11.16,11.26,11.16,11.25,5170,0
2015-02-06,18:00:00,11.27,11.28,11.25,11.25,761,0
2015-02-06,19:00:00,11.32,11.32,11.32,11.32,150,0
2015-02-06,20:00:00,11.3,11.32,11.3,11.32,4100,0
2015-02-06,21:00:00,11.34,11.34,11.32,11.34,1350,0
2015-02-06,22:00:00,11.32,11.36,11.32,11.36,3782,0
2015-02-09,16:00:00,11.29,11.32,11.29,11.32,15397,0
2015-02-09,17:00:00,11.36,11.39,11.28,11.28,22147,0
2015-02-09,18:00:00,11.28,11.28,11.28,11.28,1000,0
2015-02-09,20:00:00,11.35,11.37,11.35,11.36,5295,0
2015-02-09,21:00:00,11.37,11.37,11.35,11.35,2450,0
2015-02-09,22:00:00,11.35,11.37,11.35,11.37,4495,0
2015-02-10,16:00:00,11.29,11.29,11.26,11.26,9460,0
2015-02-10,17:00:00,11.26,11.27,11.26,11.27,1860,0
2015-02-10,18:00:00,11.32,11.33,11.29,11.3,15130,0
2015-02-10,19:00:00,11.17,11.25,11.15,11.22,2195,0
2015-02-10,20:00:00,11.23,11.23,11.23,11.23,3300,0
2015-02-10,21:00:00,11.2,11.22,11.2,11.22,720,0
2015-02-10,22:00:00,11.19,11.22,11.19,11.22,2696,0
2015-02-11,16:00:00,11.1,11.2,11.07,11.2,3632,0
2015-02-11,17:00:00,11.16,11.16,11.15,11.15,1400,0
2015-02-11,18:00:00,11.19,11.19,11.19,11.19,1550,0
2015-02-11,19:00:00,11.25,11.25,11.21,11.21,1400,0
2015-02-11,20:00:00,11.25,11.25,11.25,11.25,1200,0
2015-02-11,22:00:00,11.23,11.24,11.22,11.22,2300,0
2015-02-12,17:00:00,11.14,11.15,11.13,11.13,6371,0
2015-02-12,18:00:00,11.15,11.15,11.1,11.11,26302,0
2015-02-12,19:00:00,11.12,11.12,11.1,11.1,600,0
2015-02-12,20:00:00,11.13,11.13,11.12,11.12,900,0
2015-02-12,21:00:00,11.13,11.13,11.13,11.13,400,0
2015-02-12,22:00:00,11.13,11.13,11.12,11.12,3930,0
2015-02-13,16:00:00,11.28,11.3,11.28,11.3,12108,0
2015-02-13,17:00:00,11.28,11.28,11.25,11.26,6800,0
2015-02-13,18:00:00,11.25,11.31,11.25,11.31,1400,0
2015-02-13,19:00:00,11.33,11.33,11.29,11.29,7102,0
2015-02-13,20:00:00,11.25,11.31,11.25,11.28,4800,0
2015-02-13,21:00:00,11.34,11.34,11.34,11.34,600,0
2015-02-13,22:00:00,11.32,11.34,11.31,11.33,6273,0
2015-02-17,16:00:00,11.57,11.63,11.46,11.48,12654,0
2015-02-17,17:00:00,11.43,11.43,11.37,11.4,7428,0
2015-02-17,18:00:00,11.4,11.4,11.33,11.36,12550,0
2015-02-17,19:00:00,11.4,11.4,11.38,11.38,600,0
2015-02-17,20:00:00,11.37,11.37,11.37,11.37,2100,0
2015-02-17,21:00:00,11.39,11.39,11.37,11.37,1100,0
2015-02-17,22:00:00,11.39,11.4,11.37,11.37,8700,0
2015-02-18,16:00:00,11.36,11.36,11.33,11.35,1030,0
2015-02-18,17:00:00,11.31,11.31,11.2,11.2,5574,0
2015-02-18,18:00:00,11.18,11.18,11.13,11.14,2360,0
2015-02-18,19:00:00,11.16,11.18,11.16,11.17,1400,0
2015-02-18,20:00:00,11.16,11.17,11.16,11.16,2000,0
2015-02-18,22:00:00,11.22,11.22,11.22,11.22,1100,0
2015-02-19,16:00:00,11.15,11.19,11.15,11.19,2000,0
2015-02-19,17:00:00,11.22,11.22,11.21,11.21,6400,0
2015-02-19,19:00:00,11.22,11.22,11.2,11.2,1066,0
2015-02-19,20:00:00,11.16,11.16,11.16,11.16,3000,0
2015-02-19,21:00:00,11.13,11.13,11.09,11.11,9443,0
2015-02-19,22:00:00,11.12,11.12,11.1,11.12,4129,0
2015-02-20,16:00:00,11.05,11.05,10.98,10.98,13742,0
2015-02-20,17:00:00,11.01,11.01,10.91,10.92,8325,0
2015-02-20,18:00:00,10.94,10.94,10.93,10.93,800,0
2015-02-20,19:00:00,10.93,10.93,10.84,10.84,17600,0
2015-02-20,20:00:00,10.86,10.91,10.86,10.87,5570,0
2015-02-20,21:00:00,10.87,10.89,10.85,10.86,1100,0
2015-02-20,22:00:00,10.88,10.88,10.83,10.83,16413,0
2015-02-23,16:00:00,10.87,10.94,10.87,10.92,16558,0
2015-02-23,17:00:00,10.92,10.92,10.82,10.88,23170,0
2015-02-23,18:00:00,10.82,10.82,10.8,10.81,3220,0
2015-02-23,19:00:00,10.8,10.8,10.79,10.79,2100,0
2015-02-23,20:00:00,10.81,10.81,10.79,10.81,2700,0
2015-02-23,21:00:00,10.8,10.82,10.78,10.78,12643,0
2015-02-23,22:00:00,10.82,10.82,10.79,10.82,4244,0
2015-02-24,16:00:00,10.88,10.9,10.85,10.85,30199,0
2015-02-24,17:00:00,10.83,10.94,10.81,10.9,13827,0
2015-02-24,18:00:00,10.87,10.91,10.82,10.91,5209,0
2015-02-24,19:00:00,10.94,10.94,10.92,10.92,400,0
2015-02-24,20:00:00,10.93,10.93,10.89,10.89,4200,0
2015-02-24,21:00:00,10.82,10.82,10.81,10.82,8808,0
2015-02-24,22:00:00,10.83,10.83,10.82,10.83,5500,0
2015-02-25,16:00:00,10.79,10.79,10.72,10.73,6920,0
2015-02-25,17:00:00,10.74,10.74,10.68,10.68,13773,0
2015-02-25,18:00:00,10.7,10.71,10.69,10.7,4770,0
2015-02-25,19:00:00,10.68,10.69,10.66,10.66,5100,0
2015-02-25,20:00:00,10.66,10.67,10.65,10.65,11444,0
2015-02-25,21:00:00,10.67,10.67,10.67,10.67,877,0
2015-02-25,22:00:00,10.69,10.7,10.66,10.66,9944,0
2015-02-26,16:00:00,10.66,10.67,10.61,10.67,6954,0
2015-02-26,17:00:00,10.66,10.66,10.58,10.59,98995,0
2015-02-26,18:00:00,10.58,10.72,10.53,10.72,14639,0
2015-02-26,19:00:00,10.74,10.74,10.65,10.67,8450,0
2015-02-26,20:00:00,10.67,10.74,10.67,10.72,11900,0
2015-02-26,21:00:00,10.74,10.76,10.74,10.75,6000,0
2015-02-26,22:00:00,10.75,10.77,10.74,10.77,12475,0
2015-02-27,16:00:00,10.87,10.87,10.77,10.77,5100,0
2015-02-27,17:00:00,10.78,10.9,10.78,10.9,13366,0
2015-02-27,18:00:00,10.89,10.93,10.89,10.91,17280,0
2015-02-27,19:00:00,10.93,11.02,10.93,11.02,2290,0
2015-02-27,20:00:00,11.02,11.08,11.01,11.08,17150,0
2015-02-27,21:00:00,11.1,11.1,10.97,11.0,8850,0
2015-02-27,22:00:00,10.97,11.01,10.96,10.97,4410,0
2015-03-02,16:00:00,11.03,11.08,11,11,11798,0
2015-03-02,17:00:00,10.97,10.97,10.88,10.89,7972,0
2015-03-02,18:00:00,10.86,10.86,10.8,10.8,3180,0
2015-03-02,19:00:00,10.81,10.82,10.79,10.79,13273,0
2015-03-02,20:00:00,10.8,10.8,10.75,10.75,2238,0
2015-03-02,21:00:00,10.75,10.75,10.74,10.74,800,0
2015-03-02,22:00:00,10.75,10.75,10.74,10.74,850,0
2015-03-03,16:00:00,10.79,10.83,10.72,10.72,6283,0
2015-03-03,17:00:00,10.7199,10.7199,10.59,10.61,33300,0
2015-03-03,18:00:00,10.61,10.77,10.61,10.77,7900,0
2015-03-03,19:00:00,10.81,10.81,10.76,10.76,5300,0
2015-03-03,21:00:00,10.84,10.84,10.81,10.8224,10090,0
2015-03-03,22:00:00,10.8214,10.83,10.8214,10.8299,4500,0
2015-03-04,16:00:00,10.71,10.71,10.68,10.6996,6600,0
2015-03-04,17:00:00,10.68,10.68,10.654,10.66,2580,0
2015-03-04,18:00:00,10.7,10.705,10.6914,10.6914,620,0
2015-03-04,19:00:00,10.68,10.7,10.66,10.69,700,0
2015-03-04,20:00:00,10.678,10.678,10.66,10.66,300,0
2015-03-04,21:00:00,10.71,10.72,10.7,10.72,5633,0
2015-03-04,22:00:00,10.71,10.72,10.71,10.71,3782,0
2015-03-05,16:00:00,10.71,10.71,10.56,10.6115,20677,0
2015-03-05,17:00:00,10.57,10.5799,10.4521,10.472,34422,0
2015-03-05,18:00:00,10.4794,10.5126,10.46,10.46,21350,0
2015-03-05,19:00:00,10.45,10.46,10.41,10.418,11750,0
2015-03-05,20:00:00,10.44,10.46,10.4277,10.46,3640,0
2015-03-05,21:00:00,10.42,10.42,10.4,10.4074,6100,0
2015-03-05,22:00:00,10.41,10.41,10.4,10.401,6019,0
2015-03-06,16:00:00,10.37,10.39,10.31,10.3501,10129,0
2015-03-06,17:00:00,10.36,10.43,10.34,10.43,2000,0
2015-03-06,18:00:00,10.3898,10.3898,10.35,10.35,1855,0
2015-03-06,19:00:00,10.3698,10.38,10.3698,10.38,700,0
2015-03-06,20:00:00,10.3814,10.39,10.3814,10.39,200,0
2015-03-06,21:00:00,10.3697,10.3799,10.36,10.3799,3100,0
2015-03-06,22:00:00,10.38,10.38,10.33,10.36,2100,0
2015-03-09,15:00:00,10.54,10.54,10.5,10.53,14800,0
2015-03-09,16:00:00,10.57,10.57,10.511,10.527,1410,0
2015-03-09,17:00:00,10.55,10.59,10.55,10.5547,3400,0
2015-03-09,18:00:00,10.57,10.5799,10.56,10.56,3182,0
2015-03-09,19:00:00,10.55,10.61,10.55,10.5999,5950,0
2015-03-09,20:00:00,10.59,10.59,10.5298,10.5298,1100,0
2015-03-09,21:00:00,10.54,10.55,10.5354,10.55,2434,0
2015-03-10,15:00:00,10.41,10.95,10.36,10.45,4647,0
2015-03-10,16:00:00,10.44,10.45,10.41,10.432,16476,0
2015-03-10,17:00:00,10.46,10.469,10.43,10.45,4100,0
2015-03-10,18:00:00,10.49,10.6257,10.49,10.585,16850,0
2015-03-10,19:00:00,10.58,10.58,10.5,10.5,895,0
