Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,73.677,73.864,72.108,72.335,10634565,0
2015-01-15,17:00:00,72.335,73.075,72.206,72.345,8751363,0
2015-01-15,18:00:00,72.345,72.878,72.029,72.483,5960353,0
2015-01-15,19:00:00,72.483,72.769,72.306,72.532,3798981,0
2015-01-15,20:00:00,72.532,72.789,71.881,72.108,4487454,0
2015-01-15,21:00:00,72.118,72.444,72.01,72.335,3248024,0
2015-01-15,22:00:00,72.335,72.394,71.832,71.891,18454179,0
2015-01-16,16:00:00,72.315,73.331,72.266,72.828,5063080,0
2015-01-16,17:00:00,72.848,74.061,72.838,73.845,9951402,0
2015-01-16,18:00:00,73.845,73.963,73.361,73.529,6386889,0
2015-01-16,19:00:00,73.529,73.933,73.43,73.835,3043816,0
2015-01-16,20:00:00,73.835,74.003,73.539,73.894,3114497,0
2015-01-16,21:00:00,73.904,74.209,73.805,74.091,4130158,0
2015-01-16,22:00:00,74.081,74.328,74.013,74.229,8939549,0
2015-01-20,16:00:00,73.845,73.923,72.947,73.411,5409820,0
2015-01-20,17:00:00,73.42,73.943,73.114,73.559,6400344,0
2015-01-20,18:00:00,73.549,74.141,73.371,73.707,4249541,0
2015-01-20,19:00:00,73.707,73.953,73.647,73.815,2652915,0
2015-01-20,20:00:00,73.805,74.042,73.677,73.933,1805770,0
2015-01-20,21:00:00,73.933,74.209,73.845,74.209,2568300,0
2015-01-20,22:00:00,74.2,74.357,74.061,74.318,3456885,0
2015-01-21,16:00:00,74.841,75.473,74.496,75.365,5170460,0
2015-01-21,17:00:00,75.355,75.729,75.087,75.729,5039441,0
2015-01-21,18:00:00,75.719,75.827,75.374,75.661,4168658,0
2015-01-21,19:00:00,75.661,75.847,75.483,75.571,2608967,0
2015-01-21,20:00:00,75.561,75.631,75.167,75.235,2125824,0
2015-01-21,21:00:00,75.226,75.641,75.147,75.621,2732326,0
2015-01-21,22:00:00,75.611,75.847,75.433,75.827,3857487,0
2015-01-22,16:00:00,76.311,76.42,75.413,75.453,5223452,0
2015-01-22,17:00:00,75.463,75.985,75.355,75.779,5597670,0
2015-01-22,18:00:00,75.759,75.759,74.901,75.019,6590421,0
2015-01-22,19:00:00,75.019,75.571,74.792,75.355,3679468,0
2015-01-22,20:00:00,75.355,75.453,75.059,75.315,2768969,0
