Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,69.366,69.644,68.7,68.829,1625072,0
2015-01-15,17:00:00,68.809,69.276,68.69,68.958,1409629,0
2015-01-15,18:00:00,68.958,69.008,68.621,68.73,1098567,0
2015-01-15,19:00:00,68.72,68.839,68.342,68.471,736848,0
2015-01-15,20:00:00,68.481,68.759,68.422,68.551,772798,0
2015-01-15,21:00:00,68.551,68.779,68.501,68.7,837552,0
2015-01-15,22:00:00,68.71,68.75,68.293,68.342,1567017,0
2015-01-16,16:00:00,68.352,68.451,68.114,68.243,1265277,0
2015-01-16,17:00:00,68.253,68.779,68.054,68.75,1689401,0
2015-01-16,18:00:00,68.74,68.829,68.541,68.68,1196997,0
2015-01-16,19:00:00,68.68,69.038,68.66,68.958,681160,0
2015-01-16,20:00:00,68.958,68.958,68.69,68.938,469472,0
2015-01-16,21:00:00,68.938,68.968,68.75,68.899,1710707,0
2015-01-16,22:00:00,68.889,69.296,68.809,69.217,2396948,0
2015-01-20,16:00:00,69.217,69.217,68.66,68.72,666105,0
2015-01-20,17:00:00,68.72,68.829,68.471,68.551,1907242,0
2015-01-20,18:00:00,68.551,68.621,68.203,68.402,1308460,0
2015-01-20,19:00:00,68.402,68.561,68.352,68.481,2360453,0
2015-01-20,20:00:00,68.481,68.68,68.313,68.601,1257902,0
2015-01-20,21:00:00,68.601,68.919,68.561,68.899,1455827,0
2015-01-20,22:00:00,68.889,68.938,68.73,68.819,2249894,0
2015-01-21,16:00:00,68.72,69.266,68.581,68.929,2212336,0
2015-01-21,17:00:00,68.929,69.425,68.819,69.405,1370595,0
2015-01-21,18:00:00,69.405,69.485,69.127,69.256,1108448,0
2015-01-21,19:00:00,69.256,69.336,69.068,69.157,744561,0
2015-01-21,20:00:00,69.157,69.256,68.929,68.958,967768,0
2015-01-21,21:00:00,68.958,69.246,68.919,69.207,873579,0
2015-01-21,22:00:00,69.217,69.336,69.077,69.246,1687496,0
2015-01-22,16:00:00,69.495,69.902,69.246,69.534,2317261,0
2015-01-22,17:00:00,69.534,70.2,69.495,70.2,2422721,0
2015-01-22,18:00:00,70.19,70.23,70.002,70.14,1826933,0
2015-01-22,19:00:00,70.14,70.23,70.061,70.14,1136291,0
2015-01-22,20:00:00,70.14,70.26,70.061,70.15,1092394,0
2015-01-22,21:00:00,70.15,70.578,70.12,70.548,1511539,0
2015-01-22,22:00:00,70.558,70.687,70.488,70.568,4787095,0
2015-01-23,16:00:00,70.647,70.677,70.448,70.548,945613,0
2015-01-23,17:00:00,70.548,70.707,70.29,70.528,611764,0
2015-01-23,18:00:00,70.528,70.568,70.428,70.508,618359,0
2015-01-23,19:00:00,70.508,70.776,70.488,70.736,478013,0
2015-01-23,20:00:00,70.726,70.816,70.638,70.746,323160,0
2015-01-23,21:00:00,70.746,70.766,70.508,70.508,586319,0
2015-01-23,22:00:00,70.508,70.578,70.389,70.468,1246780,0
2015-01-26,16:00:00,70.438,70.448,70.22,70.339,552058,0
2015-01-26,17:00:00,70.349,70.628,70.3,70.588,400561,0
2015-01-26,18:00:00,70.588,70.677,70.458,70.657,357963,0
2015-01-26,19:00:00,70.657,70.746,70.628,70.677,290386,0
2015-01-26,20:00:00,70.677,70.876,70.608,70.796,879346,0
2015-01-26,21:00:00,70.796,70.816,70.697,70.756,275284,0
2015-01-26,22:00:00,70.756,70.856,70.677,70.836,1033448,0
2015-01-27,16:00:00,70.16,70.28,70.002,70.061,627383,0
2015-01-27,17:00:00,70.051,70.28,69.803,70.012,1253898,0
2015-01-27,18:00:00,70.002,70.28,69.972,70.111,755235,0
2015-01-27,19:00:00,70.111,70.31,70.061,70.31,437615,0
2015-01-27,20:00:00,70.32,70.518,70.28,70.428,418563,0
2015-01-27,21:00:00,70.418,70.726,70.418,70.518,666488,0
2015-01-27,22:00:00,70.498,70.558,70.24,70.27,2021996,0
2015-01-28,16:00:00,70.638,70.677,70.359,70.538,682122,0
2015-01-28,17:00:00,70.558,70.647,69.942,69.982,846466,0
