Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-10-31,15:00:00,32.59,32.59,32.57,32.57,800,0
2011-10-31,16:00:00,32.57,32.66,32.57,32.63,11200,0
2011-10-31,17:00:00,32.62,32.62,32.58,32.6,4735,0
2011-10-31,18:00:00,32.58,32.58,32.51,32.54,2500,0
2011-10-31,19:00:00,32.56,32.65,32.54,32.62,6479,0
2011-10-31,20:00:00,32.61,32.62,32.53,32.56,5600,0
2011-10-31,21:00:00,32.55,32.55,32.22,32.22,24900,0
2011-11-01,15:00:00,31.03,31.23,30.99,31.23,6400,0
2011-11-01,16:00:00,31.16,31.39,31.16,31.24,5700,0
2011-11-01,17:00:00,31.22,31.27,30.95,30.95,4910,0
2011-11-01,18:00:00,30.9,31.03,30.9,31.03,10534,0
2011-11-01,19:00:00,30.93,31.3,30.93,31.14,11700,0
2011-11-01,20:00:00,31.11,31.37,31.11,31.22,10100,0
2011-11-01,21:00:00,31.26,31.26,31.01,31.11,13865,0
2011-11-02,15:00:00,31.44,31.46,31.32,31.32,14572,0
2011-11-02,16:00:00,31.29,31.29,31.28,31.28,359,0
2011-11-02,17:00:00,31.41,31.41,31.4,31.4,300,0
2011-11-02,18:00:00,31.4,31.4,31.3,31.3,2800,0
2011-11-02,19:00:00,31.23,31.29,31.1,31.29,5456,0
2011-11-02,20:00:00,31.19,31.36,31.19,31.34,2350,0
2011-11-02,21:00:00,31.32,31.38,31.29,31.38,3685,0
2011-11-03,16:00:00,31.21,31.29,31.11,31.29,1050,0
2011-11-03,17:00:00,31.38,31.38,31.38,31.38,150,0
2011-11-03,18:00:00,31.44,31.56,31.43,31.54,3900,0
2011-11-03,19:00:00,31.55,31.68,31.54,31.67,2700,0
2011-11-03,20:00:00,31.67,31.67,31.58,31.61,1900,0
2011-11-03,21:00:00,31.66,31.8,31.66,31.77,7241,0
2011-11-04,15:00:00,31.55,31.62,31.55,31.62,1100,0
2011-11-04,16:00:00,31.49,31.5,31.36,31.38,1500,0
2011-11-04,17:00:00,31.49,31.5,31.4,31.5,4400,0
2011-11-04,18:00:00,31.54,31.56,31.48,31.56,2800,0
2011-11-04,19:00:00,31.63,31.73,31.6,31.71,3400,0
2011-11-04,20:00:00,31.66,31.69,31.64,31.69,3400,0
2011-11-04,21:00:00,31.61,31.67,31.55,31.61,11700,0
2011-11-07,16:00:00,31.65,31.65,31.65,31.65,800,0
2011-11-07,17:00:00,31.46,31.46,31.44,31.44,2000,0
2011-11-07,18:00:00,31.49,31.52,31.46,31.48,10200,0
2011-11-07,19:00:00,31.49,31.52,31.37,31.46,13600,0
2011-11-07,20:00:00,31.43,31.56,31.43,31.55,7350,0
2011-11-07,21:00:00,31.57,31.64,31.54,31.64,10000,0
2011-11-07,22:00:00,31.64,31.69,31.58,31.69,8500,0
2011-11-08,16:00:00,31.72,31.8,31.72,31.8,4257,0
2011-11-08,17:00:00,31.78,31.78,31.63,31.71,6800,0
2011-11-08,18:00:00,31.59,31.62,31.59,31.62,2600,0
