Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-12,16:00:00,107.5,108.11,106.8,106.83,8820,0
2015-01-12,17:00:00,107.0,108.26,106.8,108.0,8200,0
2015-01-12,18:00:00,108.04,108.18,108.0,108.0,2202,0
2015-01-12,19:00:00,107.8,107.8,107.5,107.77,4543,0
2015-01-12,20:00:00,107.15,107.15,106.18,107.09,3375,0
2015-01-12,21:00:00,106.9,106.9,106.0,106.57,4051,0
2015-01-12,22:00:00,106.33,107.06,106.32,107.06,8804,0
2015-01-13,16:00:00,100.69,102.09,100.0,101.69,38012,0
2015-01-13,17:00:00,101.84,102.3,100.65,101.0,7000,0
2015-01-13,18:00:00,100.68,100.68,98.78,99.45,46230,0
2015-01-13,19:00:00,99.01,99.82,99.0,99.38,9500,0
2015-01-13,20:00:00,99.86,100.44,99.8,99.85,6078,0
2015-01-13,21:00:00,100.49,101.89,100.28,100.5,6198,0
2015-01-13,22:00:00,100.8,101.52,100.78,101.39,23090,0
2015-01-14,16:00:00,102.2,102.27,101.04,102.0,14722,0
2015-01-14,17:00:00,101.82,102.42,100.59,101.09,12082,0
2015-01-14,18:00:00,101.5,101.5,101.24,101.49,5735,0
2015-01-14,19:00:00,101.48,101.67,101.47,101.67,3550,0
2015-01-14,20:00:00,101.35,102.18,101.35,101.75,1600,0
2015-01-14,21:00:00,101.83,102.82,101.5,101.86,3520,0
2015-01-14,22:00:00,102.49,103.0,102.19,102.63,11274,0
2015-01-15,16:00:00,100.09,100.3,98.56,99.62,14605,0
2015-01-15,17:00:00,99.63,100.4,98.79,99.83,9150,0
2015-01-15,18:00:00,99.5,99.85,98.75,99.18,10341,0
2015-01-15,19:00:00,99.75,100.3,99.44,99.85,7370,0
2015-01-15,20:00:00,100.34,100.69,99.74,100.69,4700,0
2015-01-15,21:00:00,100.74,101.75,100.62,101.75,9600,0
2015-01-15,22:00:00,102.6,102.64,102.14,102.19,10799,0
2015-01-16,16:00:00,99.45,99.45,96.23,96.97,24317,0
2015-01-16,17:00:00,97.0,97.01,93.8,94.59,34837,0
2015-01-16,18:00:00,94.51,94.51,91.0,92.2,33364,0
2015-01-16,19:00:00,92.31,92.8,92.0,92.38,9750,0
2015-01-16,20:00:00,92.08,93.27,91.94,92.69,12245,0
2015-01-16,21:00:00,92.72,92.97,92.55,92.75,2461,0
2015-01-16,22:00:00,92.75,92.83,92.4,92.68,37986,0
2015-01-20,16:00:00,91.37,91.4,90.58,90.8,15918,0
2015-01-20,17:00:00,91.01,91.01,89.9,90.67,27475,0
2015-01-20,18:00:00,90.4,90.4,89.34,89.8,11862,0
2015-01-20,19:00:00,89.82,90.19,89.5,90.19,14275,0
2015-01-20,20:00:00,90.14,90.44,89.81,90.15,8520,0
2015-01-20,21:00:00,90.13,90.79,89.8,89.81,9264,0
2015-01-20,22:00:00,89.7,89.86,89.01,89.86,23126,0
2015-01-21,16:00:00,84.49,88.9,84.49,87.9,33609,0
2015-01-21,17:00:00,87.85,88.85,87.1,88.32,23883,0
2015-01-21,18:00:00,88.14,88.54,87.73,87.95,14576,0
2015-01-21,19:00:00,87.63,88.15,87.15,87.55,11650,0
2015-01-21,20:00:00,87.2,87.88,87.2,87.26,9475,0
2015-01-21,21:00:00,87.1,87.57,86.6,87.2,15778,0
2015-01-21,22:00:00,87.22,87.79,86.85,87.51,18184,0
2015-01-22,16:00:00,85.89,87.3,85.33,86.8,20115,0
2015-01-22,17:00:00,86.8,86.88,85.23,86.21,17154,0
2015-01-22,18:00:00,86.28,86.28,85.12,85.2,10972,0
2015-01-22,19:00:00,85.49,85.69,85.26,85.68,4389,0
2015-01-22,20:00:00,86.17,86.17,85.25,85.25,5705,0
2015-01-22,21:00:00,85.25,85.41,84.97,85.0,12552,0
2015-01-22,22:00:00,84.8,85.42,84.5,85.07,32159,0
2015-01-23,16:00:00,86.5,86.78,86.0,86.16,9711,0
2015-01-23,17:00:00,85.81,88.04,85.81,87.18,10850,0
2015-01-23,18:00:00,86.7,87.06,86.24,86.24,6215,0
2015-01-23,19:00:00,86.65,86.74,86.54,86.59,2900,0
2015-01-23,20:00:00,86.59,86.9,85.66,85.92,4450,0
2015-01-23,21:00:00,86.04,86.68,86.04,86.55,4971,0
2015-01-23,22:00:00,86.36,86.59,85.81,86.43,9474,0
2015-01-26,16:00:00,87.91,88.11,87.39,87.45,23162,0
2015-01-26,17:00:00,87.55,90.0,87.55,88.9,30553,0
2015-01-26,18:00:00,89.2,89.75,89.2,89.75,5332,0
2015-01-26,19:00:00,89.41,89.59,89.05,89.05,3500,0
2015-01-26,20:00:00,89.08,89.74,89.05,89.55,2845,0
2015-01-26,21:00:00,89.4,89.86,89.4,89.43,2200,0
2015-01-26,22:00:00,89.78,90.24,89.5,89.88,33583,0
2015-01-27,16:00:00,89.18,89.64,88.01,88.4,15892,0
2015-01-27,17:00:00,88.16,88.69,86.66,87.6,23552,0
2015-01-27,18:00:00,87.73,88.0,87.7,88.0,3700,0
2015-01-27,19:00:00,88.07,88.54,88.07,88.18,1800,0
2015-01-27,21:00:00,88.28,88.29,88.15,88.16,10500,0
2015-01-27,22:00:00,87.78,88.05,87.5,87.73,6667,0
2015-01-28,16:00:00,89.35,89.35,88.42,88.53,2860,0
2015-01-28,17:00:00,88.35,88.35,87.8,88.2,15300,0
2015-01-28,18:00:00,87.78,88.44,87.78,88.31,5583,0
2015-01-28,19:00:00,88.25,88.25,88.2,88.2,900,0
2015-01-28,20:00:00,88.44,88.44,88.0,88.05,2000,0
2015-01-28,21:00:00,88.24,89.31,87.78,89.01,7155,0
2015-01-28,22:00:00,88.86,89.3,88.7,88.76,9855,0
2015-01-29,16:00:00,94.85,94.85,93.96,94.05,14118,0
2015-01-29,17:00:00,94.1,98.21,94.1,97.55,50238,0
2015-01-29,18:00:00,97.21,100.28,96.58,99.94,27180,0
2015-01-29,19:00:00,99.5,101.74,99.43,100.75,22485,0
2015-01-29,20:00:00,100.57,101.73,100.39,100.57,13031,0
2015-01-29,21:00:00,100.46,101.01,100.08,100.67,11907,0
2015-01-29,22:00:00,100.68,100.68,99.5,99.57,14419,0
2015-01-30,16:00:00,100.58,100.75,100.13,100.75,16850,0
2015-01-30,17:00:00,100.0,100.0,97.8,97.8,15766,0
2015-01-30,18:00:00,96.68,97.42,95.36,95.96,11746,0
2015-01-30,19:00:00,96.89,96.89,96.38,96.52,4897,0
2015-01-30,20:00:00,97.26,97.43,97.26,97.35,1900,0
2015-01-30,21:00:00,96.5,96.5,96.0,96.04,1300,0
2015-01-30,22:00:00,96.2,96.71,95.69,95.69,10495,0
